6 - Afinogenov, Maxim
10 - Alfredsson, Daniel
20 - Antropov, Nik
25 - Arnott, Jason
29 - Aucoin, Adrian
31 - Auld, Alexander
1373 - Backes, David
1431 - Backstrom, Nicklas
7607 - Bartschi, Sven
51 - Beauchemin, Francois
373 - Benn, Jamie
67 - Bergeron, Patrice
4445 - Berglund, Patrik
71 - Bertuzzi, Todd
1152 - Bieksa, Kevin
76 - Biron, Martin
80 - Blake, Jason
4440 - Boedker, Mikkel
88 - Bonk, Radek
102 - Bouwmeester, Jay
104 - Boyle, Dan
105 - Boynton, Nick
2279 - Brassard, Derick
112 - Brewer, Eric
113 - Briere, Daniel
119 - Brodeur, Martin
123 - Brown, Dustin
125 - Brunette, Andrew
5677 - Brunner, Damien
127 - Bryzgalov, Ilya
1157 - Burrows, Alexandre
1215 - Byfuglien, Dustin
141 - Calder, Kyle
142 - Cammalleri, Mike
143 - Campbell, Brian
1414 - Carcillo, Daniel
1089 - Carter, Jeff
151 - Chara, Zdeno
154 - Cheechoo, Jonathan
2090 - Cogliano, Andrew
6058 - Connolly, Brett
183 - Corvo, Joe
6840 - Couturier, Sean
1082 - Crosby, Sidney
201 - Datsyuk, Pavel
218 - DiPietro, Rick
220 - Doan, Shane
4452 - Doughty, Drew
2024 - Dubinsky, Brandon
371 - Duchene, Matt
7633 - Dumba, Mathew
1151 - Eager, Ben
6107 - Eberle, Jordan
1342 - Edler, Alexander
241 - Ehrhoff, Christian
243 - Elias, Patrik
246 - Emery, Ray
3238 - Enstrom, Tobias
248 - Erat, Martin
3242 - Eriksson, Loui
9026 - Faksa, Radek
258 - Fedorov, Sergei
1223 - Filppula, Valtteri
275 - Fleury, Marc-Andre
6738 - Fowler, Cam
1124 - Franzen, Johan
287 - Frolov, Alexander
289 - Gaborik, Marian
290 - Gagne, Simon
2091 - Gagner, Sam
8737 - Gardiner, Jake
298 - Gerber, Martin
1092 - Getzlaf, Ryan
300 - Giguere, Jean-Sebastien
9566 - Gilmour, Doug
302 - Gionta, Brian
5296 - Giroux, Claude
308 - Gomez, Scott
309 - Gonchar, Sergei
6932 - Gormley, Brandon
2201 - Grabner, Michael
1305 - Green, Mike
7198 - Gretzky, Wayne
9207 - Grigorenko, Mikhail
6721 - Hall, Taylor
335 - Hamhuis, Dan
338 - Handzus, Michal
340 - Hannan, Scott
344 - Hartnell, Scott
346 - Hasek, Dominik
348 - Hävelid, Niclas
349 - Havlat, Martin
353 - Heatley, Dany
2553 - Hedman, Victor
361 - Hejduk, Milan
363 - Hemsky, Ales
1473 - Hjalmarsson, Niklas
6325 - Hodgson, Cody
8113 - Holden, Josh
378 - Holmstrom, Tomas
380 - Horcoff, Shawn
382 - Horton, Nathan
384 - Hossa, Marian
