3093 - Berkoff, Stanislav
7357 - Bernard, Andreas
6896 - Bernard, Jessyko
6754 - Bernier, Alexis
2076 - Bernier, Jonathan
1177 - Bernier, Steve
5701 - Berra, Reto
7613 - Berry-Lamontagna, Mathew
7478 - Bertaggia, Alessio
8706 - Berthon, Eliot
1981 - Berti, Adam
53 - Bertilsson, Simon
9431 - Bertrand, Charles
71 - Bertuzzi, Todd
9007 - Bertuzzi, Tyler
6954 - Berube, Jean-François
7062 - Berube, Jean-Sébastien
6409 - Beskorowany, Tyler
7612 - Bettauer, James
72 - Betts, Blair
8995 - Betz, Nick
8913 - Beukeboom, Adam
6694 - Beukeboom, Brock
8707 - Beutler, Pierrick
7654 - Bews, Levi
7712 - Beyers, Steven
73 - Bezina, Goran
7808 - Bezruchko, Geoff
8853 - Bezuch, Juraj
5672 - Bianchi, Elias
5693 - Bianchi, Mattia
9192 - Bibeau, Antoine
2856 - Bicanek, Radim
8026 - Bicek, Jiri
5259 - Bickel, Stu
2052 - Bickell, Bryan
6078 - Bidlevskii, Art
5761 - Bieber, Matthias
8410 - Biega, Alex
1152 - Bieksa, Kevin
3096 - Bielas, Robert
7220 - Bielke, Dominik
7715 - Bignell, Adam
9062 - Bigras, Chris
9116 - Bilcke, Ty
4618 - Bilek, Vitezslav
3097 - Bilik, Varoslav
8538 - Bina, Robbie
7170 - Binnington, Jordan
5496 - Birbaum, Alain
7556 - Birkholz, Josh
1902 - Birner, Michal
76 - Biron, Martin
2029 - Bisaillon, Sebastien
5290 - Bishop, Ben
9152 - Bisson, Elliot
6927 - Bissonnette, Matthew
2045 - Bissonnette, Paul
8821 - Bittner, Dominik
2243 - Bitz, Byron
8937 - Black, Graham
6572 - Blacker, Jesse
6748 - Blain, Jérémie
3102 - Blair, Ian
80 - Blake, Jason
2106 - Blanchard, Nicolas
2439 - Blanchard, Sean
7893 - Blanchette, Vincent
9063 - Blandisi, Joseph
3103 - Blank, Boris
3104 - Blank, Sachar
6209 - Blanke, Andy
5676 - Blaser, Yannick
3105 - Blatter, Florian
7643 - Blidstrand, Ricard
9018 - Blight, Braydon
5584 - Blindenbacher, Severin
5373 - Bliznak, Mario
3107 - Blomdahl, Patric
8854 - Blomqvist, Albin
9301 - Blomqvist, Anton
5841 - Bloodoff, Evan
7726 - Blujus, Dylan
5754 - Blum, Eric
682 - Blum, Jonathon
1332 - Blunden, Michael
7769 - Bobkov, Igor
7507 - Bobrovsky, Sergei
3108 - Bobyk, Roman
1087 - Bochenski, Brandon
5556 - Bodenmann, Simon
2039 - Bodie, Troy
5308 - Bodnarchuk, Andrew
4440 - Boedker, Mikkel
7509 - Boes, Corbin
9298 - Bogosian, Aaron
4431 - Bogosian, Zach
8767 - Bohmbach, Andy
9201 - Boily, Mathieu
1361 - Bois, Danny
9219 - Bois, Redgie
7283 - Bojer, Jan
7806 - Boland, Connor
2202 - Bolduc, Alexandre
2729 - Bolf, Lukáš
2097 - Boll, Jared
1333 - Bolland, Dave
8453 - Bollig, Brandon
9410 - Boltshauser, Luca
2506 - Bomersback, Mark
7197 - Bonino, Nick
88 - Bonk, Radek
2301 - Bonneau, Jimmy
548 - Bonsaksen, Alexander
3113 - Boos, Tino
1350 - Booth, David
435 - Bordeleau, Patrick
5743 - Bordeleau, Sebastian
8420 - Bordson, Rob
6098 - Borejko, Aaron
2107 - Borer, Casey
9257 - Borowiecki, Mark
5819 - Bortnak, Dalibor
732 - Bortuzzo, Robert
358 - Botta, Roman
5501 - Botter, Cedric
5251 - Bouchard, Francois
93 - Bouchard, Pierre-Marc
94 - Boucher, Brian
9092 - Boucher, Reid
96 - Bouck, Tyler
9159 - Boudens, Matt
7922 - Boudreau, Matthew
9583 - Boudreau, Shawn
98 - Bouillon, Francis
100 - Boulton, Eric
6247 - Bouma, Lance
8036 - Boumedienne, Josef
8391 - Bourbeau, Jean
7174 - Bourdon, Marc-Andre
7609 - Bourhis, Austin
7626 - Bourke, Troy
7110 - Bournival, Michaël
1872 - Bourque, Chris
6950 - Bourque, Gabriel
1110 - Bourque, Rene
7021 - Bourque, Ryan
1766 - Bourret, Alex
7072 - Bourret, Gabriel
7028 - Boutet, Étienne
7904 - Bouvet-Morrissette, André
102 - Bouwmeester, Jay
9117 - Bowen, John
8838 - Bowey, Madison
5856 - Bowman, Collin
936 - Bowman, Drayson
2286 - Boyce, Darryl
9343 - Boyce-Rotevall, Jeremy
1740 - Boychuk, Johnny
6016 - Boychuk, Riley
4433 - Boychuk, Zach
1337 - Boyd, Dustin
8822 - Boyd, Jordyn
3119 - Boyer, Olivier
103 - Boyes, Brad
10185 - Boyle, Brian
104 - Boyle, Dan
5286 - Boyle, Daryl
105 - Boynton, Nick
481 - Bozak, Tyler
8831 - Bozon, Tim
7800 - Brace, Cameron
6470 - Brace, Riley
8975 - Bradford, Erik
106 - Bradley, Matt
5892 - Braes, Cam
8889 - Braid, Chance
7707 - Braid, Mackenzie
3120 - Brain, Nick
6596 - Braithwaite, Jeff
6298 - Brassard, Austen
2279 - Brassard, Derick
9202 - Brassard, François
6183 - Brassart, Brady
3122 - Brathen, Per
109 - Brathwaite, Fred
2365 - Braun, Constantin
8433 - Braun, Justin
7221 - Braun, Laurin
5972 - Bredo, Dylan
6597 - Breen, Christopher
5537 - Breitbach, Robin
6261 - Breitkreuz, Brett
9518 - Brejcak, Ján
570 - Brendheden, Andrée
110 - Brendl, Pavel
9122 - Brennan, Jacob
111 - Brennan, Kip
5636 - Brennan, Mike
698 - Brennan, T.J.
9414 - Brenner, Tyler
1814 - Brent, Tim
112 - Brewer, Eric
113 - Briere, Daniel
2264 - Brine, David
6915 - Brisebois, Mathieu
9625 - Brithén, Ted
6615 - Brittain, Josh
7443 - Brocklehurst, Aaron
5155 - Broda, Joel
6920 - Brodeur, Étienne
119 - Brodeur, Martin
6790 - Brodeur, Mathieu
1980 - Brodeur, Mike
6292 - Brodie, T.J.
1214 - Brodziak, Kyle
6345 - Broll, David
1406 - Brookbank, Sheldon
120 - Brookbank, Wade
853 - Brooks, Brendan
8872 - Brooks, Brett
8805 - Brooks, Calder
2265 - Brophey, Evan
1555 - Bros, Michal
7547 - Brossoit, Laurent
7905 - Brouillard, Marc-Olivier
9160 - Brouillard, Nikolas
8776 - Brouillette, Julien
6664 - Broussard, Daniel
1376 - Brouwer, Troy
