1334 - Bayda, Ryan
2343 - Bazany, Marian
5184 - Beach, Cody
6186 - Beach, Kyle
2151 - Beagle, Jay
3076 - Beardsmore, Colin
51 - Beauchemin, Francois
7903 - Beaudoin, Charles-David
8019 - Beaudoin, Eric
5620 - Beaudoin, Mathieu
9243 - Beaudry, Jeremy
7044 - Beaudry, Michaël
2227 - Beaulieu, Josh
7085 - Beaulieu, Nathan
7124 - Beaupré, Gabriel
7056 - Beauregard, Alexandre
9151 - Beauregard, Mickael
6918 - Beauvillier, Francis
3079 - Bebko, Mark
6370 - Beck, Taylor
8863 - Becker, Kyle
2306 - Beckford-Tseu, Chris
8020 - Bednar, Jaroslav
3080 - Bednarz, Artur
54 - Beech, Kris
2432 - Beechey, Tyler
6280 - Behenna, Colin
3081 - Beier, Eugene
58 - Belanger, Eric
5258 - Beleskey, Matt
1213 - Bell, Brendan
8974 - Bell, Brendan
60 - Bell, Mark
8820 - Bell, Michael
6126 - Bell, Myles
8830 - Bell, Tyler
6337 - Bell, Zach
604 - Bellemare, Pierre-Edouard
5225 - Bellemore, Brett
7699 - Bellerive, Matt
9612 - Bellissimo, Daniel
7618 - Belter, Caleb
7039 - Belzile, Alex
2826 - Benak, Vaclav
1666 - Ben-Amor, Semir
3083 - Benda, Jan
3084 - Benin, Eugene
373 - Benn, Jamie
8428 - Benn, Jordie
8882 - Bennefield, Ryley
6289 - Bennett, Mitch
6015 - Bennett, Spencer
1954 - Benoit, Andre
7576 - Benoit, Erik
9482 - Benovic, Tomáš
6141 - Benson, Brent
8811 - Benson, Cole
2221 - Benson, Hans
9190 - Bent, Kelly
2119 - Bentivoglio, Sean
3085 - Bentley, Nick
9191 - Beran, Matej
7711 - Beranek, Petr
3087 - Berg, Markus
3088 - Bergamini, Pietro
65 - Bergenheim, Sean
5741 - Berger, Alain
8705 - Berger, Nils
5742 - Berger, Pascal
5588 - Berger, Sven
6803 - Bergeron, Félix
9230 - Bergeron, Félix-Antoine
66 - Bergeron, Marc-Andre
67 - Bergeron, Patrice
9135 - Bergeron, Toliver
3089 - Bergfors, Niclas
8024 - Berglund, Christian
8609 - Berglund, Jonas
5195 - Berglund, Kristofer
4445 - Berglund, Patrik
9621 - Bergström, Alexander
9620 - Bergström, Nils
1191 - Berkhoel, Adam
