3000 - Aab, Vitalij
3002 - Aalto, Teemu
3003 - Aaltonen, Juhamatti
1728 - Aaltonen, Nico
3004 - Aarnio, Antti
5199 - Abbott, Cameron
5200 - Abbott, Christen
2661 - Abdelkader, Justin
4820 - Abdullin, Denis
1 - Abid, Ramzi
3006 - Abstreiter, Tobias
3008 - Ackers, Boris
3009 - Adams, Bryan
2 - Adams, Craig
3 - Adams, Kevyn
3010 - Adamski, Marek
2837 - Adamský, Martin
4 - Aebischer, David
5 - Afanasenkov, Dimitry
6 - Afinogenov, Maxim
1571 - Ahlqvist, Aleksis
3012 - Aho, Matti
7 - Ahonen, Ari
2570 - Ahtola, Jerry
3015 - Aizawa, Shigehiko
3016 - Åkerlund, Magnus
5028 - Akifiev, Alexei
4684 - Akimov, Sergei
4676 - Aksenenko, Alexandr
3018 - Alanen, Johannes
3019 - Alanko, Rami
1639 - Alastalo, Juha
3022 - Alberici, Alberto
2155 - Albers, Paul
1127 - Alberts, Andrew
2531 - Alcén, Johan
4890 - Aleksandrov, Viktor
4970 - Alekseev, Kirill
4666 - Alekseev, Nikita
3024 - Alen, Juha
3025 - Alexandrov, Igor
9 - Alexeev, Nikita
10 - Alfredsson, Daniel
3026 - Alikoski, Mikko
2457 - Alinc, Jan
1392 - Allen, Bobby
12 - Allen, Bryan
13 - Allison, Jamie
1429 - Almtorp, Jonas
5059 - Altarev, Dmitri
2822 - Altrichter, Martin
1812 - Amadio, Greg
3027 - Ambuhl, Andres
2309 - Ancickas, Martin
3028 - Andersen, Leif
2533 - Andersén, Niclas
3029 - Andersen, Svein
3030 - Andersen, Thomas
16 - Anderson, Craig
10034 - Anderson, Matt
2933 - Andersons, Janis
2546 - Andersson, Andreas
1469 - Andersson, Erik
2557 - Andersson, Erik
1543 - Andersson, Fredric
2543 - Andersson, johan
3032 - Andersson, Johan
8009 - Andersson, Jonas
3033 - Andersson, Niklas
3034 - Andersson, Niklas E.
1701 - Andersson, Roni
2739 - Andrašovský, Dušan
2452 - Andress, Doug
2455 - Andrews, Daryl
4811 - Andronov, Sergei
1739 - Angelidis, Mike
1430 - Angell, Nicholas
2537 - Anger, Niklas
4828 - Anikeyenko, Vitaly
5169 - Änilane, Viktor
2145 - Anisimov, Artem
2448 - Ankert, Torsten
4680 - Anshakov, Sergei
4673 - Antipin, Vladimir
4938 - Antipov, Vladimir
1630 - Antonen, Juuso
4755 - Antonenko, Oleg
20 - Antropov, Nikolai
3040 - Anttila, Marko
3042 - Apsitis, Sergey
1952 - Archer, Andrew
1776 - Ardelan, Mark
4693 - Arekayev, Sergei
3043 - Arendt, Ronny
3044 - Arkatov, Vyacheslav
1287 - Arkhipov, Denis
2560 - Arlbrandt, Pär
8011 - Armstrong, Chris
1154 - Armstrong, Colby
23 - Armstrong, Derek
2006 - Armstrong, Riley
24 - Arnason, Tyler
