3000 - Aab, Vitalij
3002 - Aalto, Teemu
1728 - Aaltonen, Nico
6173 - Aasman, Ryan
5199 - Abbott, Cameron
5200 - Abbott, Chris
2661 - Abdelkader, Justin
6888 - Abeltshauser, Konrad
5785 - Abney, Cameron
5509 - Abplanalp, Marc
3005 - Abstreiter, Peter
6133 - Acolatse, Sena
6802 - Adam, Luke
3009 - Adams, Bryan
2 - Adams, Craig
4463 - Adams, John
3010 - Adamski, Marek
2837 - Adamský, Martin
5851 - Adolph, Max
4 - Aebischer, David
6 - Afinogenov, Maxim
6485 - Agozzino, Andrew
1571 - Ahlqvist, Aleksis
7393 - Ahlström, Oscar
7392 - Ahlström, Victor
1463 - Ahnelöv, Jonas
7 - Ahonen, Ari
1558 - Ahonen, Rony
2570 - Ahtola, Jerry
7335 - Aittokallio, Sami
3015 - Aizawa, Shigehiko
2462 - Akdag, Sinan
3016 - Åkerlund, Magnus
1475 - Akerman, Johan
6415 - Akeson, Jason
7333 - Alatalo, Santeri
3021 - Alavaara, Jan-Axel
6334 - Alavie, Ben
6326 - Alberga, Domenic
3022 - Alberici, Alberto
2155 - Albers, Paul
6336 - Albert, Brad
1127 - Alberts, Andrew
7219 - Albrecht, Sebastian
6512 - Alcock, Cody
6653 - Alderson, Brandon
6308 - Aleardi, Alex
3025 - Alexandrov, Igor
10 - Alfredsson, Daniel
3026 - Alikoski, Mikko
2457 - Alinc, Jan
4508 - Aliu, Akim
12 - Allen, Bryan
6836 - Allen, Jake
6704 - Allicock, Kain
7418 - Alm, Johan
1007 - Almond, Cody
7380 - Almquist, Adam
1429 - Almtorp, Jonas
6159 - Alos, Tyler
5571 - Alston, Jan
5386 - Alzner, Karl
1812 - Amadio, Greg
3027 - Ambuhl, Andres
6901 - Amyot, Pascal
2309 - Ancickas, Martin
2533 - Andersén, Niclas
5961 - Anderson, Brandon
2516 - Anderson, Chad
16 - Anderson, Craig
6546 - Anderson, Dylan
6483 - Anderson, JP
10034 - Anderson, Matt
2933 - Andersons, Janis
2546 - Andersson, Andreas
1469 - Andersson, Erik
2557 - Andersson, Erik
1543 - Andersson, Fredric
3032 - Andersson, Johan
3033 - Andersson, Niklas
6431 - Andersson, Patrik
3035 - Andersson, Peter
7384 - Andersson, Robin
6511 - Andreoff, Andy
6904 - Andrews, Brent
2455 - Andrews, Daryl
6487 - Andrews, Johnson
1739 - Angelidis, Mike
1430 - Angell, Nick
2145 - Anisimov, Artem
2448 - Ankert, Torsten
7078 - Anthony, Steven
5876 - Antilla, Joe
879 - Antonietti, Benjamin
20 - Antropov, Nikolai
3040 - Anttila, Marko
6346 - Appio, Brett
3042 - Apsitis, Sergey
7133 - Archambault, Olivier
6101 - Archer, Colin
6689 - Archibald, Brandon
6281 - Archibald, Darren
1776 - Ardelan, Mark
877 - Ardizzone, Paulo
3043 - Arendt, Ronny
3044 - Arkatov, Vyacheslav
2560 - Arlbrandt, Pär
7325 - Armia, Joel
8011 - Armstrong, Chris
1154 - Armstrong, Colby
23 - Armstrong, Derek
5634 - Armstrong, John
2006 - Armstrong, Riley
2060 - Arniel, Jamie
25 - Arnott, Jason
6031 - Aronson, Taylor
1871 - Arsene, Dean
6756 - Arseneau, Vincent
1138 - Artyukhin, Evgeny
5332 - Aschim, Kyle
5850 - Aschim, Sean
26 - Asham, Arron
6450 - Ashman, Matt
6118 - Ashton, Carter
1443 - Ask, Morten
1461 - Åslund, Per
431 - Aspenlind, Josh
6968 - Asselin, Guillaume
5855 - Astles, Jessey
2257 - Aston, Peter
6062 - Asuchak, Spencer
4459 - Atherton, PJ
6007 - Atkinson, Clinton
27 - Aubin, Jean-Sebastien
4460 - Aubin, Mathieu
28 - Aubin, Serge
6965 - Aubry, Louis-Marc
29 - Aucoin, Adrian
1210 - Aucoin, Keith
7047 - Audette, Mickael
7008 - Audy-Marchessault, Jonathan
5525 - Augsburger, Gaetan
31 - Auld, Alexander
900 - Aulie, Keith
8014 - Aulin, Jared
3050 - Aus den Birken, Danny
6357 - Austin, Brady
3051 - Auzins, Igor
33 - Avery, Sean
1464 - Axelsson, Anton
2535 - Axelsson, Dick
34 - Axelsson, Per-Johan
5623 - Azevedo, Justin
3052 - Azzaroni, Marco
35 - Babchuk, Anton
7025 - Babineau, Casey
36 - Bacashihua, Jason
5667 - Back, René
1373 - Backes, David
1527 - Backlund, Johan
5387 - Backlund, Mikael
37 - Backman, Christian
3057 - Backman, Simon
1431 - Bäckström, Nicklas
3058 - Backstrom, Niklas
2345 - Bader, Anton
2187 - Bagnall, Drew
4593 - Bahenský, Zdenek
6887 - Bahm, Linden
5303 - Baier, Paul
5257 - Bailey, Jason
4438 - Bailey, Josh
6532 - Bailie, Kevin
5429 - Baindl, Michael
3059 - Bakos, Michael
2751 - Balán, Stanislav
1108 - Balastik, Jaroslav
7290 - Balazs, David
6497 - Baldassarra, Matt
6196 - Baldwin, Corbin
2247 - Baldwin, Gord
39 - Balej, Jozef
2475 - Bales, Mike
1101 - Ballard, Keith
5673 - Balness, Devin
3060 - Balodis, George
3061 - Banasik, Jacek
5888 - Bancks, Carter
7394 - Bång, Daniel
3065 - Bannister, Drew
7227 - Banzer, Andreas
6946 - Barberio, Mark
1393 - Barch, Krys
6190 - Bardaro, Anthony
40 - Barinka, Michal
1211 - Barker, Cam
6862 - Barnard, Vincent
6255 - Barnett, JT
44 - Barney, Scott
6105 - Barnstable, Kraymer
6814 - Barriault, Jeremy
5857 - Barrie, Tyson
3067 - Barta, Alexander
3068 - Barta, Björn
3069 - Bartecko, Lubos
3070 - Bartek, Martin
5425 - Bartels, Domenic
7177 - Bartley, victor
6197 - Bartman, Brett
46 - Bartovic, Milan
5478 - Bärtschi, Deny
5740 - Bärtschi, Patrik
2223 - Bartulis, Oskars
4759 - Bashkirov, Andrei
2114 - Bass, Cody
3072 - Bassen, Chad
6312 - Basso, Alex
5993 - Bast, Jason
1503 - Bastiansen, Anders
5575 - Bastl, Mark
47 - Bates, Shawn
6299 - Bathgate, Andy
6472 - Battani, T.J.
49 - Baumgartner, Nolan
3073 - Baumgartner, Peter
3074 - Bäumle, Thomas
3075 - Baxmann, Jens
1334 - Bayda, Ryan
2343 - Bazany, Marian
5184 - Beach, Cody
6186 - Beach, Kyle
2151 - Beagle, Jay
3076 - Beardsmore, Colin
6876 - Beaton, Alexander
51 - Beauchemin, Francois
7094 - Beauchemin, Jean-Laurence
5211 - Beauchemin, Rejean
5620 - Beaudoin, Matt
7044 - Beaudry, Michael
2227 - Beaulieu, Josh
7085 - Beaulieu, Nathan
7124 - Beaupre, Gabriel
7056 - Beauregard, Alexandre
6918 - Beauvillier, Francis
5319 - Beaverson, Luke
3079 - Bebko, Mark
5487 - Beccarelli, Mauro
7395 - Beck, Mattias
6370 - Beck, Taylor
2362 - Becker, Bruce
2306 - Beckford-Tseu, Chris
3080 - Bednarz, Artur
54 - Beech, Kris
2432 - Beechey, Tyler
55 - Begin, Steve
6280 - Behenna, Colin
3081 - Beier, Eugene
57 - Belak, Wade
58 - Belanger, Eric
6972 - Belanger, Guillaume
6831 - Bélanger, Michaël
5258 - Beleskey, Matt
1213 - Bell, Brendan
60 - Bell, Mark
6126 - Bell, Myles
6099 - Bell, Nick
6337 - Bell, Zach
5292 - Bellamy, Rob
1359 - Belle, Shawn
604 - Bellemare, Pierre-Édouard
5225 - Bellemore, Brett
2889 - Belohlav, Radek
5461 - Belohrad, Travis
7039 - Belzile, Alex
6620 - Bemis, Josh
1541 - Bemström, Stefan
2826 - Benák, Václav
1666 - Ben-Amor, Semir
3083 - Benda, Jan
5829 - Bene, Matej
3084 - Benin, Eugene
373 - Benn, Jamie
6289 - Bennett, Mitch
6015 - Bennett, Spencer
1954 - Benoit, Andre
6141 - Benson, Brent
2221 - Benson, Hans
2119 - Bentivoglio, Sean
3085 - Bentley, Nick
4638 - Beránek, Josef
6555 - Berdnikov, Roman
64 - Berg, Aki-Petteri
3087 - Berg, Markus
3088 - Bergamini, Pietro
65 - Bergenheim, Sean
5741 - Berger, Alain
5742 - Berger, Pascal
5588 - Berger, Sven
6803 - Bergeron, Félix
66 - Bergeron, Marc-Andre
67 - Bergeron, Patrice
6846 - Bergeron, Philippe
3089 - Bergfors, Niclas
7372 - Berglind, Victor
8024 - Berglund, Christian
5890 - Berglund, Jacob
5195 - Berglund, Kristofer
4445 - Berglund, Patrik
7361 - Bergman, Robin
1191 - Berkhoel, Adam
3093 - Berkoff, Stanislav
7357 - Bernard, Andreas
6811 - Bernard, Ashton
6896 - Bernard, Jessyko
6754 - Bernier, Alexis
2076 - Bernier, Jonathan
1177 - Bernier, Steve
5701 - Berra, Reto
4529 - Berry, Alex
8025 - Berry, Rick
1981 - Berti, Adam
53 - Bertilsson, Simon
5327 - Bertram, Dan
71 - Bertuzzi, Todd
6954 - Berube, Jean-François
7062 - Berube, Jean-Sébastien
6409 - Beskorowany, Tyler
5140 - Bestland, Darren
72 - Betts, Blair
6897 - Bety, Charles
6694 - Beukeboom, Brock
73 - Bezina, Goran
6313 - Bezzo, Paul
5672 - Bianchi, Elias
5693 - Bianchi, Mattia
2856 - Bicánek, Radim
5259 - Bickel, Stu
2052 - Bickell, Bryan
6078 - Bidlevskii, Art
5761 - Bieber, Matthias
1152 - Bieksa, Kevin
3096 - Bielas, Robert
7220 - Bielke, Dominik
4618 - Bílek, Vítezslav
3097 - Bilik, Varoslav
6475 - Billingsley, Tim
7170 - Binnington, Jordan
5496 - Birbaum, Alain
6595 - Birkhoff, Brian
1902 - Birner, Michal
76 - Biron, Martin
77 - Biron, Mathieu
6771 - Bisaillon, Kevin
2029 - Bisaillon, Sebastien
8028 - Bishai, Mike
5290 - Bishop, Ben
6884 - Bishop, Jamie
6927 - Bissonnette, Matthew
2045 - Bissonnette, Paul
2243 - Bitz, Byron
3099 - Björk, Johan
3101 - Bjurling, Björn
6572 - Blacker, Jesse
6748 - Blain, Jérémie
3102 - Blair, Ian
80 - Blake, Jason
