Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
JAMIE OLEKSIAK,,D,33.5,SEA,82,97.15,66.3,0,0.00,6,0.07,21,0.26,44,0.54
SETH JONES,,D,31.7,FLA,63,97.09,72,0,0.00,17,0.27,43,0.68,103,1.63
DOUGIE HAMILTON,,D,33.0,N.J,64,96.85,71.36,0,0.00,10,0.16,84,1.31,133,2.08
MORGAN GEEKIE,,R,27.9,BOS,77,96.77,63.34,0,0.00,10,0.13,54,0.70,57,0.74
SAM MALINSKI,,D,27.9,COL,76,96.77,70.38,0,0.00,5,0.07,39,0.51,97,1.28
TRAVIS HAMONIC,,D,35.8,DET,59,96.7,70.77,0,0.00,1,0.02,36,0.61,59,1.00
ARTEM ZUB,,D,30.7,OTT,56,96.67,68.99,0,0.00,3,0.05,10,0.18,37,0.66
RASMUS ANDERSSON,,D,29.6,VGK,81,96.62,69.69,0,0.00,17,0.21,78,0.96,76,0.94
JOSH MANSON,,D,34.7,COL,48,96.49,67.3,0,0.00,3,0.06,22,0.46,40,0.83
OLLI MAATTA,,D,31.8,CGY,77,96.45,65.66,0,0.00,3,0.04,24,0.31,34,0.44
THOMAS CHABOT,,D,29.3,OTT,80,96.35,67.73,0,0.00,8,0.10,76,0.95,97,1.21
FILIP FORSBERG,,L,31.8,NSH,82,96.32,62.82,0,0.00,3,0.04,82,1.00,133,1.62
EGOR CHINAKHOV,,L,25.3,PIT,30,96.31,68.82,0,0.00,4,0.13,39,1.30,32,1.07
RASMUS RISTOLAINEN,,D,31.6,PHI,63,96.31,68.3,0,0.00,10,0.16,25,0.40,42,0.67
JORDAN OESTERLE,,D,33.9,NSH,37,96.3,68.97,0,0.00,1,0.03,15,0.41,28,0.76
DREW DOUGHTY,,D,36.5,L.A,30,96.28,73.95,0,0.00,4,0.13,30,1.00,38,1.27
NIKITA KUCHEROV,,R,33.0,T.B,78,96.28,62.04,0,0.00,4,0.05,66,0.85,89,1.14
NICK BJUGSTAD,,R,33.9,N.J,66,95.88,56.02,0,0.00,4,0.06,8,0.12,27,0.41
KIEFER SHERWOOD,,R,31.2,S.J,78,95.87,63.55,0,0.00,6,0.08,43,0.55,62,0.79
BEN CHIAROT,,D,35.1,DET,81,95.84,70.63,0,0.00,12,0.15,43,0.53,75,0.93
DAMON SEVERSON,,D,31.8,CBJ,70,95.75,66.49,0,0.00,6,0.09,19,0.27,50,0.71
QUINN HUGHES,,D,26.6,MIN,68,95.62,67.35,0,0.00,10,0.15,47,0.69,135,1.99
NICHOLAS ROBERTSON,,R,24.7,TOR,69,95.61,62.73,0,0.00,3,0.04,27,0.39,60,0.87
KYLE PALMIERI,,R,35.3,NYI,82,95.55,57.32,0,0.00,5,0.06,11,0.13,56,0.68
MORITZ SEIDER,,D,25.2,DET,82,95.54,70.65,0,0.00,14,0.17,57,0.70,143,1.74
MATT ROY,,D,31.3,WSH,69,95.54,68.15,0,0.00,4,0.06,21,0.30,70,1.01
LOGAN STANLEY,,D,28.0,BUF,63,95.53,73.22,0,0.00,7,0.11,26,0.41,40,0.63
JOSHUA MAHURA,,D,28.1,SEA,64,95.31,67.05,0,0.00,1,0.02,8,0.13,41,0.64
JACCOB SLAVIN,,D,32.1,CAR,80,95.28,67.3,0,0.00,5,0.06,35,0.44,78,0.98
ALEC MARTINEZ,,D,38.9,,44,95.28,74.14,0,0.00,3,0.07,36,0.82,28,0.64
SHAYNE GOSTISBEHERE,,D,33.1,CAR,70,95.27,72.69,0,0.00,19,0.27,55,0.79,113,1.61
ERIK GUSTAFSSON,,D,34.2,DET,60,95.19,70.87,0,0.00,4,0.07,34,0.57,57,0.95
TYLER KLEVEN,,D,24.4,OTT,79,95.18,74.22,0,0.00,17,0.22,34,0.43,70,0.89
JAKE SANDERSON,,D,23.9,OTT,80,95.18,71.99,0,0.00,11,0.14,75,0.94,146,1.83
ADAM FANTILLI,,C,21.6,CBJ,82,95.16,59.84,0,0.00,1,0.01,14,0.17,91,1.11
OLIVER WAHLSTROM,,R,26.0,,43,95.12,62.68,0,0.00,2,0.05,15,0.35,16,0.37
JUSTIN FAULK,,D,34.2,DET,78,95.09,69.79,0,0.00,20,0.26,49,0.63,76,0.97
KEVIN BAHL,,D,25.9,CGY,73,95.05,69.68,0,0.00,6,0.08,22,0.30,68,0.93
JOSH MORRISSEY,,D,31.2,WPG,80,95.04,68.8,0,0.00,7,0.09,80,1.00,81,1.01
ZACH WHITECLOUD,,D,29.5,CGY,74,95.03,68.54,0,0.00,2,0.03,18,0.24,68,0.92
HAYDN FLEURY,,D,29.9,WPG,39,95,72.81,0,0.00,3,0.08,22,0.56,33,0.85
LIAN BICHSEL,,D,22.0,DAL,38,94.91,74.33,0,0.00,2,0.05,22,0.58,43,1.13
JACOB TROUBA,,D,32.3,ANA,77,94.87,69.19,0,0.00,9,0.12,41,0.53,58,0.75
BROCK BOESER,,R,29.3,VAN,75,94.86,62.16,0,0.00,5,0.07,41,0.55,66,0.88
MARK STONE,,R,34.1,VGK,66,94.85,53.1,0,0.00,5,0.08,9,0.14,26,0.39
DANIEL SPRONG,,R,29.2,,30,94.85,66.33,0,0.00,3,0.10,8,0.27,34,1.13
NINO NIEDERREITER,,L,33.7,WPG,82,94.74,55.59,0,0.00,2,0.02,12,0.15,46,0.56
COREY PERRY,,R,41.1,T.B,81,94.7,51.81,0,0.00,1,0.01,6,0.07,21,0.26
EELI TOLVANEN,,L,27.1,SEA,81,94.62,62.28,0,0.00,5,0.06,27,0.33,53,0.65
MARTIN NECAS,,R,27.4,COL,79,94.62,61.73,0,0.00,5,0.06,27,0.34,86,1.09
DRAKE BATHERSON,,R,28.1,OTT,82,94.61,57.66,0,0.00,2,0.02,20,0.24,77,0.94
MARIO FERRARO,,D,27.7,S.J,78,94.58,66.05,0,0.00,7,0.09,23,0.29,34,0.44
NEAL PIONK,,D,30.8,WPG,69,94.58,67.11,0,0.00,9,0.13,35,0.51,69,1.00
RYAN MCDONAGH,,D,37.0,T.B,82,94.56,65.8,0,0.00,3,0.04,20,0.24,31,0.38
NIKOLAS MATINPALO,,D,27.7,OTT,41,94.56,71.61,0,0.00,3,0.07,19,0.46,39,0.95
CONOR TIMMINS,,D,27.7,BUF,68,94.55,69.85,0,0.00,11,0.16,33,0.49,48,0.71
FRANK VATRANO,,R,32.2,ANA,81,94.48,64.05,0,0.00,3,0.04,56,0.69,112,1.38
SIDNEY CROSBY,,C,38.8,PIT,80,94.48,53.08,0,0.00,2,0.03,14,0.18,43,0.54
ADRIAN KEMPE,,R,29.7,L.A,81,94.4,65.35,0,0.00,4,0.05,77,0.95,116,1.43
KASPERI KAPANEN,,R,29.9,EDM,67,94.38,60.84,0,0.00,3,0.04,17,0.25,15,0.22
JAKE MIDDLETON,,D,30.4,MIN,67,94.36,65.49,0,0.00,2,0.03,13,0.19,66,0.99
MIKHAIL SERGACHEV,,D,27.9,UTA,77,94.32,72.25,0,0.00,17,0.22,72,0.94,123,1.60
JORDAN SPENCE,,D,25.3,OTT,79,94.24,73.79,0,0.00,8,0.10,64,0.81,93,1.18
UVIS BALINSKIS,,D,29.8,FLA,76,94.16,69.28,0,0.00,7,0.09,27,0.36,62,0.82
DEVON TOEWS,,D,32.3,COL,76,94.15,68.89,0,0.00,3,0.04,40,0.53,126,1.66
JACK EICHEL,,C,29.6,VGK,77,94.11,64.94,0,0.00,5,0.06,69,0.90,91,1.18
ANDREW PEEKE,,D,28.2,BOS,76,94.09,69.27,0,0.00,3,0.04,22,0.29,71,0.93
MIKAEL BACKLUND,,C,37.2,CGY,76,93.99,56.51,0,0.00,1,0.01,13,0.17,49,0.64
DEREK FORBORT,,D,34.2,VAN,54,93.98,66.63,0,0.00,1,0.02,9,0.17,26,0.48
NIKOLAJ EHLERS,,L,30.3,CAR,69,93.92,62.63,0,0.00,2,0.03,40,0.58,84,1.22
SIMON BENOIT,,D,27.7,PHI,78,93.84,66.75,0,0.00,4,0.05,10,0.13,22,0.28
WILLIAM NYLANDER,,R,30.1,TOR,82,93.82,62.1,0,0.00,4,0.05,62,0.76,109,1.33
STEVEN STAMKOS,,L,36.3,NSH,82,93.81,62.73,0,0.00,10,0.12,46,0.56,67,0.82
KEVIN FIALA,,L,29.9,L.A,81,93.72,63.85,0,0.00,4,0.05,52,0.64,158,1.95
WILLIAM EKLUND,,L,23.6,S.J,77,93.69,56.94,0,0.00,1,0.01,11,0.14,59,0.77
NOAH HANIFIN,,D,29.4,VGK,80,93.61,67.62,0,0.00,3,0.04,40,0.50,82,1.03
BRETT KULAK,,D,32.4,COL,82,93.57,69.89,0,0.00,8,0.10,52,0.63,75,0.91
NOAH GREGOR,,R,27.9,FLA,52,93.47,58.83,0,0.00,2,0.04,10,0.19,17,0.33
KAIDEN GUHLE,,D,24.4,MTL,55,93.44,69.03,0,0.00,1,0.02,25,0.45,57,1.04
ELIAS PETTERSSON,,C,27.6,VAN,64,93.44,59.62,0,0.00,3,0.05,22,0.34,43,0.67
TIMOTHY LILJEGREN,,D,27.1,WSH,68,93.42,70.32,0,0.00,1,0.01,35,0.51,89,1.31
MIRO HEISKANEN,,D,26.9,DAL,50,93.38,67.78,0,0.00,4,0.08,30,0.60,83,1.66
JONATHAN LEKKERIMAKI,,R,21.9,VAN,24,93.38,61.84,0,0.00,1,0.04,9,0.38,8,0.33
TRAVIS SANHEIM,,D,30.2,PHI,82,93.37,67.3,0,0.00,5,0.06,39,0.48,92,1.12
NATE SCHMIDT,,D,34.9,UTA,80,93.37,67.06,0,0.00,3,0.04,29,0.36,44,0.55
ANDRE BURAKOVSKY,,R,31.3,CHI,79,93.37,64.55,0,0.00,1,0.01,28,0.35,66,0.84
CONOR GEEKIE,,C,22.1,T.B,52,93.34,60.62,0,0.00,2,0.04,15,0.29,27,0.52
JAN RUTTA,,D,35.8,,54,93.31,70.36,0,0.00,4,0.07,24,0.44,49,0.91
IVAN BARBASHEV,,L,30.5,VGK,70,93.28,52,0,0.00,1,0.01,2,0.03,22,0.31
CUTTER GAUTHIER,,R,22.4,ANA,82,93.22,64.13,0,0.00,3,0.04,54,0.66,93,1.13
ALEX PIETRANGELO,,D,36.4,VGK,71,93.2,69.13,0,0.00,4,0.06,49,0.69,80,1.13
CODY CECI,,D,32.5,L.A,85,93.19,68.64,0,0.00,6,0.07,43,0.51,36,0.42
OWEN TIPPETT,,L,27.3,PHI,77,93.18,62.85,0,0.00,3,0.04,65,0.84,89,1.16
BRETT LEASON,,R,27.1,WSH,62,93.11,60.55,0,0.00,1,0.02,13,0.21,33,0.53
BRADY TKACHUK,,L,26.7,OTT,72,93.1,60.61,0,0.00,4,0.06,52,0.72,87,1.21
YEGOR SHARANGOVICH,,L,28.0,CGY,73,93.05,61.07,0,0.00,2,0.03,24,0.33,60,0.82
JACKSON LACOMBE,,D,25.4,ANA,75,93.02,64.89,0,0.00,1,0.01,25,0.33,88,1.17
ERIK CERNAK,,D,29.0,T.B,76,93.02,67.1,0,0.00,2,0.03,15,0.20,55,0.72
QUINTON BYFIELD,,C,23.8,L.A,81,93,59.51,0,0.00,1,0.01,38,0.47,64,0.79
SHEA THEODORE,,D,30.8,VGK,67,92.99,70.04,0,0.00,8,0.12,54,0.81,107,1.60
OLIVER EKMAN-LARSSON,,D,34.9,TOR,77,92.94,71.89,0,0.00,3,0.04,45,0.58,114,1.48
RASMUS SANDIN,,D,26.2,WSH,82,92.94,70.94,0,0.00,2,0.02,23,0.28,103,1.26
MATTIAS SAMUELSSON,,D,26.2,BUF,62,92.84,72.95,0,0.00,3,0.05,21,0.34,40,0.65
PIERRE-LUC DUBOIS,,C,27.9,WSH,82,92.81,55.57,0,0.00,2,0.02,29,0.35,34,0.41
BO HORVAT,,C,31.2,NYI,81,92.79,60.56,0,0.00,3,0.04,46,0.57,82,1.01
PARKER KELLY,,L,27.1,COL,80,92.77,61.52,0,0.00,1,0.01,27,0.34,47,0.59
CHARLIE COYLE,,C,34.3,CBJ,83,92.73,52.06,0,0.00,1,0.01,5,0.06,25,0.30
ANDREAS ENGLUND,,D,30.4,NSH,35,92.72,68.88,0,0.00,1,0.03,5,0.14,11,0.31
BRENT BURNS,,D,41.2,COL,82,92.64,72.28,0,0.00,8,0.10,91,1.11,162,1.98
DECLAN CHISHOLM,,D,26.4,WSH,66,92.62,68.19,0,0.00,1,0.02,22,0.33,53,0.80
CLAUDE GIROUX,,R,38.4,OTT,81,92.52,56.77,0,0.00,1,0.01,10,0.12,32,0.40
ANDREI KUZMENKO,,R,30.3,L.A,66,92.47,58.48,0,0.00,2,0.03,18,0.27,35,0.53
PHILIPP KURASHEV,,C,26.6,S.J,51,92.38,55.93,0,0.00,1,0.02,10,0.20,13,0.25
TRAVIS KONECNY,,R,29.2,PHI,82,92.38,61.05,0,0.00,2,0.02,32,0.39,93,1.13
BRANDON TANEV,,R,34.4,UTA,79,92.38,55.28,0,0.00,1,0.01,6,0.08,20,0.25
CARSON SOUCY,,D,31.9,NYI,75,92.37,70.09,0,0.00,1,0.01,35,0.47,66,0.88
RYAN GRAVES,,D,31.0,PIT,61,92.35,67.57,0,0.00,2,0.03,14,0.23,31,0.51
NICK JENSEN,,D,35.7,OTT,71,92.34,62.81,0,0.00,2,0.03,6,0.08,45,0.63
TYSON KOZAK,,C,23.4,BUF,21,92.32,44.95,0,0.00,1,0.05,0,0.00,1,0.05
ZACK MACEWEN,,R,29.9,N.J,21,92.32,61.77,0,0.00,1,0.05,5,0.24,8,0.38
EMIL ANDRAE,,D,24.3,TOR,42,92.32,66.27,0,0.00,1,0.02,10,0.24,43,1.02
IAN COLE,,D,37.3,UTA,82,92.31,69.4,0,0.00,1,0.01,30,0.37,57,0.70
JEREMY LAUZON,,D,29.1,VGK,28,92.31,72.84,0,0.00,1,0.04,12,0.43,23,0.82
BRANDON CARLO,,D,29.5,TOR,83,92.3,67.41,0,0.00,2,0.02,27,0.33,34,0.41
HENRY THRUN,,D,25.2,TOR,60,92.23,68.06,0,0.00,2,0.03,8,0.13,36,0.60
WILL SMITH,,R,21.2,S.J,74,92.2,63.24,0,0.00,2,0.03,23,0.31,65,0.88
NICK SEELER,,D,33.0,PHI,77,92.18,67.15,0,0.00,1,0.01,16,0.21,75,0.97
DANIIL MIROMANOV,,D,28.9,CGY,44,92.18,68.06,0,0.00,1,0.02,26,0.59,40,0.91
VASILY PODKOLZIN,,L,24.9,EDM,82,92.18,53.68,0,0.00,1,0.01,16,0.20,32,0.39
FILIP HRONEK,,D,28.6,VAN,61,92.16,69.28,0,0.00,8,0.13,29,0.48,74,1.21
TANNER JEANNOT,,L,29.0,BOS,67,92.14,52.93,0,0.00,1,0.01,9,0.13,11,0.16
VINCENT TROCHECK,,C,32.9,NYR,82,92.13,53.69,0,0.00,1,0.01,11,0.13,52,0.63
ERIK JOHNSON,,D,38.2,,36,92.11,65.1,0,0.00,3,0.08,7,0.19,19,0.53
ZACHARY BOLDUC,,L,23.3,MTL,72,92.1,61.82,0,0.00,1,0.01,19,0.26,61,0.85
MIKKO RANTANEN,,R,29.6,DAL,82,92.09,56.93,0,0.00,1,0.01,16,0.20,80,0.98
ELIAS PETTERSSON,,D,22.3,VAN,28,92.08,72.95,0,0.00,3,0.11,10,0.36,34,1.21
DYLAN SAMBERG,,D,27.4,WPG,60,92.05,70.28,0,0.00,2,0.03,25,0.42,77,1.28
SAM CARRICK,,C,34.3,BUF,80,92.03,51.42,0,0.00,3,0.04,4,0.05,13,0.16
MARCUS FOLIGNO,,L,34.8,MIN,77,91.99,56.46,0,0.00,1,0.01,10,0.13,26,0.34
THOMAS HARLEY,,D,24.8,DAL,78,91.98,67.69,0,0.00,1,0.01,30,0.38,162,2.08
JAKUB VRANA,,R,30.3,,39,91.94,62.27,0,0.00,2,0.05,8,0.21,25,0.64
ADAM PELECH,,D,31.8,NYI,60,91.93,65.63,0,0.00,4,0.07,27,0.45,74,1.23
ZACH WERENSKI,,D,28.9,CBJ,81,91.92,67.38,0,0.00,3,0.04,100,1.23,173,2.14
JALEN CHATFIELD,,D,30.1,CAR,79,91.91,68.66,0,0.00,1,0.01,26,0.33,107,1.35
KEVIN HAYES,,C,34.1,PIT,64,91.85,53.97,0,0.00,1,0.02,4,0.06,31,0.48
JESPERI KOTKANIEMI,,C,25.9,CAR,78,91.85,59.25,0,0.00,1,0.01,13,0.17,50,0.64
RICKARD RAKELL,,L,33.1,PIT,81,91.85,52.9,0,0.00,1,0.01,15,0.19,51,0.63
DENTON MATEYCHUK,,D,21.9,CBJ,45,91.84,64.37,0,0.00,2,0.04,8,0.18,29,0.64
MORGAN RIELLY,,D,32.2,TOR,82,91.81,64.5,0,0.00,1,0.01,10,0.12,72,0.88
SEBASTIAN AHO,,C,28.9,CAR,79,91.8,60.4,0,0.00,2,0.03,39,0.49,88,1.11
MARTIN FEHERVARY,,D,26.7,WSH,81,91.78,68.62,0,0.00,2,0.02,28,0.35,56,0.69
KEATON MIDDLETON,,D,28.3,COL,41,91.77,70.33,0,0.00,2,0.05,20,0.49,32,0.78
MATT BOLDY,,L,25.2,MIN,82,91.74,59.79,0,0.00,1,0.01,24,0.29,130,1.59
CONNOR CLIFTON,,D,31.1,PIT,73,91.74,67.41,0,0.00,1,0.01,17,0.23,60,0.82
ADAM KLAPKA,,R,25.7,CGY,31,91.71,56.91,0,0.00,1,0.03,9,0.29,14,0.45
VLADISLAV GAVRIKOV,,D,30.5,NYR,82,91.67,67.59,0,0.00,3,0.04,43,0.52,75,0.91
RYAN STROME,,C,32.9,CGY,82,91.65,54.98,0,0.00,1,0.01,5,0.06,36,0.44
ROBBY FABBRI,,L,30.4,MIN,44,91.64,60.31,0,0.00,1,0.02,3,0.07,30,0.68
KIRILL KAPRIZOV,,L,29.1,MIN,41,91.58,57.21,0,0.00,1,0.02,7,0.17,42,1.02
DYLAN LARKIN,,C,29.8,DET,82,91.48,58.97,0,0.00,1,0.01,36,0.44,92,1.12
JACK ROSLOVIC,,R,29.3,EDM,81,91.48,61.42,0,0.00,1,0.01,15,0.19,61,0.75
LAWSON CROUSE,,R,28.9,UTA,81,91.47,54.41,0,0.00,1,0.01,17,0.21,38,0.47
PAVEL DOROFEYEV,,R,25.6,VGK,82,91.47,58.52,0,0.00,3,0.04,34,0.41,75,0.91
SEAN WALKER,,D,31.6,CAR,82,91.44,66.51,0,0.00,1,0.01,30,0.37,118,1.44
BRENDEN DILLON,,D,35.6,N.J,82,91.44,64.68,0,0.00,1,0.01,16,0.20,20,0.24
TYLER TUCKER,,D,26.3,STL,38,91.43,72.5,0,0.00,4,0.11,12,0.32,42,1.11
ALEXEY TOROPCHENKO,,L,26.9,STL,80,91.42,58.35,0,0.00,1,0.01,15,0.19,27,0.34
LUKE SCHENN,,D,36.6,BUF,76,91.42,65.83,0,0.00,1,0.01,13,0.17,46,0.61
MATT GRZELCYK,,D,32.4,CHI,82,91.41,69.3,0,0.00,2,0.02,32,0.39,77,0.94
BROCK FABER,,D,23.8,MIN,78,91.38,70.31,0,0.00,2,0.03,35,0.45,123,1.58
CRAIG SMITH,,L,36.7,,59,91.37,57.83,0,0.00,1,0.02,11,0.19,35,0.59
JADEN SCHWARTZ,,R,33.9,SEA,81,91.32,54.05,0,0.00,2,0.02,16,0.20,36,0.44
JESPER BRATT,,L,27.8,N.J,81,91.32,58.69,0,0.00,1,0.01,15,0.19,74,0.91
VICTOR MANCINI,,D,24.0,VAN,31,91.3,71.88,0,0.00,2,0.06,10,0.32,34,1.10
MASON MCTAVISH,,L,23.3,ANA,76,91.28,59.89,0,0.00,2,0.03,41,0.54,71,0.93
MICHAEL MCCARRON,,C,31.2,MIN,74,91.28,55.76,0,0.00,2,0.03,5,0.07,25,0.34
NICK PAUL,,R,31.2,T.B,76,91.25,56.52,0,0.00,1,0.01,12,0.16,51,0.67
EMIL LILLEBERG,,D,25.3,T.B,76,91.24,67.9,0,0.00,1,0.01,22,0.29,41,0.54
MARCUS PETTERSSON,,D,30.1,VAN,78,91.23,67.25,0,0.00,3,0.04,32,0.41,37,0.47
ELIAS LINDHOLM,,C,31.5,BOS,82,91.21,53.44,0,0.00,1,0.01,11,0.13,36,0.44
BOWEN BYRAM,,D,25.0,BUF,82,91.2,66.08,0,0.00,2,0.02,21,0.26,58,0.71
JOEL ARMIA,,L,33.0,L.A,81,91.19,62.09,0,0.00,2,0.02,25,0.31,44,0.54
NOAH DOBSON,,D,26.4,MTL,71,91.15,66.68,0,0.00,1,0.01,47,0.66,125,1.76
ALEXANDRE TEXIER,,L,26.7,MTL,31,91.14,66.63,0,0.00,1,0.03,14,0.45,19,0.61
NICK PERBIX,,D,28.0,NSH,74,91.09,64.96,0,0.00,1,0.01,15,0.20,48,0.65
ALEXANDER ROMANOV,,D,26.4,NYI,64,91.06,70.42,0,0.00,2,0.03,34,0.53,94,1.47
DMITRY KULIKOV,,D,35.6,FLA,70,91.01,69.06,0,0.00,3,0.04,28,0.40,42,0.60
RYAN SUTER,,D,41.4,,82,90.96,63.61,0,0.00,1,0.01,5,0.06,33,0.40
MARK SCHEIFELE,,C,33.2,WPG,82,90.91,54.45,0,0.00,1,0.01,15,0.18,48,0.59
RASMUS KUPARI,,L,26.2,WPG,59,90.89,57.93,0,0.00,1,0.02,11,0.19,18,0.31
JOE VELENO,,C,26.4,MTL,74,90.88,57.16,0,0.00,1,0.01,9,0.12,26,0.35
MATTHEW KESSEL,,D,25.9,STL,29,90.88,73.17,0,0.00,1,0.03,13,0.45,19,0.66
TOM WILSON,,R,32.2,WSH,81,90.87,58.99,0,0.00,1,0.01,34,0.42,55,0.68
ILYA LYUBUSHKIN,,D,32.2,DAL,80,90.86,68.3,0,0.00,1,0.01,27,0.34,29,0.36
JOHN MARINO,,D,29.0,UTA,35,90.83,65.37,0,0.00,1,0.03,3,0.09,20,0.57
EMIL HEINEMAN,,R,24.5,NYI,62,90.83,61.2,0,0.00,1,0.02,21,0.34,32,0.52
MACKENZIE WEEGAR,,D,32.4,UTA,81,90.82,68.15,0,0.00,1,0.01,68,0.84,139,1.72
