Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
TAGE THOMPSON,,C,28.6,BUF,76,106,68.62,5,0.07,48,0.63,86,1.13,106,1.39
GUSTAV FORSLING,,D,30.0,FLA,80,105.05,72.93,2,0.03,25,0.31,97,1.21,112,1.40
MICHAEL KESSELRING,,D,26.4,S.J,82,103.77,71.26,1,0.01,23,0.28,68,0.83,98,1.20
COLIN MILLER,,D,33.6,WPG,60,103.08,75.72,2,0.03,24,0.40,34,0.57,54,0.90
COLTON PARAYKO,,D,33.1,STL,64,102.3,69.44,1,0.02,17,0.27,57,0.89,50,0.78
ALEX VLASIC,,D,25.0,CHI,82,101.92,70.12,1,0.01,1,0.01,35,0.43,76,0.93
RYAN PULOCK,,D,31.7,NYI,74,101.34,72.44,4,0.05,35,0.47,27,0.36,40,0.54
RADKO GUDAS,,D,36.0,ANA,81,101.24,73.59,2,0.02,25,0.31,42,0.52,65,0.80
TYLER MYERS,,D,36.3,DAL,71,101.06,71.3,1,0.01,15,0.21,49,0.69,48,0.68
JEFF PETRY,,D,38.5,MIN,44,100.65,73.1,1,0.02,11,0.25,12,0.27,33,0.75
PHILIPPE MYERS,,D,29.4,TOR,36,100.37,75.47,1,0.03,15,0.42,28,0.78,36,1.00
DARREN RADDYSH,,D,30.3,TOR,73,100.34,75.77,2,0.03,38,0.52,63,0.86,66,0.90
DMITRY ORLOV,,D,34.9,S.J,76,100.14,67.71,1,0.01,20,0.26,48,0.63,47,0.62
JARED MCCANN,,L,30.0,SEA,82,99.58,65.72,0,0.00,8,0.10,92,1.12,82,1.00
JOHN CARLSON,,D,36.4,ANA,79,99.55,69.58,0,0.00,40,0.51,54,0.68,68,0.86
RASMUS DAHLIN,,D,26.1,BUF,73,99.34,72.88,0,0.00,20,0.27,94,1.29,147,2.01
MIKA ZIBANEJAD,,C,33.1,NYR,82,99.29,61.85,0,0.00,13,0.16,38,0.46,76,0.93
TYSON FOERSTER,,L,24.4,PHI,81,99.1,59.05,0,0.00,5,0.06,40,0.49,43,0.53
LOUIS CREVIER,,D,25.1,CHI,32,99.1,74.55,0,0.00,13,0.41,17,0.53,14,0.44
VICTOR HEDMAN,,D,35.5,T.B,79,98.97,74.12,0,0.00,61,0.77,70,0.89,157,1.99
VIKTOR ARVIDSSON,,R,33.2,BOS,67,98.96,60.11,0,0.00,8,0.12,24,0.36,50,0.75
ALEX OVECHKIN,,L,40.7,WSH,65,98.96,67.84,0,0.00,29,0.45,83,1.28,102,1.57
JAKE WALMAN,,D,30.3,EDM,65,98.9,72.45,0,0.00,44,0.68,75,1.15,77,1.18
EVAN BOUCHARD,,D,26.6,EDM,82,98.83,76.27,0,0.00,74,0.90,139,1.70,147,1.79
JOHNATHAN KOVACEVIC,,D,28.9,N.J,81,98.61,69.63,0,0.00,6,0.07,24,0.30,82,1.01
NICOLAS HAGUE,,D,27.5,NSH,68,98.59,74.39,0,0.00,15,0.22,34,0.50,58,0.85
CALE MAKAR,,D,27.6,COL,80,98.42,69.96,0,0.00,33,0.41,61,0.76,241,3.01
MATTIAS EKHOLM,,D,36.0,EDM,65,98.39,69.03,0,0.00,20,0.31,68,1.05,52,0.80
ADAM LARSSON,,D,33.6,SEA,82,98.34,69.38,0,0.00,9,0.11,54,0.66,56,0.68
NIKITA ZADOROV,,D,31.1,BOS,81,98.3,71.94,0,0.00,20,0.25,41,0.51,102,1.26
NILS LUNDKVIST,,D,25.9,DAL,39,98.26,70.75,0,0.00,2,0.05,16,0.41,62,1.59
DARNELL NURSE,,D,31.3,EDM,76,98.24,67.76,0,0.00,4,0.05,46,0.61,123,1.62
JAKUB LAUKO,,L,26.2,,56,98.24,60.03,0,0.00,1,0.02,2,0.04,19,0.34
J.T. MILLER,,C,33.2,NYR,72,98.22,62.62,0,0.00,15,0.21,32,0.44,53,0.74
JAKOB CHYCHRUN,,D,28.2,WSH,74,98.17,70.87,0,0.00,15,0.20,106,1.43,115,1.55
DAVID PASTRNAK,,R,30.0,BOS,82,98.03,62.33,0,0.00,13,0.16,71,0.87,120,1.46
DYLAN HOLLOWAY,,L,24.7,STL,77,97.99,61.94,0,0.00,7,0.09,43,0.56,73,0.95
MIKE MATHESON,,D,32.3,MTL,80,97.94,71.24,0,0.00,25,0.31,63,0.79,103,1.29
ROMAN JOSI,,D,36.0,NSH,53,97.77,68.91,0,0.00,26,0.49,74,1.40,53,1.00
BRANDON MONTOUR,,D,32.1,SEA,81,97.77,69.93,0,0.00,34,0.42,93,1.15,135,1.67
MATHEW DUMBA,,D,31.9,,63,97.77,70.7,0,0.00,11,0.17,29,0.46,56,0.89
RYKER EVANS,,D,24.5,SEA,73,97.54,68.07,0,0.00,3,0.04,13,0.18,59,0.81
ERIK KARLSSON,,D,36.0,PIT,82,97.52,67.99,0,0.00,13,0.16,60,0.73,118,1.44
OWEN PICKERING,,D,22.4,PIT,25,97.5,74.33,0,0.00,1,0.04,6,0.24,25,1.00
NOAH JUULSEN,,D,29.2,PHI,35,97.48,69.98,0,0.00,3,0.09,14,0.40,17,0.49
ZACH BOGOSIAN,,D,35.9,MIN,81,97.4,74.94,0,0.00,10,0.12,51,0.63,59,0.73
JOEL EDMUNDSON,,D,32.9,L.A,73,97.39,75.36,0,0.00,29,0.40,52,0.71,76,1.04
ARBER XHEKAJ,,D,25.3,MTL,70,97.22,74.79,0,0.00,12,0.17,40,0.57,59,0.84
