Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
JAKE SANDERSON,,D,23.9,OTT,67,99.72,72.28,0,0.00,24,0.36,106,1.58,124,1.85
NIKITA ZADOROV,,D,31.1,BOS,81,99.67,68.81,0,0.00,8,0.10,42,0.52,87,1.07
ALEXANDER NIKISHIN,,D,24.7,CAR,81,99.4,74.18,0,0.00,39,0.48,69,0.85,121,1.49
PHILIPPE MYERS,,D,29.4,TOR,39,99.3,74.64,0,0.00,11,0.28,27,0.69,38,0.97
JACCOB SLAVIN,,D,32.1,CAR,39,99.18,68.83,0,0.00,7,0.18,12,0.31,37,0.95
JOEL EDMUNDSON,,D,32.9,L.A,82,99.09,74.15,0,0.00,36,0.44,52,0.63,82,1.00
JAKOB CHYCHRUN,,D,28.2,WSH,80,99.06,68.09,0,0.00,23,0.29,104,1.30,160,2.00
EGOR CHINAKHOV,,L,25.3,PIT,72,99.03,65.49,0,0.00,12,0.17,77,1.07,74,1.03
MIKHAIL SERGACHEV,,D,27.9,UTA,78,99,71.24,0,0.00,34,0.44,61,0.78,128,1.64
ARBER XHEKAJ,,D,25.3,MTL,65,98.97,72.28,0,0.00,10,0.15,21,0.32,45,0.69
MORITZ SEIDER,,D,25.2,DET,82,98.93,72.7,0,0.00,17,0.21,93,1.13,173,2.11
NATE SCHMIDT,,D,34.9,UTA,82,98.85,69.01,0,0.00,10,0.12,48,0.59,66,0.80
RADKO GUDAS,,D,36.0,ANA,56,98.83,73.37,0,0.00,17,0.30,45,0.80,39,0.70
ERIK GUDBRANSON,,D,34.4,CBJ,37,98.6,72.02,0,0.00,4,0.11,19,0.51,26,0.70
JAMIE DRYSDALE,,D,24.2,PHI,78,98.46,68.19,0,0.00,3,0.04,41,0.53,95,1.22
MATTIAS EKHOLM,,D,36.0,EDM,82,98.4,67.04,0,0.00,18,0.22,65,0.79,63,0.77
ADAM LARSSON,,D,33.6,SEA,82,98.39,71.42,0,0.00,13,0.16,44,0.54,67,0.82
CALE MAKAR,,D,27.6,COL,75,98.21,70.93,0,0.00,16,0.21,91,1.21,257,3.43
ELIAS PETTERSSON,,D,22.3,VAN,70,98.17,70.6,0,0.00,5,0.07,26,0.37,44,0.63
MATTIAS SAMUELSSON,,D,26.2,BUF,78,98.09,70.61,0,0.00,6,0.08,49,0.63,115,1.47
EVAN BOUCHARD,,D,26.6,EDM,82,98.08,74.27,0,0.00,51,0.62,127,1.55,148,1.80
AXEL SANDIN-PELLIKKA,,D,21.2,DET,68,97.98,70.6,0,0.00,6,0.09,35,0.51,77,1.13
TAGE THOMPSON,,C,28.6,BUF,81,97.94,65.32,0,0.00,44,0.54,121,1.49,115,1.42
MACKLIN CELEBRINI,,C,20.0,S.J,82,97.89,62.26,0,0.00,6,0.07,81,0.99,150,1.83
ALEX OVECHKIN,,L,40.7,WSH,82,97.3,61.84,0,0.00,35,0.43,82,1.00,109,1.33
EMIL HEINEMAN,,R,24.5,NYI,82,97.28,59.97,0,0.00,5,0.06,53,0.65,70,0.85
MARK STONE,,R,34.1,VGK,60,97.27,43.07,0,0.00,5,0.08,14,0.23,14,0.23
LUKE HUGHES,,D,22.7,N.J,68,97.21,66.37,0,0.00,5,0.07,32,0.47,130,1.91
UVIS BALINSKIS,,D,29.8,FLA,54,97.18,66.35,0,0.00,3,0.06,8,0.15,50,0.93
ILYA SOLOVYOV,,D,25.9,PIT,30,97.18,68.78,0,0.00,5,0.17,7,0.23,27,0.90
JONATHAN ASPIROT,,D,27.1,BOS,61,97.15,71,0,0.00,11,0.18,18,0.30,45,0.74
LOGAN STANLEY,,D,28.0,BUF,76,97.13,72.65,0,0.00,28,0.37,63,0.83,75,0.99
IVAN PROVOROV,,D,29.4,CBJ,82,97.11,66.23,0,0.00,3,0.04,39,0.48,115,1.40
DAMON SEVERSON,,D,31.8,CBJ,71,96.87,67.57,0,0.00,11,0.15,44,0.62,58,0.82
SAM MALINSKI,,D,27.9,COL,82,96.79,71.29,0,0.00,7,0.09,94,1.15,150,1.83
ROMAN JOSI,,D,36.0,NSH,68,96.74,65.66,0,0.00,24,0.35,61,0.90,73,1.07
MATT GRZELCYK,,D,32.4,CHI,69,96.7,69.85,0,0.00,3,0.04,16,0.23,76,1.10
ERIK KARLSSON,,D,36.0,PIT,75,96.64,70.35,0,0.00,40,0.53,70,0.93,151,2.01
DREW DOUGHTY,,D,36.5,L.A,72,96.55,70.51,0,0.00,3,0.04,61,0.85,76,1.06
DOUGIE HAMILTON,,D,33.0,N.J,77,96.55,69.2,0,0.00,18,0.23,93,1.21,119,1.55
HAYDN FLEURY,,D,29.9,WPG,38,96.5,69.99,0,0.00,6,0.16,12,0.32,22,0.58
JACOB TROUBA,,D,32.3,ANA,81,96.47,69.24,0,0.00,12,0.15,66,0.81,91,1.12
BROCK BOESER,,R,29.3,VAN,75,96.4,57.68,0,0.00,7,0.09,25,0.33,75,1.00
MIKA ZIBANEJAD,,C,33.1,NYR,81,96.39,57.82,0,0.00,14,0.17,50,0.62,64,0.79
ADAM PELECH,,D,31.8,NYI,82,96.33,65.98,0,0.00,3,0.04,35,0.43,97,1.18
RASMUS DAHLIN,,D,26.1,BUF,77,96.17,68.85,0,0.00,28,0.36,77,1.00,133,1.73
JUSTIN FAULK,,D,34.2,DET,78,96.15,68.24,0,0.00,11,0.14,55,0.71,95,1.22
JEFF PETRY,,D,38.5,MIN,67,96.15,70.73,0,0.00,17,0.25,23,0.34,57,0.85
YEGOR SHARANGOVICH,,L,28.0,CGY,78,96.14,56.61,0,0.00,1,0.01,25,0.32,64,0.82
ANDREI SVECHNIKOV,,L,26.2,CAR,79,96.06,58.49,0,0.00,2,0.03,49,0.62,96,1.22
MATT ROY,,D,31.3,WSH,79,95.97,65.72,0,0.00,6,0.08,23,0.29,55,0.70
ANTHONY MANTHA,,R,31.7,PIT,81,95.95,55.59,0,0.00,7,0.09,24,0.30,53,0.65
CHARLE-EDOUARD D'ASTOUS,,D,28.1,T.B,70,95.95,69.29,0,0.00,7,0.10,46,0.66,58,0.83
KIEFER SHERWOOD,,R,31.2,S.J,72,95.79,58.94,0,0.00,7,0.10,53,0.74,61,0.85
MORGAN BARRON,,C,27.5,WPG,65,95.62,55.66,0,0.00,3,0.05,27,0.42,24,0.37
FILIP HRONEK,,D,28.6,VAN,82,95.6,70.39,0,0.00,18,0.22,54,0.66,108,1.32
MARIO FERRARO,,D,27.7,S.J,82,95.59,63.94,0,0.00,4,0.05,25,0.30,34,0.41
JIMMY SNUGGERUD,,R,22.0,STL,70,95.56,59.96,0,0.00,2,0.03,43,0.61,87,1.24
NILS LUNDKVIST,,D,25.9,DAL,52,95.53,70.69,0,0.00,5,0.10,20,0.38,44,0.85
KEVIN BAHL,,D,25.9,CGY,76,95.48,69.49,0,0.00,6,0.08,31,0.41,29,0.38
BECKETT SENNECKE,,R,20.3,ANA,82,95.45,52.63,0,0.00,6,0.07,38,0.46,69,0.84
JOSH MANSON,,D,34.7,COL,79,95.44,67.07,0,0.00,11,0.14,37,0.47,64,0.81
JACKSON LACOMBE,,D,25.4,ANA,82,95.38,64.34,0,0.00,5,0.06,58,0.71,98,1.20
ALEX VLASIC,,D,25.0,CHI,81,95.38,71.56,0,0.00,4,0.05,41,0.51,87,1.07
SEAN WALKER,,D,31.6,CAR,81,95.36,66.82,0,0.00,1,0.01,46,0.57,155,1.91
ZACH WERENSKI,,D,28.9,CBJ,75,95.33,67.9,0,0.00,12,0.16,108,1.44,192,2.56
ADRIAN KEMPE,,R,29.7,L.A,81,95.3,63.29,0,0.00,7,0.09,111,1.37,124,1.53
MATTHEW KESSEL,,D,25.9,STL,29,95.16,68.55,0,0.00,2,0.07,10,0.34,13,0.45
COLTON PARAYKO,,D,33.1,STL,77,95.1,71.47,0,0.00,16,0.21,77,1.00,42,0.55
NICOLAS HAGUE,,D,27.5,NSH,62,95.07,70.36,0,0.00,9,0.15,35,0.56,42,0.68
CODY CECI,,D,32.5,L.A,82,95.05,69.3,0,0.00,9,0.11,42,0.51,29,0.35
QUINN HUGHES,,D,26.6,MIN,74,95.04,67.99,0,0.00,6,0.08,57,0.77,157,2.12
STEVEN STAMKOS,,L,36.3,NSH,82,95,56.65,0,0.00,9,0.11,51,0.62,66,0.80
BRENT BURNS,,D,41.2,COL,82,94.98,71.97,0,0.00,8,0.10,91,1.11,179,2.18
JAMIE OLEKSIAK,,D,33.5,SEA,78,94.97,66.37,0,0.00,8,0.10,21,0.27,52,0.67
LOGAN MAILLOUX,,D,23.1,STL,67,94.92,70.1,0,0.00,3,0.04,40,0.60,80,1.19
DAVID JIRICEK,,D,22.5,PHI,26,94.87,72.28,0,0.00,1,0.04,9,0.35,16,0.62
TRAVIS SANHEIM,,D,30.2,PHI,81,94.84,67.63,0,0.00,2,0.02,42,0.52,91,1.12
NICHOLAS ROBERTSON,,R,24.7,TOR,78,94.77,57.11,0,0.00,6,0.08,19,0.24,46,0.59
ARTEM ZUB,,D,30.7,OTT,81,94.74,69.15,0,0.00,4,0.05,37,0.46,63,0.78
CALE FLEURY,,D,27.5,SEA,23,94.73,70.09,0,0.00,3,0.13,6,0.26,22,0.96
VIKTOR ARVIDSSON,,R,33.2,BOS,69,94.63,52.42,0,0.00,4,0.06,24,0.35,54,0.78
JALEN CHATFIELD,,D,30.1,CAR,72,94.62,67.19,0,0.00,3,0.04,23,0.32,100,1.39
JACK EICHEL,,C,29.6,VGK,74,94.62,61.45,0,0.00,10,0.14,86,1.16,123,1.66
MICHAEL KESSELRING,,D,26.4,S.J,34,94.57,68.92,0,0.00,6,0.18,15,0.44,35,1.03
TYLER TUCKER,,D,26.3,STL,69,94.51,68.36,0,0.00,2,0.03,19,0.28,67,0.97
CALLE JARNKROK,,R,34.7,TOR,56,94.51,56.57,0,0.00,1,0.02,2,0.04,14,0.25
DARNELL NURSE,,D,31.3,EDM,82,94.47,66.57,0,0.00,6,0.07,42,0.51,112,1.37
BRAYDEN MCNABB,,D,35.4,VGK,63,94.45,64.9,0,0.00,5,0.08,25,0.40,43,0.68
JARED MCCANN,,L,30.0,SEA,52,94.42,63.4,0,0.00,3,0.06,44,0.85,55,1.06
PHILIP BROBERG,,D,24.9,STL,81,94.41,65.07,0,0.00,2,0.02,27,0.33,90,1.11
JANI NYMAN,,L,21.8,SEA,28,94.41,56.57,0,0.00,4,0.14,6,0.21,12,0.43
JORDAN SPENCE,,D,25.3,OTT,73,94.31,68.35,0,0.00,3,0.04,38,0.52,99,1.36
FABIAN ZETTERLUND,,R,26.8,OTT,82,94.3,55.6,0,0.00,3,0.04,11,0.13,53,0.65
TIMO MEIER,,L,29.7,N.J,77,94.3,54.32,0,0.00,3,0.04,32,0.42,96,1.25
KEVIN FIALA,,L,29.9,L.A,56,94.3,59.1,0,0.00,4,0.07,39,0.70,59,1.05
VLADISLAV GAVRIKOV,,D,30.5,NYR,82,94.28,66.57,0,0.00,4,0.05,30,0.37,113,1.38
VINCE DUNN,,D,29.6,SEA,81,94.23,70.88,0,0.00,8,0.10,73,0.90,157,1.94
LIAN BICHSEL,,D,22.0,DAL,50,94.12,71.92,0,0.00,3,0.06,17,0.34,48,0.96
ROSS COLTON,,L,29.7,NSH,73,94.11,52.15,0,0.00,1,0.01,8,0.11,45,0.62
ZACH WHITECLOUD,,D,29.5,CGY,78,94.05,68.04,0,0.00,6,0.08,24,0.31,65,0.83
FRANK NAZAR,,C,22.4,CHI,66,94,53.45,0,0.00,1,0.02,20,0.30,38,0.58
MATTHEW ROBERTSON,,D,25.2,NYR,72,93.98,69.05,0,0.00,2,0.03,36,0.50,75,1.04
SHAYNE GOSTISBEHERE,,D,33.1,CAR,55,93.97,69.96,0,0.00,13,0.24,52,0.95,87,1.58
RYAN LEONARD,,R,21.4,WSH,75,93.94,62.86,0,0.00,6,0.08,69,0.92,62,0.83
SIMON BENOIT,,D,27.7,PHI,73,93.92,67.95,0,0.00,4,0.05,25,0.34,34,0.47
MATTHEW SCHAEFER,,D,18.7,NYI,82,93.91,67.71,0,0.00,4,0.05,88,1.07,196,2.39
JOHN KLINGBERG,,D,33.8,S.J,56,93.66,66.88,0,0.00,5,0.09,15,0.27,82,1.46
NIKOLAJ EHLERS,,L,30.3,CAR,82,93.63,63.86,0,0.00,5,0.06,60,0.73,108,1.32
THOMAS CHABOT,,D,29.3,OTT,57,93.62,67.11,0,0.00,7,0.12,39,0.68,74,1.30
NILS HOGLANDER,,R,25.5,VAN,38,93.61,55.86,0,0.00,2,0.05,7,0.18,14,0.37
MATT BOLDY,,L,25.2,MIN,76,93.61,57.97,0,0.00,4,0.05,43,0.57,113,1.49
MIKAEL BACKLUND,,C,37.2,CGY,82,93.53,53.56,0,0.00,6,0.07,17,0.21,39,0.48
ALBERT JOHANSSON,,D,25.4,DET,82,93.52,66.74,0,0.00,7,0.09,25,0.30,58,0.71
NOAH DOBSON,,D,26.4,MTL,80,93.49,67.53,0,0.00,2,0.03,71,0.89,120,1.50
BRANDON CARLO,,D,29.5,TOR,55,93.42,66.43,0,0.00,3,0.05,21,0.38,28,0.51
BO HORVAT,,C,31.2,NYI,68,93.4,61.69,0,0.00,2,0.03,71,1.04,84,1.24
MARTIN NECAS,,R,27.4,COL,78,93.38,60.33,0,0.00,7,0.09,26,0.33,109,1.40
BEN CHIAROT,,D,35.1,DET,82,93.38,68.68,0,0.00,5,0.06,34,0.41,93,1.13
SEAN DURZI,,D,27.6,UTA,60,93.33,66.17,0,0.00,2,0.03,26,0.43,81,1.35
PAVEL DOROFEYEV,,R,25.6,VGK,82,93.33,55.51,0,0.00,3,0.04,49,0.60,80,0.98
ZACH BOGOSIAN,,D,35.9,MIN,41,93.3,70.82,0,0.00,3,0.07,24,0.59,21,0.51
MIKE REILLY,,D,32.9,CAR,42,93.3,68,0,0.00,4,0.10,18,0.43,43,1.02
TAYLOR WARD,,R,28.2,L.A,36,93.28,58.24,0,0.00,3,0.08,10,0.28,18,0.50
RASMUS RISTOLAINEN,,D,31.6,PHI,44,93.25,65.4,0,0.00,3,0.07,23,0.52,38,0.86
DMITRI SIMASHEV,,D,21.3,UTA,28,93.22,67.52,0,0.00,1,0.04,9,0.32,14,0.50
ARTYOM LEVSHUNOV,,D,20.6,CHI,68,93.21,67.37,0,0.00,3,0.04,32,0.47,60,0.88
CONNOR MURPHY,,D,33.2,EDM,80,93.19,66.89,0,0.00,2,0.03,23,0.29,42,0.53
OWEN TIPPETT,,L,27.3,PHI,81,93.15,60.51,0,0.00,3,0.04,63,0.78,104,1.28
CAM YORK,,D,25.4,PHI,74,93.14,62.04,0,0.00,1,0.01,12,0.16,78,1.05
EVGENI MALKIN,,R,39.8,PIT,56,93.07,52.4,0,0.00,1,0.02,9,0.16,38,0.68
DAVID PASTRNAK,,R,30.0,BOS,77,93.06,58.84,0,0.00,10,0.13,64,0.83,99,1.29
DYLAN HOLLOWAY,,L,24.7,STL,59,93.05,59.02,0,0.00,1,0.02,38,0.64,72,1.22
CHARLIE MCAVOY,,D,28.5,BOS,69,92.99,64.6,0,0.00,2,0.03,29,0.42,93,1.35
PAVEL ZACHA,,C,29.2,BOS,78,92.95,49.68,0,0.00,2,0.03,16,0.21,36,0.46
SETH JONES,,D,31.7,FLA,52,92.94,68.26,0,0.00,7,0.13,27,0.52,84,1.62
TYSON FOERSTER,,L,24.4,PHI,29,92.9,61.75,0,0.00,2,0.07,19,0.66,22,0.76
OWEN POWER,,D,23.5,BUF,81,92.88,64.55,0,0.00,1,0.01,27,0.33,65,0.80
SAM BENNETT,,C,30.0,FLA,76,92.87,50.46,0,0.00,1,0.01,10,0.13,69,0.91
NIKOLAS MATINPALO,,D,27.7,OTT,50,92.84,72.43,0,0.00,5,0.10,23,0.46,37,0.74
LAWSON CROUSE,,R,28.9,UTA,81,92.84,51.12,0,0.00,2,0.02,25,0.31,40,0.49
JOSH MORRISSEY,,D,31.2,WPG,77,92.82,67.56,0,0.00,6,0.08,69,0.90,91,1.18
EELI TOLVANEN,,L,27.1,SEA,78,92.8,61.34,0,0.00,6,0.08,52,0.67,57,0.73
OLIVER EKMAN-LARSSON,,D,34.9,TOR,78,92.79,70.94,0,0.00,4,0.05,61,0.78,104,1.33
SHEA THEODORE,,D,30.8,VGK,70,92.77,68.85,0,0.00,4,0.06,60,0.86,104,1.49
ALEXANDER PETROVIC,,D,34.3,DAL,54,92.74,68.11,0,0.00,3,0.06,13,0.24,32,0.59
ELMER SODERBLOM,,L,24.9,PIT,59,92.73,53.85,0,0.00,7,0.12,13,0.22,15,0.25
BROCK FABER,,D,23.8,MIN,80,92.67,70.25,0,0.00,4,0.05,58,0.73,175,2.19
MARTIN FEHERVARY,,D,26.7,WSH,81,92.67,65.01,0,0.00,2,0.02,24,0.30,50,0.62
TYLER MYERS,,D,36.3,DAL,73,92.67,71.31,0,0.00,5,0.07,51,0.70,49,0.67
WILLIAM NYLANDER,,R,30.1,TOR,65,92.61,58.78,0,0.00,3,0.05,50,0.77,54,0.83
K'ANDRE MILLER,,D,26.4,CAR,72,92.59,70.72,0,0.00,4,0.06,43,0.60,153,2.13
ADAM KLAPKA,,R,25.7,CGY,79,92.58,57.32,0,0.00,4,0.05,28,0.35,27,0.34
KRIS LETANG,,D,39.1,PIT,74,92.58,65.46,0,0.00,4,0.05,25,0.34,64,0.86
KYLE CAPOBIANCO,,D,28.8,DAL,33,92.5,68.24,0,0.00,1,0.03,6,0.18,25,0.76
DANTE FABBRO,,D,28.0,CBJ,74,92.41,69.12,0,0.00,2,0.03,17,0.23,71,0.96
ANDREI KUZMENKO,,R,30.3,L.A,52,92.35,53.67,0,0.00,1,0.02,15,0.29,32,0.62
MARK KASTELIC,,R,27.2,BOS,82,92.33,52.79,0,0.00,1,0.01,16,0.20,33,0.40
BRADEN SCHNEIDER,,D,24.7,NYR,82,92.33,67.96,0,0.00,2,0.02,28,0.34,99,1.21
BRADY TKACHUK,,L,26.7,OTT,60,92.28,55.2,0,0.00,3,0.05,36,0.60,59,0.98
JARED SPURGEON,,D,36.5,MIN,79,92.28,62.65,0,0.00,1,0.01,16,0.20,40,0.51
DMITRY ORLOV,,D,34.9,S.J,82,92.27,66.16,0,0.00,2,0.02,50,0.61,47,0.57
CARSON SOUCY,,D,31.9,NYI,76,92.22,67.51,0,0.00,1,0.01,29,0.38,32,0.42
NOAH JUULSEN,,D,29.2,PHI,52,92.13,74.36,0,0.00,8,0.15,27,0.52,25,0.48
JOHN MARINO,,D,29.0,UTA,80,92.1,65.28,0,0.00,2,0.03,23,0.29,40,0.50
GABRIEL LANDESKOG,,L,33.5,COL,60,92.08,47.9,0,0.00,1,0.02,8,0.13,32,0.53
NIKITA KUCHEROV,,R,33.0,T.B,77,92.06,62.49,0,0.00,3,0.04,63,0.82,131,1.70
ROOPE HINTZ,,C,29.5,DAL,53,92.03,52.09,0,0.00,1,0.02,18,0.34,24,0.45
ZACH METSA,,D,27.6,BUF,43,92.02,67.68,0,0.00,1,0.02,5,0.12,17,0.40
WARREN FOEGELE,,L,30.2,OTT,68,91.93,53.18,0,0.00,1,0.01,17,0.25,34,0.50
DREW HELLESON,,D,25.2,ANA,60,91.91,67.34,0,0.00,1,0.02,9,0.15,43,0.72
LIAM OHGREN,,L,22.3,VAN,69,91.9,59.45,0,0.00,2,0.03,23,0.33,35,0.51
BOWEN BYRAM,,D,25.0,BUF,82,91.87,65.28,0,0.00,1,0.01,23,0.28,92,1.12
ELIAS PETTERSSON,,C,27.6,VAN,74,91.81,59.47,0,0.00,2,0.03,30,0.41,79,1.07
TY EMBERSON,,D,26.0,EDM,72,91.8,69.43,0,0.00,1,0.01,12,0.17,47,0.65
JOEL HANLEY,,D,35.0,CGY,68,91.75,66.49,0,0.00,1,0.01,13,0.19,29,0.43
DYLAN LARKIN,,C,29.8,DET,74,91.73,54.61,0,0.00,2,0.03,42,0.57,72,0.97
SAM DICKINSON,,D,20.0,S.J,72,91.73,69.57,0,0.00,3,0.04,35,0.49,76,1.06
TIMOTHY LILJEGREN,,D,27.1,WSH,47,91.72,66.97,0,0.00,2,0.04,16,0.34,50,1.06
PAUL COTTER,,L,26.5,N.J,79,91.72,49.9,0,0.00,1,0.01,5,0.06,17,0.22
TEUVO TERAVAINEN,,L,31.7,CHI,75,91.69,53.14,0,0.00,2,0.03,8,0.11,18,0.24
IAN MOORE,,D,24.4,ANA,67,91.69,63.61,0,0.00,2,0.03,19,0.28,53,0.79
BRETT KULAK,,D,32.4,COL,83,91.68,63.99,0,0.00,2,0.02,27,0.33,42,0.51
RYAN GRAVES,,D,31.0,PIT,22,91.61,69.61,0,0.00,3,0.14,10,0.45,23,1.05
DEVON TOEWS,,D,32.3,COL,68,91.56,66.75,0,0.00,1,0.01,31,0.46,80,1.18
SIMON NEMEC,,D,22.3,N.J,68,91.48,64.61,0,0.00,2,0.03,29,0.43,78,1.15
CONNOR MCMICHAEL,,L,25.4,WSH,78,91.4,51.69,0,0.00,1,0.01,13,0.17,42,0.54
DYLAN GUENTHER,,R,23.2,UTA,79,91.39,61.4,0,0.00,2,0.03,82,1.04,122,1.54
JOEL ERIKSSON EK,,C,29.3,MIN,70,91.37,50.78,0,0.00,1,0.01,17,0.24,52,0.74
ANDREW PEEKE,,D,28.2,BOS,77,91.28,64.92,0,0.00,1,0.01,10,0.13,62,0.81
HENRI JOKIHARJU,,D,27.0,BOS,41,91.28,68.1,0,0.00,1,0.02,12,0.29,41,1.00
CLAYTON KELLER,,L,27.8,UTA,82,91.26,58.03,0,0.00,1,0.01,40,0.49,55,0.67
RYAN DONATO,,L,30.2,CHI,82,91.26,53.4,0,0.00,1,0.01,35,0.43,36,0.44
KASPERI KAPANEN,,R,29.9,EDM,41,91.2,55.54,0,0.00,1,0.02,14,0.34,14,0.34
TOM WILSON,,R,32.2,WSH,72,91.2,51.4,0,0.00,1,0.01,16,0.22,58,0.81
DECLAN CHISHOLM,,D,26.4,WSH,26,91.18,66.64,0,0.00,1,0.04,6,0.23,21,0.81
JAKE MCCABE,,D,32.6,TOR,80,91.18,64.51,0,0.00,2,0.03,17,0.21,50,0.63
ZEMGUS GIRGENSONS,,L,32.4,T.B,74,91.17,46.83,0,0.00,1,0.01,5,0.07,17,0.23
VINCENT TROCHECK,,C,32.9,NYR,67,91.12,48.42,0,0.00,2,0.03,0,0.00,26,0.39
VASILY PODKOLZIN,,L,24.9,EDM,82,91.11,53.77,0,0.00,1,0.01,18,0.22,44,0.54
JEREMY LAUZON,,D,29.1,VGK,68,91.07,66.21,0,0.00,1,0.01,31,0.46,45,0.66
SCOTT MORROW,,D,23.6,NYR,29,91.06,66.12,0,0.00,1,0.03,6,0.21,24,0.83
NATHAN MACKINNON,,C,30.8,COL,80,90.99,58.6,0,0.00,1,0.01,62,0.78,121,1.51
MACKENZIE WEEGAR,,D,32.4,UTA,79,90.98,67.85,0,0.00,1,0.01,53,0.67,119,1.51
KYLE CONNOR,,L,29.5,WPG,82,90.91,56.62,0,0.00,1,0.01,39,0.48,104,1.27
JONAS SIEGENTHALER,,D,29.1,N.J,82,90.88,63.83,0,0.00,1,0.01,14,0.17,34,0.41
SHAKIR MUKHAMADULLIN,,D,24.4,S.J,50,90.87,67.95,0,0.00,1,0.02,20,0.40,39,0.78
OLLI MAATTA,,D,31.8,CGY,43,90.84,59.68,0,0.00,2,0.05,5,0.12,13,0.30
JAMES VAN RIEMSDYK,,L,37.1,DET,72,90.84,41.71,0,0.00,1,0.01,2,0.03,14,0.19
CONNOR BEDARD,,C,20.9,CHI,69,90.74,60.74,0,0.00,1,0.01,35,0.51,123,1.78
RASMUS SANDIN,,D,26.2,WSH,73,90.74,66.92,0,0.00,1,0.01,13,0.18,79,1.08
BRENDEN DILLON,,D,35.6,N.J,82,90.71,65.75,0,0.00,1,0.01,14,0.17,23,0.28
HAMPUS LINDHOLM,,D,32.4,BOS,67,90.68,68.09,0,0.00,1,0.01,37,0.55,87,1.30
ARSENY GRITSYUK,,L,25.2,N.J,66,90.64,60.96,0,0.00,1,0.02,38,0.58,61,0.92
KEVIN STENLUND,,C,29.7,UTA,80,90.62,58.04,0,0.00,1,0.01,17,0.21,36,0.45
NOAH HANIFIN,,D,29.4,VGK,71,90.61,68.42,0,0.00,2,0.03,57,0.80,87,1.23
DRAKE BATHERSON,,R,28.1,OTT,79,90.61,52.62,0,0.00,1,0.01,25,0.32,50,0.63
ADAM WILSBY,,D,25.8,NSH,58,90.58,61.69,0,0.00,1,0.02,13,0.22,24,0.41
SIMON HOLMSTROM,,R,25.0,NYI,79,90.56,57.15,0,0.00,1,0.01,23,0.29,38,0.48
NEAL PIONK,,D,30.8,WPG,51,90.56,69.18,0,0.00,1,0.02,46,0.90,58,1.14
SHANE PINTO,,C,25.6,OTT,72,90.56,56.11,0,0.00,1,0.01,21,0.29,63,0.88
LUCAS RAYMOND,,R,24.2,DET,80,90.47,60.53,0,0.00,1,0.01,37,0.46,94,1.18
FILIP FORSBERG,,L,31.8,NSH,82,90.46,61.02,0,0.00,2,0.02,79,0.96,142,1.73
JAKE CHRISTIANSEN,,D,26.7,CBJ,40,90.37,66.86,0,0.00,1,0.03,8,0.20,22,0.55
ANTHONY DUCLAIR,,L,30.8,NYI,62,90.36,59.02,0,0.00,2,0.03,20,0.32,33,0.53
MATTY BENIERS,,C,23.6,SEA,82,90.36,54.9,0,0.00,1,0.01,20,0.24,71,0.87
WILL CUYLLE,,L,24.3,NYR,82,90.33,53.75,0,0.00,1,0.01,27,0.33,56,0.68
PARKER KELLY,,L,27.1,COL,82,90.29,54.15,0,0.00,1,0.01,23,0.28,37,0.45
BOONE JENNER,,C,33.0,CBJ,67,90.27,50.73,0,0.00,1,0.01,24,0.36,40,0.60
WILL SMITH,,R,21.2,S.J,69,90.26,55.67,0,0.00,1,0.01,12,0.17,72,1.04
BEN HUTTON,,D,33.1,VGK,55,90.19,69.04,0,0.00,1,0.02,33,0.60,48,0.87
LANE HUTSON,,D,22.3,MTL,82,90.18,62.09,0,0.00,1,0.01,10,0.12,74,0.90
JAMIE BENN,,R,36.9,DAL,60,90.18,45.13,0,0.00,1,0.02,5,0.08,11,0.18
JASON ROBERTSON,,L,26.9,DAL,82,90.18,55.41,0,0.00,1,0.01,35,0.43,107,1.30
EGOR ZAMULA,,D,26.2,CBJ,33,90.15,71.12,0,0.00,1,0.03,6,0.18,18,0.55
IVAN DEMIDOV,,R,20.5,MTL,82,90.14,59.96,0,0.00,2,0.02,27,0.33,80,0.98
PARKER WOTHERSPOON,,D,28.8,PIT,80,90.12,69.59,0,0.00,1,0.01,14,0.18,63,0.79
DYLAN SAMBERG,,D,27.4,WPG,66,90.1,68.62,0,0.00,1,0.02,36,0.55,71,1.08
TIM STUTZLE,,C,24.4,OTT,80,90.1,55.52,0,0.00,1,0.01,24,0.30,100,1.25
JOSHUA MAHURA,,D,28.1,SEA,23,90.07,67.89,0,0.00,1,0.04,4,0.17,16,0.70
DYLAN COZENS,,C,25.3,OTT,82,90.04,53.27,0,0.00,1,0.01,28,0.34,81,0.99
OLEN ZELLWEGER,,D,22.7,ANA,76,90.03,64.17,0,0.00,1,0.01,39,0.51,87,1.14
DONOVAN SEBRANGO,,D,24.4,FLA,42,90.01,71.51,0,0.00,1,0.02,16,0.38,44,1.05
TY DELLANDREA,,R,25.9,S.J,46,89.97,49.79,0,0.00,0,0.00,7,0.15,15,0.33
NICK BLANKENBURG,,D,28.1,COL,61,89.97,66.2,0,0.00,0,0.00,18,0.30,74,1.21
VICTOR OLOFSSON,,R,30.9,CGY,78,89.96,60.83,0,0.00,0,0.00,39,0.50,61,0.78
