Name,Compare,Pos,Age,Team,GP,Top Speed,Average Speed,100+ MPH,100+ MPH/G,90-100 MPH,90-100 MPH/G,80-90 MPH,80-90 MPH/G,70-80 MPH,70-80 MPH/G
MIKEY ANDERSON,,D,27.0,L.A,80,83.11,63.14,0,0.00,0,0.00,8,0.10,49,0.61
ZACHARY L'HEUREUX,,L,23.1,NSH,25,83.07,43.2,0,0.00,0,0.00,2,0.08,6,0.24
JAKE GUENTZEL,,L,31.7,T.B,81,83.05,48.54,0,0.00,0,0.00,4,0.05,44,0.54
ROSS JOHNSTON,,L,32.3,ANA,62,83,47.08,0,0.00,0,0.00,1,0.02,4,0.06
BRENDAN GAUNCE,,C,32.2,CBJ,25,82.99,55.42,0,0.00,0,0.00,3,0.12,17,0.68
WILLIAM CARRIER,,L,31.5,CAR,70,82.97,46.33,0,0.00,0,0.00,1,0.01,11,0.16
LANDON SLAGGERT,,R,23.9,CHI,53,82.96,46.32,0,0.00,0,0.00,2,0.04,9,0.17
MARAT KHUSNUTDINOV,,L,23.9,BOS,77,82.94,46.35,0,0.00,0,0.00,1,0.01,19,0.25
NICK PAUL,,R,31.2,T.B,51,82.93,50.53,0,0.00,0,0.00,4,0.08,24,0.47
MATHIEU JOSEPH,,R,29.3,L.A,51,82.9,49.36,0,0.00,0,0.00,2,0.04,16,0.31
ISAAC HOWARD,,L,22.2,EDM,29,82.9,61.65,0,0.00,0,0.00,9,0.31,21,0.72
BRETT PESCE,,D,31.6,N.J,37,82.9,62.13,0,0.00,0,0.00,1,0.03,29,0.78
BARRETT HAYTON,,C,26.0,UTA,67,82.84,49,0,0.00,0,0.00,6,0.09,29,0.43
ZACHARY ASTON-REESE,,L,31.8,CBJ,27,82.8,50.73,0,0.00,0,0.00,1,0.04,5,0.19
JEFFREY VIEL,,R,29.3,ANA,45,82.79,46.86,0,0.00,0,0.00,3,0.07,14,0.31
TREVOR ZEGRAS,,C,25.2,PHI,81,82.79,57.2,0,0.00,0,0.00,8,0.10,77,0.95
ARSHDEEP BAINS,,L,25.4,VAN,28,82.77,45.53,0,0.00,0,0.00,1,0.04,0,0.00
TOMMY NOVAK,,C,29.1,PIT,82,82.73,48.64,0,0.00,0,0.00,2,0.02,26,0.32
NIKITA GREBENKIN,,L,23.1,PHI,55,82.7,53.71,0,0.00,0,0.00,4,0.07,11,0.20
SEAN MONAHAN,,C,31.6,CBJ,78,82.68,47.79,0,0.00,0,0.00,1,0.01,23,0.29
ADAM EDSTROM,,C,25.6,NYR,35,82.68,45.71,0,0.00,0,0.00,2,0.06,6,0.17
NATHAN WALKER,,R,32.3,STL,46,82.68,46.45,0,0.00,0,0.00,2,0.04,6,0.13
ANDREW COPP,,C,31.9,DET,79,82.63,43.28,0,0.00,0,0.00,9,0.11,19,0.24
ANTON LUNDELL,,C,24.7,FLA,64,82.56,52.13,0,0.00,0,0.00,3,0.05,48,0.75
STEVEN LORENTZ,,L,30.1,TOR,71,82.54,51.58,0,0.00,0,0.00,4,0.06,16,0.23
JAKE NEIGHBOURS,,L,24.2,STL,69,82.52,44.72,0,0.00,0,0.00,2,0.03,23,0.33
MATVEI MICHKOV,,R,21.5,PHI,81,82.5,51.55,0,0.00,0,0.00,2,0.02,36,0.44
NIC DOWD,,C,36.0,VGK,75,82.49,47.61,0,0.00,0,0.00,1,0.01,20,0.27
JORDAN EBERLE,,R,36.1,SEA,80,82.41,48.72,0,0.00,0,0.00,3,0.04,33,0.41
JACOB QUILLAN,,C,24.3,TOR,23,82.4,57.37,0,0.00,0,0.00,2,0.09,4,0.17
NOAH CATES,,C,27.3,PHI,82,82.36,48.73,0,0.00,0,0.00,6,0.07,36,0.44
ALEC REGULA,,D,25.8,EDM,29,82.28,66.25,0,0.00,0,0.00,3,0.10,13,0.45
LUKE GLENDENING,,L,37.1,PHI,70,82.23,43.81,0,0.00,0,0.00,2,0.03,8,0.11
ZACK OSTAPCHUK,,C,23.0,S.J,59,82.22,44.96,0,0.00,0,0.00,2,0.03,7,0.12
GABRIEL VILARDI,,R,26.8,WPG,82,82.1,44.2,0,0.00,0,0.00,6,0.07,33,0.40
PAVEL MINTYUKOV,,D,22.5,ANA,73,82.08,60.76,0,0.00,0,0.00,9,0.12,39,0.53
LUKAS REICHEL,,L,24.0,BOS,29,82.06,51.52,0,0.00,0,0.00,1,0.03,5,0.17
CONNOR MCDAVID,,C,29.4,EDM,82,82.05,48.39,0,0.00,0,0.00,5,0.06,56,0.68
BARCLAY GOODROW,,L,33.3,S.J,82,82.03,51.06,0,0.00,0,0.00,1,0.01,20,0.24
JESPERI KOTKANIEMI,,C,25.9,CAR,42,81.99,49.39,0,0.00,0,0.00,2,0.05,11,0.26
PAVOL REGENDA,,L,26.5,S.J,24,81.96,41.03,0,0.00,0,0.00,1,0.04,4,0.17
NATE DANIELSON,,C,21.7,DET,28,81.94,53.16,0,0.00,0,0.00,2,0.07,9,0.32
CURTIS LAZAR,,R,31.3,EDM,45,81.87,42.65,0,0.00,0,0.00,1,0.02,4,0.09
JORDAN GREENWAY,,L,29.3,BUF,40,81.81,55.29,0,0.00,0,0.00,2,0.05,16,0.40
ROBERT THOMAS,,C,26.9,STL,64,81.8,54.11,0,0.00,0,0.00,4,0.06,36,0.56
REILLY SMITH,,L,35.2,VGK,69,81.78,52.87,0,0.00,0,0.00,3,0.04,34,0.49
STEPHEN HALLIDAY,,C,23.9,OTT,30,81.76,47.07,0,0.00,0,0.00,2,0.07,7,0.23
JEAN-GABRIEL PAGEAU,,C,33.6,NYI,74,81.72,47.19,0,0.00,0,0.00,5,0.07,17,0.23
KEVIN HAYES,,C,34.1,PIT,28,81.67,51.74,0,0.00,0,0.00,2,0.07,16,0.57
NICOLAS ROY,,R,29.3,COL,74,81.66,45,0,0.00,0,0.00,2,0.03,15,0.20
LIAM O'BRIEN,,L,31.8,UTA,38,81.62,48.15,0,0.00,0,0.00,1,0.03,14,0.37
MORGAN FROST,,C,27.1,CGY,82,81.52,49.12,0,0.00,0,0.00,1,0.01,37,0.45
FEDOR SVECHKOV,,C,23.2,NSH,70,81.5,52.58,0,0.00,0,0.00,2,0.03,21,0.30
TIM WASHE,,C,24.8,ANA,39,81.49,45.59,0,0.00,0,0.00,2,0.05,5,0.13
COLE SCHWINDT,,C,25.1,FLA,29,81.48,45.89,0,0.00,0,0.00,2,0.07,6,0.21
MASON APPLETON,,R,30.4,DET,65,81.44,52.05,0,0.00,0,0.00,1,0.02,15,0.23
OSKAR SUNDQVIST,,C,32.2,STL,52,81.4,52.16,0,0.00,0,0.00,2,0.04,13,0.25
CURTIS DOUGLAS,,L,26.2,VAN,43,81.26,45.79,0,0.00,0,0.00,2,0.05,7,0.16
MATT SAVOIE,,L,22.4,EDM,82,81.26,50.92,0,0.00,0,0.00,5,0.06,36,0.44
CHRISTIAN DVORAK,,C,30.3,PHI,80,81.22,44.32,0,0.00,0,0.00,2,0.03,26,0.33
OTTO STENBERG,,L,21.0,STL,32,81.21,47.91,0,0.00,0,0.00,1,0.03,9,0.28
TEDDY BLUEGER,,C,31.8,VAN,35,81.17,55.82,0,0.00,0,0.00,2,0.06,12,0.34
JACK FINLEY,,C,23.8,STL,44,81.17,48.2,0,0.00,0,0.00,1,0.02,6,0.14
COLTON WHITE,,D,29.1,N.J,23,81.14,64.26,0,0.00,0,0.00,1,0.04,15,0.65
IGOR CHERNYSHOV,,L,20.5,S.J,28,81.13,47.6,0,0.00,0,0.00,1,0.04,8,0.29
TYSON KOZAK,,C,23.4,BUF,46,81.12,51.62,0,0.00,0,0.00,2,0.04,7,0.15
BRANDON SAAD,,L,33.6,VGK,49,81.11,47.99,0,0.00,0,0.00,1,0.02,9,0.18
ADAM ERNE,,L,31.1,DAL,45,81,51.54,0,0.00,0,0.00,1,0.02,11,0.24
NICK BJUGSTAD,,R,33.9,N.J,61,81,53.05,0,0.00,0,0.00,3,0.05,29,0.48
CALUM RITCHIE,,R,21.4,NYI,65,80.92,49.45,0,0.00,0,0.00,1,0.02,29,0.45
ZACH BENSON,,L,21.1,BUF,65,80.92,47.08,0,0.00,0,0.00,2,0.03,27,0.42
MAXIM TSYPLAKOV,,R,27.7,N.J,49,80.88,53.37,0,0.00,0,0.00,2,0.04,15,0.31
CONNOR BROWN,,R,32.4,N.J,75,80.8,47.62,0,0.00,0,0.00,1,0.01,18,0.24
