Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
CALE MAKAR,,D,27.6,COL,75,23.68,25,0.33,198,2.64,476,6.35
MORGAN BARRON,,C,27.5,WPG,65,23.64,17,0.26,146,2.25,376,5.78
EGOR CHINAKHOV,,L,25.3,PIT,72,23.63,29,0.40,164,2.28,554,7.69
NICK SUZUKI,,C,26.8,MTL,82,23.62,9,0.11,228,2.78,757,9.23
ROOPE HINTZ,,C,29.5,DAL,53,23.61,33,0.62,226,4.26,508,9.58
CONNOR DEWAR,,L,26.9,PIT,78,23.61,4,0.05,68,0.87,414,5.31
VINNIE HINOSTROZA,,R,32.2,FLA,65,23.61,14,0.22,190,2.92,414,6.37
ERIC ROBINSON,,R,31.0,CAR,67,23.6,22,0.33,103,1.54,341,5.09
ILYA MIKHEYEV,,L,31.6,CHI,77,23.54,12,0.16,182,2.36,484,6.29
TIM STUTZLE,,C,24.4,OTT,80,23.54,46,0.58,318,3.98,756,9.45
JAKE DEBRUSK,,L,29.6,VAN,81,23.53,9,0.11,159,1.96,559,6.90
ALEXEY TOROPCHENKO,,L,26.9,STL,65,23.52,13,0.20,159,2.45,377,5.80
ETHEN FRANK,,R,28.3,WSH,62,23.52,30,0.48,197,3.18,404,6.52
JAKE WALMAN,,D,30.3,EDM,53,23.52,2,0.04,26,0.49,156,2.94
EMIL HEINEMAN,,R,24.5,NYI,82,23.51,17,0.21,160,1.95,640,7.80
JAMIE DRYSDALE,,D,24.2,PHI,78,23.51,7,0.09,135,1.73,445,5.71
VALERI NICHUSHKIN,,R,31.3,COL,72,23.5,15,0.21,171,2.38,607,8.43
WILLIAM NYLANDER,,R,30.1,TOR,65,23.48,5,0.08,107,1.65,437,6.72
COLE SMITH,,L,30.6,VGK,63,23.47,8,0.13,107,1.70,372,5.90
BRAYDEN POINT,,C,30.2,T.B,63,23.46,36,0.57,279,4.43,677,10.75
PHILIP BROBERG,,D,24.9,STL,81,23.46,11,0.14,147,1.81,446,5.51
NOAH HANIFIN,,D,29.4,VGK,71,23.45,6,0.08,75,1.06,364,5.13
MARK SCHEIFELE,,C,33.2,WPG,82,23.44,2,0.02,119,1.45,693,8.45
KIRBY DACH,,R,25.4,MTL,37,23.42,1,0.03,67,1.81,263,7.11
ADAM GAUDETTE,,R,29.7,S.J,66,23.41,1,0.02,42,0.64,311,4.71
TYSON KOZAK,,C,23.4,BUF,46,23.41,9,0.20,97,2.11,332,7.22
ALEX LAFERRIERE,,R,24.6,L.A,82,23.4,9,0.11,173,2.11,649,7.91
BRADY SKJEI,,D,32.2,NSH,82,23.4,2,0.02,63,0.77,315,3.84
ADAM FANTILLI,,C,21.6,CBJ,82,23.39,15,0.18,181,2.21,742,9.05
SETH JARVIS,,R,24.3,CAR,71,23.38,14,0.20,157,2.21,496,6.99
LUKE HUGHES,,D,22.7,N.J,68,23.37,7,0.10,110,1.62,399,5.87
KIRILL MARCHENKO,,L,25.9,CBJ,76,23.36,28,0.37,273,3.59,821,10.80
GUSTAV FORSLING,,D,30.0,FLA,80,23.34,4,0.05,70,0.88,351,4.39
GAGE GONCALVES,,L,25.4,T.B,74,23.32,3,0.04,37,0.50,286,3.86
BOBBY BRINK,,R,24.9,MIN,68,23.3,2,0.03,105,1.54,548,8.06
BRANDON DUHAIME,,L,29.0,WSH,82,23.3,11,0.13,108,1.32,378,4.61
ROBERT THOMAS,,C,26.9,STL,64,23.3,1,0.02,88,1.38,454,7.09
PEYTON KREBS,,L,25.4,BUF,82,23.28,10,0.12,158,1.93,594,7.24
LUKE GLENDENING,,L,37.1,PHI,70,23.28,7,0.10,115,1.64,439,6.27
JOSH ANDERSON,,R,32.1,MTL,72,23.28,36,0.50,221,3.07,566,7.86
LEON DRAISAITL,,C,30.6,EDM,65,23.28,12,0.18,142,2.18,513,7.89
CHANDLER STEPHENSON,,C,32.1,SEA,80,23.27,8,0.10,161,2.01,585,7.31
ZACK OSTAPCHUK,,C,23.0,S.J,59,23.27,10,0.17,142,2.41,404,6.85
JAROSLAV CHMELAR,,R,22.9,NYR,28,23.25,6,0.21,60,2.14,144,5.14
JOEL KIVIRANTA,,R,30.2,COL,51,23.25,2,0.04,58,1.14,284,5.57
NICK SCHMALTZ,,C,30.3,UTA,82,23.24,10,0.12,198,2.41,822,10.02
CONNOR BROWN,,R,32.4,N.J,75,23.23,4,0.05,112,1.49,560,7.47
K'ANDRE MILLER,,D,26.4,CAR,72,23.22,4,0.06,74,1.03,321,4.46
BRANDON HAGEL,,L,27.8,T.B,71,23.22,12,0.17,154,2.17,483,6.80
IAN MOORE,,D,24.4,ANA,67,23.2,1,0.01,64,0.96,314,4.69
BRETT HOWDEN,,L,28.2,VGK,58,23.2,8,0.14,165,2.84,444,7.66
DARNELL NURSE,,D,31.3,EDM,82,23.2,6,0.07,95,1.16,401,4.89
RYAN MCLEOD,,C,26.7,BUF,81,23.18,9,0.11,307,3.79,968,11.95
JOE VELENO,,C,26.4,MTL,61,23.18,6,0.10,130,2.13,347,5.69
CALUM RITCHIE,,R,21.4,NYI,65,23.17,3,0.05,92,1.42,381,5.86
DANILA YUROV,,R,22.4,MIN,73,23.17,6,0.08,92,1.26,395,5.41
QUINTON BYFIELD,,C,23.8,L.A,79,23.16,27,0.34,270,3.42,888,11.24
GAVIN BRINDLEY,,R,21.7,COL,56,23.16,10,0.18,158,2.82,367,6.55
HAYDN FLEURY,,D,29.9,WPG,38,23.15,1,0.03,39,1.03,118,3.11
MACKIE SAMOSKEVICH,,L,23.6,SEA,77,23.15,11,0.14,175,2.27,588,7.64
ROSS COLTON,,L,29.7,NSH,73,23.14,13,0.18,181,2.48,595,8.15
ALEX NEWHOOK,,L,25.3,MTL,42,23.14,5,0.12,69,1.64,242,5.76
ALIAKSEI PROTAS,,L,25.4,WSH,76,23.14,12,0.16,156,2.05,459,6.04
NIKOLAS MATINPALO,,D,27.7,OTT,50,23.13,2,0.04,42,0.84,213,4.26
RYAN POEHLING,,C,27.4,ANA,75,23.13,15,0.20,200,2.67,584,7.79
JESPER BOQVIST,,R,27.6,FLA,73,23.13,9,0.12,134,1.84,517,7.08
PAUL COTTER,,L,26.5,N.J,79,23.12,12,0.15,152,1.92,484,6.13
JARED WRIGHT,,R,23.5,L.A,23,23.12,12,0.52,107,4.65,256,11.13
ANDREI SVECHNIKOV,,L,26.2,CAR,79,23.11,11,0.14,130,1.65,498,6.30
NIKOLAJ EHLERS,,L,30.3,CAR,82,23.11,20,0.24,162,1.98,573,6.99
ALEXANDER WENNBERG,,C,31.7,S.J,80,23.11,4,0.05,98,1.23,479,5.99
VASILY PODKOLZIN,,L,24.9,EDM,82,23.11,8,0.10,183,2.23,737,8.99
JORDAN STAAL,,C,37.7,CAR,75,23.11,3,0.04,72,0.96,447,5.96
UVIS BALINSKIS,,D,29.8,FLA,54,23.11,2,0.04,31,0.57,206,3.81
MATTHEW SCHAEFER,,D,18.7,NYI,82,23.09,33,0.40,236,2.88,652,7.95
LOUIS CREVIER,,D,25.1,CHI,78,23.09,4,0.05,55,0.71,243,3.12
JAKOB CHYCHRUN,,D,28.2,WSH,80,23.08,4,0.05,87,1.09,408,5.10
BO HORVAT,,C,31.2,NYI,68,23.08,16,0.24,174,2.56,540,7.94
CUTTER GAUTHIER,,R,22.4,ANA,76,23.06,20,0.26,185,2.43,674,8.87
CHARLIE COYLE,,C,34.3,CBJ,82,23.06,2,0.02,85,1.04,464,5.66
ZACH HYMAN,,R,34.0,EDM,58,23.06,9,0.16,125,2.16,325,5.60
ZACH WERENSKI,,D,28.9,CBJ,75,23.06,5,0.07,118,1.57,471,6.28
MARCUS JOHANSSON,,L,35.7,MIN,75,23.06,4,0.05,180,2.40,525,7.00
BROCK FABER,,D,23.8,MIN,80,23.05,4,0.05,125,1.56,422,5.28
SCOTT MAYFIELD,,D,33.6,NYI,80,23.05,1,0.01,14,0.18,164,2.05
JACK QUINN,,R,24.7,BUF,82,23.04,6,0.07,197,2.40,745,9.09
LUKAS REICHEL,,L,24.0,BOS,29,23.04,1,0.03,45,1.55,201,6.93
VLADISLAV GAVRIKOV,,D,30.5,NYR,82,23.04,2,0.02,35,0.43,248,3.02
JOSH NORRIS,,C,27.1,BUF,44,23.04,10,0.23,114,2.59,368,8.36
ISAAC HOWARD,,L,22.2,EDM,29,23.04,3,0.10,45,1.55,162,5.59
NOAH LABA,,C,22.8,NYR,74,23.04,14,0.19,165,2.23,562,7.59
JORDAN KYROU,,R,28.1,STL,72,23.04,4,0.06,138,1.92,452,6.28
VINCENT TROCHECK,,C,32.9,NYR,67,23.04,7,0.10,120,1.79,493,7.36
JACK EICHEL,,C,29.6,VGK,74,23.03,26,0.35,344,4.65,830,11.22
JURAJ SLAFKOVSKY,,R,22.2,MTL,82,23.03,5,0.06,157,1.91,530,6.46
DYLAN GUENTHER,,R,23.2,UTA,79,23.02,14,0.18,203,2.57,645,8.16
COLE REINHARDT,,L,26.3,FLA,59,23.01,8,0.14,129,2.19,407,6.90
CONNOR MCMICHAEL,,L,25.4,WSH,78,23.01,8,0.10,166,2.13,590,7.56
PIERRE-OLIVIER JOSEPH,,D,26.9,VAN,31,23,1,0.03,15,0.48,103,3.32
ANTHONY BEAUVILLIER,,R,29.0,WSH,82,23,9,0.11,153,1.87,636,7.76
NICK LARDIS,,R,20.9,CHI,41,23,3,0.07,74,1.80,291,7.10
OLIVER MOORE,,L,21.4,CHI,51,23,9,0.18,131,2.57,416,8.16
RYKER EVANS,,D,24.5,SEA,67,22.99,2,0.03,40,0.60,250,3.73
BRANDON TANEV,,R,34.4,UTA,56,22.99,4,0.07,94,1.68,352,6.29
COLTON SISSONS,,R,32.6,VGK,66,22.98,1,0.02,91,1.38,374,5.67
LANE HUTSON,,D,22.3,MTL,82,22.97,5,0.06,136,1.66,641,7.82
YAKOV TRENIN,,C,29.4,MIN,82,22.96,13,0.16,156,1.90,617,7.52
MAX DOMI,,C,31.3,TOR,80,22.95,6,0.08,132,1.65,430,5.38
STEVEN STAMKOS,,L,36.3,NSH,82,22.95,4,0.05,120,1.46,536,6.54
FRANK VATRANO,,R,32.2,ANA,50,22.95,3,0.06,46,0.92,223,4.46
TAYLOR RADDYSH,,L,28.3,NYR,68,22.95,2,0.03,85,1.25,368,5.41
PONTUS HOLMBERG,,C,27.2,T.B,70,22.93,3,0.04,95,1.36,424,6.06
RIDLY GREIG,,L,23.8,OTT,77,22.93,4,0.05,105,1.36,399,5.18
SAM MALINSKI,,D,27.9,COL,82,22.93,6,0.07,110,1.34,504,6.15
COLLIN GRAF,,L,23.7,S.J,81,22.92,6,0.07,117,1.44,514,6.35
BERKLY CATTON,,L,20.4,SEA,66,22.89,6,0.09,133,2.02,525,7.95
MARAT KHUSNUTDINOV,,L,23.9,BOS,77,22.89,5,0.06,104,1.35,472,6.13
CHRIS KREIDER,,L,35.1,ANA,75,22.89,4,0.05,90,1.20,410,5.47
FEDOR SVECHKOV,,C,23.2,NSH,70,22.88,4,0.06,109,1.56,454,6.49
CONOR GARLAND,,R,30.2,CBJ,71,22.87,3,0.04,99,1.39,555,7.82
SONNY MILANO,,R,30.1,WSH,31,22.87,4,0.13,61,1.97,144,4.65
BOWEN BYRAM,,D,25.0,BUF,82,22.87,3,0.04,104,1.27,464,5.66
RYAN LOMBERG,,L,31.5,CGY,57,22.87,2,0.04,50,0.88,228,4.00
ANTHONY MANTHA,,R,31.7,PIT,81,22.86,2,0.02,94,1.16,345,4.26
SIDNEY CROSBY,,C,38.8,PIT,68,22.86,9,0.13,129,1.90,469,6.90
TAYLOR HALL,,L,34.6,CAR,80,22.85,8,0.10,139,1.74,561,7.01
RICKARD RAKELL,,L,33.1,PIT,60,22.85,4,0.07,95,1.58,570,9.50
BECKETT SENNECKE,,R,20.3,ANA,82,22.85,10,0.12,220,2.68,701,8.55
TAGE THOMPSON,,C,28.6,BUF,81,22.85,8,0.10,168,2.07,681,8.41
MARCO KASPER,,C,22.2,DET,81,22.84,3,0.04,135,1.67,626,7.73
BEN MEYERS,,C,27.6,SEA,52,22.84,1,0.02,74,1.42,350,6.73
MIKKO RANTANEN,,R,29.6,DAL,64,22.84,1,0.02,74,1.16,384,6.00
MATTIAS SAMUELSSON,,D,26.2,BUF,78,22.84,2,0.03,91,1.17,389,4.99
MARC GATCOMB,,R,26.9,NYI,49,22.83,6,0.12,69,1.41,324,6.61
LAWSON CROUSE,,R,28.9,UTA,81,22.83,10,0.12,145,1.79,588,7.26
DREW O'CONNOR,,L,28.0,VAN,82,22.82,14,0.17,126,1.54,509,6.21
TOM WILSON,,R,32.2,WSH,72,22.82,8,0.11,154,2.14,562,7.81
BRENDAN GALLAGHER,,R,34.1,MTL,77,22.82,7,0.09,93,1.21,320,4.16
JOHN BEECHER,,C,25.2,CGY,35,22.82,1,0.03,56,1.60,157,4.49
NATHAN WALKER,,R,32.3,STL,46,22.82,2,0.04,65,1.41,253,5.50
CLAYTON KELLER,,L,27.8,UTA,82,22.81,2,0.02,145,1.77,638,7.78
MIKE MATHESON,,D,32.3,MTL,78,22.81,6,0.08,84,1.08,318,4.08
RYAN PULOCK,,D,31.7,NYI,76,22.81,2,0.03,32,0.42,201,2.64
PATRICK KANE,,R,37.5,DET,67,22.8,1,0.01,75,1.12,473,7.06
SIMON BENOIT,,D,27.7,PHI,73,22.8,6,0.08,64,0.88,221,3.03
COLIN BLACKWELL,,R,33.2,DAL,70,22.8,4,0.06,89,1.27,361,5.16
NICO HISCHIER,,C,27.4,N.J,82,22.79,3,0.04,106,1.29,497,6.06
JEFFREY VIEL,,R,29.3,ANA,45,22.79,3,0.07,49,1.09,228,5.07
ALEX TUCH,,R,30.1,BUF,79,22.79,8,0.10,129,1.63,465,5.89
BRYAN RUST,,R,34.1,PIT,72,22.79,7,0.10,117,1.63,420,5.83
ISAC LUNDESTROM,,R,26.6,CBJ,68,22.78,10,0.15,102,1.50,328,4.82
MATHIEU JOSEPH,,R,29.3,L.A,51,22.78,7,0.14,78,1.53,295,5.78
MATTIAS JANMARK,,L,33.5,EDM,43,22.77,8,0.19,53,1.23,187,4.35
J.T. MILLER,,C,33.2,NYR,68,22.77,11,0.16,136,2.00,475,6.99
RYAN NUGENT-HOPKINS,,L,33.1,EDM,72,22.77,3,0.04,60,0.83,376,5.22
JEFF MALOTT,,L,29.8,L.A,58,22.77,7,0.12,84,1.45,400,6.90
JACK ROSLOVIC,,R,29.3,EDM,69,22.76,21,0.30,165,2.39,507,7.35
BARRETT HAYTON,,C,26.0,UTA,67,22.76,3,0.04,143,2.13,610,9.10
MATT SAVOIE,,L,22.4,EDM,82,22.76,7,0.09,123,1.50,466,5.68
SIMON HOLMSTROM,,R,25.0,NYI,79,22.75,9,0.11,149,1.89,559,7.08
LUCAS RAYMOND,,R,24.2,DET,80,22.75,5,0.06,108,1.35,472,5.90
MATIAS MACCELLI,,L,25.6,TOR,71,22.75,2,0.03,55,0.77,422,5.94
MICHAEL MISA,,C,19.3,S.J,45,22.75,7,0.16,95,2.11,348,7.73
TY EMBERSON,,D,26.0,EDM,72,22.75,1,0.01,50,0.69,301,4.18
MARK KASTELIC,,R,27.2,BOS,82,22.73,11,0.13,160,1.95,603,7.35
ISAK ROSEN,,R,23.2,WPG,37,22.73,6,0.16,45,1.22,206,5.57
MORGAN FROST,,C,27.1,CGY,82,22.73,6,0.07,136,1.66,539,6.57
JUSTIN FAULK,,D,34.2,DET,78,22.73,3,0.04,66,0.85,358,4.59
VICTOR OLOFSSON,,R,30.9,CGY,78,22.73,1,0.01,107,1.37,390,5.00
CASEY CIZIKAS,,C,35.3,NYI,81,22.73,4,0.05,126,1.56,551,6.80
BRANDON MONTOUR,,D,32.1,SEA,64,22.72,4,0.06,88,1.38,406,6.34
ZEEV BUIUM,,D,20.5,VAN,76,22.72,2,0.03,43,0.57,298,3.92
STEVEN LORENTZ,,L,30.1,TOR,71,22.72,2,0.03,95,1.34,376,5.30
FRASER MINTEN,,C,21.9,BOS,82,22.71,9,0.11,108,1.32,535,6.52
MORGAN RIELLY,,D,32.2,TOR,78,22.71,2,0.03,69,0.88,386,4.95
JORDAN MARTINOOK,,R,33.9,CAR,77,22.71,5,0.06,79,1.03,350,4.55
VIKTOR ARVIDSSON,,R,33.2,BOS,69,22.71,6,0.09,64,0.93,348,5.04
HENDRIX LAPIERRE,,L,24.3,WSH,74,22.71,3,0.04,131,1.77,459,6.20
COLE SILLINGER,,L,23.1,CBJ,81,22.71,8,0.10,138,1.70,543,6.70
WARREN FOEGELE,,L,30.2,OTT,68,22.7,2,0.03,103,1.51,465,6.84
TRAVIS SANHEIM,,D,30.2,PHI,81,22.7,3,0.04,101,1.25,440,5.43
MATT CORONATO,,R,23.6,CGY,80,22.68,3,0.04,96,1.20,487,6.09
ANTHONY DUCLAIR,,L,30.8,NYI,62,22.68,4,0.06,63,1.02,222,3.58
JAKE MCCABE,,D,32.6,TOR,80,22.67,2,0.03,60,0.75,286,3.58
BRENDEN DILLON,,D,35.6,N.J,82,22.67,2,0.02,30,0.37,177,2.16
SEAN DURZI,,D,27.6,UTA,60,22.67,3,0.05,51,0.85,251,4.18
CONNOR CLIFTON,,D,31.1,PIT,50,22.67,1,0.02,25,0.50,126,2.52
ELIAS PETTERSSON,,C,27.6,VAN,74,22.67,3,0.04,104,1.41,489,6.61
NOAH GREGOR,,R,27.9,FLA,37,22.67,6,0.16,70,1.89,177,4.78
NICHOLAS ROBERTSON,,R,24.7,TOR,78,22.67,8,0.10,139,1.78,542,6.95
CARL GRUNDSTROM,,L,28.5,PHI,47,22.66,5,0.11,82,1.74,340,7.23
JOHN TAVARES,,C,35.7,TOR,82,22.66,4,0.05,78,0.95,535,6.52
LANDON SLAGGERT,,R,23.9,CHI,53,22.66,5,0.09,99,1.87,330,6.23
NICK JENSEN,,D,35.7,OTT,61,22.66,1,0.02,29,0.48,215,3.52
JASON ROBERTSON,,L,26.9,DAL,82,22.66,2,0.02,59,0.72,314,3.83
JESPER BRATT,,L,27.8,N.J,82,22.65,7,0.09,166,2.02,642,7.83
JONNY BRODZINSKI,,R,33.0,NYR,55,22.65,5,0.09,76,1.38,305,5.55
WILLIAM CARRIER,,L,31.5,CAR,70,22.65,6,0.09,113,1.61,364,5.20
ELIAS PETTERSSON,,D,22.3,VAN,70,22.65,1,0.01,40,0.57,229,3.27
JONATAN BERGGREN,,L,25.9,STL,51,22.65,2,0.04,84,1.65,281,5.51
ARSENY GRITSYUK,,L,25.2,N.J,66,22.65,3,0.05,92,1.39,437,6.62
EVGENII DADONOV,,L,37.2,N.J,24,22.65,4,0.17,36,1.50,154,6.42
LIAM OHGREN,,L,22.3,VAN,69,22.64,7,0.10,120,1.74,479,6.94
ALEX DEBRINCAT,,L,28.5,DET,82,22.64,1,0.01,114,1.39,604,7.37
BRANDON SAAD,,L,33.6,VGK,49,22.64,3,0.06,71,1.45,269,5.49
BROCK NELSON,,C,34.6,COL,81,22.64,3,0.04,147,1.81,722,8.91
TRENT FREDERIC,,R,28.3,EDM,74,22.64,3,0.04,79,1.07,382,5.16
JACKSON LACOMBE,,D,25.4,ANA,82,22.63,5,0.06,105,1.28,584,7.12
RUTGER MCGROARTY,,L,22.2,PIT,24,22.61,1,0.04,27,1.13,136,5.67
KENT JOHNSON,,R,23.6,CBJ,76,22.61,2,0.03,68,0.89,483,6.36
KIEFER SHERWOOD,,R,31.2,S.J,72,22.6,7,0.10,97,1.35,468,6.50
EVANDER KANE,,R,34.8,VAN,71,22.6,2,0.03,92,1.30,397,5.59
BRAD LAMBERT,,R,22.5,WPG,25,22.6,2,0.08,58,2.32,180,7.20
RYAN WINTERTON,,R,22.7,SEA,68,22.59,5,0.07,135,1.99,473,6.96
ADAM KLAPKA,,R,25.7,CGY,79,22.59,5,0.06,99,1.25,452,5.72
TIMOTHY LILJEGREN,,D,27.1,WSH,47,22.59,1,0.02,47,1.00,210,4.47
COLTON DACH,,L,23.4,EDM,61,22.58,1,0.02,54,0.89,323,5.30
SHANE PINTO,,C,25.6,OTT,72,22.58,1,0.01,81,1.13,462,6.42
TROY TERRY,,R,28.7,ANA,61,22.58,2,0.03,71,1.16,441,7.23
ARSHDEEP BAINS,,L,25.4,VAN,28,22.57,1,0.04,26,0.93,97,3.46
SEAN KURALY,,C,33.4,BOS,82,22.57,1,0.01,76,0.93,367,4.48
COLE CAUFIELD,,L,25.4,MTL,81,22.57,1,0.01,89,1.10,538,6.64
JACOB QUILLAN,,C,24.3,TOR,23,22.57,2,0.09,30,1.30,135,5.87
KYLE MACLEAN,,L,27.1,NYI,59,22.57,10,0.17,101,1.71,312,5.29
JJ PETERKA,,L,24.4,UTA,82,22.57,9,0.11,203,2.48,662,8.07
SAM REINHART,,R,30.6,FLA,64,22.56,1,0.02,36,0.56,336,5.25
ANDREW MANGIAPANE,,L,30.2,CHI,62,22.55,2,0.03,52,0.84,368,5.94
ONDREJ PALAT,,L,35.2,NYI,80,22.55,1,0.01,52,0.65,396,4.95
IVAN BARBASHEV,,L,30.5,VGK,82,22.54,1,0.01,66,0.80,395,4.82
BEN KINDEL,,C,19.1,PIT,77,22.54,2,0.03,124,1.61,673,8.74
JUHO LAMMIKKO,,L,30.3,,24,22.53,2,0.08,31,1.29,153,6.38
JOHN CARLSON,,D,36.4,ANA,71,22.52,1,0.01,31,0.44,181,2.55
BLAKE COLEMAN,,L,34.5,CGY,69,22.52,4,0.06,82,1.19,521,7.55
SPENCER STASTNEY,,D,26.4,EDM,66,22.52,3,0.05,64,0.97,271,4.11
TOM WILLANDER,,D,21.3,VAN,70,22.52,2,0.03,61,0.87,347,4.96
MICHAEL BUNTING,,L,30.7,DAL,74,22.52,2,0.03,74,1.00,366,4.95
FABIAN ZETTERLUND,,R,26.8,OTT,82,22.51,5,0.06,116,1.41,489,5.96
QUINN HUGHES,,D,26.6,MIN,74,22.51,2,0.03,172,2.32,561,7.58
HAMPUS LINDHOLM,,D,32.4,BOS,67,22.51,2,0.03,50,0.75,275,4.10
MICHAEL EYSSIMONT,,R,29.7,BOS,56,22.51,2,0.04,43,0.77,229,4.09
JEREMY LAUZON,,D,29.1,VGK,68,22.51,1,0.01,50,0.74,209,3.07
ADAM WILSBY,,D,25.8,NSH,58,22.51,1,0.02,67,1.16,328,5.66
DYLAN LARKIN,,C,29.8,DET,74,22.51,7,0.09,179,2.42,698,9.43
ERIK HAULA,,C,35.2,NSH,81,22.5,7,0.09,105,1.30,657,8.11
DENVER BARKEY,,C,21.1,PHI,43,22.5,2,0.05,60,1.40,315,7.33
LINUS KARLSSON,,R,26.5,VAN,79,22.5,1,0.01,32,0.41,294,3.72
GARNET HATHAWAY,,R,34.5,PHI,66,22.49,2,0.03,55,0.83,374,5.67
JACK HUGHES,,C,25.1,N.J,61,22.49,4,0.07,124,2.03,583,9.56
TYLER MYERS,,D,36.3,DAL,73,22.49,2,0.03,37,0.51,253,3.47
NICK PAUL,,R,31.2,T.B,51,22.49,3,0.06,64,1.25,283,5.55
SHANE WRIGHT,,C,22.4,SEA,74,22.49,3,0.04,137,1.85,616,8.32
OLEN ZELLWEGER,,D,22.7,ANA,76,22.49,8,0.11,162,2.13,587,7.72
RASMUS DAHLIN,,D,26.1,BUF,77,22.48,1,0.01,60,0.78,451,5.86
RYAN DONATO,,L,30.2,CHI,82,22.48,2,0.02,62,0.76,424,5.17
CONOR SHEARY,,R,34.0,NYR,62,22.48,2,0.03,49,0.79,339,5.47
ZEMGUS GIRGENSONS,,L,32.4,T.B,74,22.48,2,0.03,123,1.66,541,7.31
MATHEW BARZAL,,C,29.0,NYI,81,22.48,15,0.19,298,3.68,812,10.02
MATTHEW ROBERTSON,,D,25.2,NYR,72,22.47,2,0.03,26,0.36,183,2.54
ANDREW COPP,,C,31.9,DET,79,22.47,5,0.06,111,1.41,512,6.48
TONY DEANGELO,,D,30.6,NYI,76,22.47,5,0.07,54,0.71,335,4.41
NIKITA NESTERENKO,,L,24.7,ANA,29,22.47,5,0.17,44,1.52,185,6.38
ALEX KILLORN,,L,36.7,ANA,82,22.46,2,0.02,67,0.82,413,5.04
NOAH DOBSON,,D,26.4,MTL,80,22.46,1,0.01,64,0.80,292,3.65
JASON DICKINSON,,C,30.9,EDM,64,22.46,2,0.03,76,1.19,395,6.17
JARED SPURGEON,,D,36.5,MIN,79,22.46,2,0.03,38,0.48,275,3.48
MAVRIK BOURQUE,,R,24.4,DAL,82,22.46,1,0.01,118,1.44,617,7.52
LEO CARLSSON,,C,21.4,ANA,70,22.46,9,0.13,188,2.69,768,10.97
ANTHONY CIRELLI,,C,28.9,T.B,71,22.45,6,0.08,82,1.15,336,4.73
JALEN CHATFIELD,,D,30.1,CAR,72,22.45,2,0.03,48,0.67,268,3.72
MIRO HEISKANEN,,D,26.9,DAL,77,22.45,3,0.04,68,0.88,366,4.75
DAVID KAMPF,,C,31.4,WSH,40,22.45,1,0.03,40,1.00,290,7.25
WILL CUYLLE,,L,24.3,NYR,82,22.44,2,0.02,120,1.46,508,6.20
NIKITA KUCHEROV,,R,33.0,T.B,77,22.44,3,0.04,135,1.75,503,6.53
JOHN MARINO,,D,29.0,UTA,80,22.44,2,0.03,59,0.74,215,2.69
JOEL ERIKSSON EK,,C,29.3,MIN,70,22.44,4,0.06,91,1.30,513,7.33
ERIK GUDBRANSON,,D,34.4,CBJ,37,22.44,1,0.03,16,0.43,140,3.78
