Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
BECK MALENSTYN,,R,28.3,BUF,81,24.94,14,0.17,183,2.26,502,6.20
NATHAN MACKINNON,,C,30.8,COL,80,24.78,45,0.56,410,5.13,819,10.24
CONNOR MCDAVID,,C,29.4,EDM,82,24.61,151,1.84,530,6.46,922,11.24
LOGAN COOLEY,,C,22.1,UTA,54,24.38,33,0.61,181,3.35,407,7.54
JAKE SANDERSON,,D,23.9,OTT,67,24.37,31,0.46,173,2.58,516,7.70
RYAN LEONARD,,R,21.4,WSH,75,24.26,11,0.15,112,1.49,415,5.53
BOBBY MCMANN,,L,30.0,SEA,78,24.25,28,0.36,239,3.06,639,8.19
TREVOR MOORE,,L,31.2,L.A,69,24.22,7,0.10,131,1.90,539,7.81
COLE KOEPKE,,R,28.0,WPG,66,24.22,22,0.33,167,2.53,367,5.56
OWEN TIPPETT,,L,27.3,PHI,81,23.97,61,0.75,327,4.04,636,7.85
MICHAEL CARCONE,,R,30.0,UTA,79,23.95,24,0.30,181,2.29,506,6.41
JANSEN HARKINS,,C,29.0,ANA,44,23.95,3,0.07,80,1.82,297,6.75
KASPERI KAPANEN,,R,29.9,EDM,41,23.92,10,0.24,68,1.66,231,5.63
MARTIN NECAS,,R,27.4,COL,78,23.89,37,0.47,311,3.99,1030,13.21
NIKITA ZADOROV,,D,31.1,BOS,81,23.84,7,0.09,50,0.62,210,2.59
MIKHAIL SERGACHEV,,D,27.9,UTA,78,23.84,7,0.09,80,1.03,364,4.67
ADAM EDSTROM,,C,25.6,NYR,35,23.8,9,0.26,60,1.71,160,4.57
FRANK NAZAR,,C,22.4,CHI,66,23.76,15,0.23,175,2.65,448,6.79
DYLAN COZENS,,C,25.3,OTT,82,23.75,22,0.27,189,2.30,671,8.18
ERIK KARLSSON,,D,36.0,PIT,75,23.74,19,0.25,134,1.79,405,5.40
MILES WOOD,,L,30.7,CBJ,54,23.71,22,0.41,145,2.69,353,6.54
DOMINIC JAMES,,C,23.9,T.B,43,23.71,19,0.44,91,2.12,247,5.74
ADRIAN KEMPE,,R,29.7,L.A,81,23.7,16,0.20,208,2.57,709,8.75
MAX SASSON,,L,25.7,VAN,66,23.69,15,0.23,175,2.65,481,7.29
