Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
JACK DRURY,,C,26.3,COL,72,23.03,2,0.03,41,0.57,312,4.33
MORGAN GEEKIE,,R,27.9,BOS,77,23.02,1,0.01,48,0.62,387,5.03
TYLER MOTTE,,C,31.2,,55,23.02,5,0.09,89,1.62,249,4.53
PIERRE ENGVALL,,L,30.0,NYI,62,23,12,0.19,146,2.35,481,7.76
MATT BOLDY,,L,25.2,MIN,82,23,3,0.04,100,1.22,522,6.37
ALEXEY TOROPCHENKO,,L,26.9,STL,80,22.99,28,0.35,214,2.68,506,6.33
NOAH HANIFIN,,D,29.4,VGK,80,22.99,5,0.06,86,1.08,446,5.58
ZEMGUS GIRGENSONS,,L,32.4,T.B,82,22.99,7,0.09,142,1.73,521,6.35
VASILY PODKOLZIN,,L,24.9,EDM,82,22.99,8,0.10,179,2.18,734,8.95
OLEN ZELLWEGER,,D,22.7,ANA,62,22.98,6,0.10,79,1.27,381,6.15
MIKAEL PYYHTIA,,R,24.5,CBJ,47,22.98,2,0.04,57,1.21,287,6.11
WILLIAM KARLSSON,,C,33.4,VGK,53,22.98,13,0.25,111,2.09,412,7.77
ISAC LUNDESTROM,,R,26.6,CBJ,79,22.97,7,0.09,134,1.70,424,5.37
SEAN WALKER,,D,31.6,CAR,82,22.97,6,0.07,86,1.05,392,4.78
IVAN IVAN,,C,23.8,COL,40,22.97,4,0.10,81,2.03,243,6.08
ALEXANDER WENNBERG,,C,31.7,S.J,77,22.97,2,0.03,90,1.17,421,5.47
SIMON BENOIT,,D,27.7,PHI,78,22.97,5,0.06,43,0.55,189,2.42
MATT CORONATO,,R,23.6,CGY,77,22.97,4,0.05,119,1.55,524,6.81
EVAN RODRIGUES,,C,32.9,FLA,82,22.95,3,0.04,98,1.20,501,6.11
RYAN MCLEOD,,C,26.7,BUF,79,22.94,8,0.10,197,2.49,862,10.91
BROCK FABER,,D,23.8,MIN,78,22.94,2,0.03,78,1.00,389,4.99
EETU LUOSTARINEN,,C,27.8,FLA,80,22.94,2,0.03,73,0.91,484,6.05
BRETT BERARD,,R,23.7,NYR,35,22.93,3,0.09,59,1.69,186,5.31
EMIL HEINEMAN,,R,24.5,NYI,62,22.93,19,0.31,120,1.94,413,6.66
PARKER KELLY,,L,27.1,COL,80,22.93,4,0.05,108,1.35,543,6.79
TAYLOR RADDYSH,,L,28.3,NYR,80,22.92,6,0.08,128,1.60,501,6.26
TRAVIS KONECNY,,R,29.2,PHI,82,22.91,5,0.06,142,1.73,555,6.77
SHANE WRIGHT,,C,22.4,SEA,79,22.91,5,0.06,204,2.58,741,9.38
BRETT LEASON,,R,27.1,WSH,62,22.9,8,0.13,112,1.81,381,6.15
LUCAS RAYMOND,,R,24.2,DET,82,22.9,10,0.12,123,1.50,547,6.67
JANSEN HARKINS,,C,29.0,ANA,62,22.9,10,0.16,106,1.71,380,6.13
BRADEN SCHNEIDER,,D,24.7,NYR,80,22.9,1,0.01,60,0.75,291,3.64
MICHAEL EYSSIMONT,,R,29.7,BOS,77,22.89,15,0.19,105,1.36,363,4.71
NICK SUZUKI,,C,26.8,MTL,82,22.89,5,0.06,183,2.23,672,8.20
LUKE GLENDENING,,L,37.1,PHI,77,22.89,11,0.14,114,1.48,487,6.32
MIKKO RANTANEN,,R,29.6,DAL,82,22.89,2,0.02,79,0.96,494,6.02
ERIK HAULA,,C,35.2,NSH,69,22.89,6,0.09,82,1.19,448,6.49
JACK ROSLOVIC,,R,29.3,EDM,81,22.89,6,0.07,138,1.70,518,6.40
MORITZ SEIDER,,D,25.2,DET,82,22.88,2,0.02,36,0.44,325,3.96
CONOR GARLAND,,R,30.2,CBJ,81,22.88,4,0.05,138,1.70,663,8.19
PAVEL DOROFEYEV,,R,25.6,VGK,82,22.87,3,0.04,53,0.65,331,4.04
FABIAN ZETTERLUND,,R,26.8,OTT,84,22.87,3,0.04,129,1.54,616,7.33
TY DELLANDREA,,R,25.9,S.J,68,22.87,5,0.07,120,1.76,480,7.06
SAM LAFFERTY,,C,31.2,CHI,60,22.87,9,0.15,90,1.50,313,5.22
NIKO MIKKOLA,,D,30.1,FLA,76,22.86,4,0.05,92,1.21,508,6.68
PIERRE-LUC DUBOIS,,C,27.9,WSH,82,22.85,1,0.01,142,1.73,677,8.26
NICK PAUL,,R,31.2,T.B,76,22.85,3,0.04,95,1.25,484,6.37
HENDRIX LAPIERRE,,L,24.3,WSH,27,22.84,7,0.26,53,1.96,163,6.04
ETHEN FRANK,,R,28.3,WSH,24,22.84,9,0.38,48,2.00,130,5.42
NIKITA KUCHEROV,,R,33.0,T.B,78,22.83,2,0.03,100,1.28,530,6.79
JOEL ERIKSSON EK,,C,29.3,MIN,46,22.83,1,0.02,51,1.11,354,7.70
CHANDLER STEPHENSON,,C,32.1,SEA,78,22.83,6,0.08,160,2.05,545,6.99
KYLE MACLEAN,,L,27.1,NYI,81,22.83,7,0.09,140,1.73,410,5.06
MATT REMPE,,R,23.9,NYR,42,22.83,3,0.07,91,2.17,291,6.93
BECK MALENSTYN,,R,28.3,BUF,76,22.83,5,0.07,115,1.51,405,5.33
JAN RUTTA,,D,35.8,,54,22.82,1,0.02,27,0.50,181,3.35
ANDREW COPP,,C,31.9,DET,56,22.81,1,0.02,45,0.80,288,5.14
JOHN BEECHER,,C,25.2,CGY,78,22.81,12,0.15,160,2.05,468,6.00
TAGE THOMPSON,,C,28.6,BUF,76,22.81,3,0.04,121,1.59,665,8.75
SAM COLANGELO,,R,24.4,ANA,32,22.81,2,0.06,39,1.22,198,6.19
MARCO ROSSI,,C,24.7,VAN,82,22.81,1,0.01,99,1.21,505,6.16
DYLAN LARKIN,,C,29.8,DET,82,22.81,10,0.12,224,2.73,790,9.63
KEEGAN KOLESAR,,R,29.2,VGK,82,22.8,7,0.09,113,1.38,525,6.40
ALEX VLASIC,,D,25.0,CHI,82,22.8,7,0.09,68,0.83,366,4.46
NOAH DOBSON,,D,26.4,MTL,71,22.8,3,0.04,74,1.04,356,5.01
CONNOR MCMICHAEL,,L,25.4,WSH,82,22.79,11,0.13,172,2.10,573,6.99
NOAH GREGOR,,R,27.9,FLA,52,22.79,7,0.13,97,1.87,285,5.48
JEFF PETRY,,D,38.5,MIN,44,22.79,1,0.02,22,0.50,129,2.93
MATHEW BARZAL,,C,29.0,NYI,30,22.78,3,0.10,98,3.27,307,10.23
MARAT KHUSNUTDINOV,,L,23.9,BOS,75,22.78,5,0.07,105,1.40,458,6.11
ANTHONY BEAUVILLIER,,R,29.0,WSH,81,22.78,3,0.04,137,1.69,616,7.60
COLE KOEPKE,,R,28.0,WPG,73,22.78,9,0.12,132,1.81,420,5.75
ADAM PELECH,,D,31.8,NYI,60,22.78,1,0.02,28,0.47,226,3.77
ZACHARY BOLDUC,,L,23.3,MTL,72,22.77,2,0.03,137,1.90,517,7.18
RYAN LOMBERG,,L,31.5,CGY,80,22.77,3,0.04,80,1.00,270,3.38
JAKE DEBRUSK,,L,29.6,VAN,82,22.76,6,0.07,134,1.63,594,7.24
JACKSON LACOMBE,,D,25.4,ANA,75,22.76,1,0.01,94,1.25,447,5.96
BRYAN RUST,,R,34.1,PIT,71,22.76,7,0.10,154,2.17,461,6.49
ZAC JONES,,D,25.6,BUF,46,22.76,1,0.02,10,0.22,97,2.11
YAKOV TRENIN,,C,29.4,MIN,76,22.76,4,0.05,125,1.64,513,6.75
JAKUB VRANA,,R,30.3,,39,22.75,5,0.13,48,1.23,168,4.31
SAMUEL GIRARD,,D,28.1,PIT,73,22.75,2,0.03,67,0.92,365,5.00
BRETT HOWDEN,,L,28.2,VGK,80,22.74,7,0.09,174,2.18,556,6.95
HENRI JOKIHARJU,,D,27.0,BOS,60,22.74,1,0.02,25,0.42,220,3.67
ANDRE BURAKOVSKY,,R,31.3,CHI,79,22.74,4,0.05,115,1.46,626,7.92
ELIAS PETTERSSON,,C,27.6,VAN,64,22.73,1,0.02,67,1.05,461,7.20
KIRBY DACH,,R,25.4,MTL,57,22.73,4,0.07,106,1.86,454,7.96
MATHIEU OLIVIER,,R,29.3,CBJ,82,22.73,1,0.01,60,0.73,381,4.65
BRETT KULAK,,D,32.4,COL,82,22.72,3,0.04,88,1.07,477,5.82
TIMOTHY LILJEGREN,,D,27.1,WSH,68,22.71,1,0.01,61,0.90,333,4.90
RYAN NUGENT-HOPKINS,,L,33.1,EDM,78,22.71,4,0.05,78,1.00,505,6.47
VLADISLAV NAMESTNIKOV,,C,33.5,WPG,78,22.71,1,0.01,80,1.03,524,6.72
BRIAN DUMOULIN,,D,34.7,L.A,80,22.71,1,0.01,24,0.30,202,2.53
MITCHELL CHAFFEE,,R,28.4,T.B,66,22.71,6,0.09,82,1.24,343,5.20
ZACHARY ASTON-REESE,,L,31.8,CBJ,79,22.71,18,0.23,190,2.41,625,7.91
CHRIS KREIDER,,L,35.1,ANA,68,22.7,12,0.18,127,1.87,406,5.97
TANNER PEARSON,,L,33.8,BUF,78,22.7,3,0.04,67,0.86,355,4.55
NIKITA NESTERENKO,,L,24.7,ANA,20,22.69,4,0.20,34,1.70,104,5.20
BRAYDEN SCHENN,,L,34.8,NYI,82,22.69,1,0.01,95,1.16,616,7.51
JESPER BRATT,,L,27.8,N.J,81,22.68,12,0.15,162,2.00,643,7.94
MICHAEL AMADIO,,R,30.1,OTT,72,22.68,2,0.03,78,1.08,477,6.63
WALKER DUEHR,,R,28.5,WPG,24,22.68,7,0.29,44,1.83,134,5.58
ALEXIS LAFRENIERE,,R,24.6,NYR,82,22.67,3,0.04,80,0.98,575,7.01
JESSE PULJUJARVI,,R,28.1,,31,22.66,5,0.16,67,2.16,243,7.84
JOEL KIVIRANTA,,R,30.2,COL,79,22.66,1,0.01,92,1.16,542,6.86
JALEN CHATFIELD,,D,30.1,CAR,79,22.66,2,0.03,85,1.08,321,4.06
JAKUB LAUKO,,L,26.2,,56,22.65,5,0.09,73,1.30,196,3.50
ADAM HENRIQUE,,C,36.3,EDM,81,22.64,6,0.07,71,0.88,424,5.23
JUSTIN DANFORTH,,R,33.2,BUF,61,22.64,7,0.11,156,2.56,497,8.15
WILLIAM NYLANDER,,R,30.1,TOR,82,22.64,6,0.07,130,1.59,642,7.83
KYLE CONNOR,,L,29.5,WPG,82,22.64,6,0.07,162,1.98,706,8.61
ANDREI SVECHNIKOV,,L,26.2,CAR,72,22.64,2,0.03,120,1.67,425,5.90
WILL BORGEN,,D,29.5,NYR,84,22.63,3,0.04,51,0.61,346,4.12
NIKOLAS MATINPALO,,D,27.7,OTT,41,22.63,1,0.02,34,0.83,118,2.88
JAKE MIDDLETON,,D,30.4,MIN,67,22.63,1,0.01,27,0.40,197,2.94
DRAKE BATHERSON,,R,28.1,OTT,82,22.63,4,0.05,173,2.11,704,8.59
SHANE PINTO,,C,25.6,OTT,70,22.61,2,0.03,107,1.53,550,7.86
FEDOR SVECHKOV,,C,23.2,NSH,52,22.61,5,0.10,81,1.56,368,7.08
DEVON TOEWS,,D,32.3,COL,76,22.61,4,0.05,34,0.45,319,4.20
BROCK MCGINN,,L,32.3,,26,22.61,4,0.15,39,1.50,145,5.58
PONTUS HOLMBERG,,C,27.2,T.B,68,22.61,4,0.06,133,1.96,469,6.90
NICOLAS AUBE-KUBEL,,C,30.1,MIN,22,22.6,3,0.14,42,1.91,111,5.05
TYSON KOZAK,,C,23.4,BUF,21,22.59,3,0.14,35,1.67,160,7.62
PEYTON KREBS,,L,25.4,BUF,81,22.59,3,0.04,123,1.52,632,7.80
NICK BLANKENBURG,,D,28.1,COL,60,22.59,2,0.03,52,0.87,234,3.90
CONNOR BROWN,,R,32.4,N.J,82,22.59,5,0.06,140,1.71,667,8.13
TROY TERRY,,R,28.7,ANA,77,22.59,4,0.05,177,2.30,587,7.62
JESPER BOQVIST,,R,27.6,FLA,78,22.59,8,0.10,189,2.42,602,7.72
COLLIN GRAF,,L,23.7,S.J,33,22.58,4,0.12,60,1.82,260,7.88
BROCK NELSON,,C,34.6,COL,80,22.58,7,0.09,164,2.05,789,9.86
HAYDN FLEURY,,D,29.9,WPG,39,22.57,4,0.10,28,0.72,147,3.77
KYLE PALMIERI,,R,35.3,NYI,82,22.57,1,0.01,79,0.96,527,6.43
GARNET HATHAWAY,,R,34.5,PHI,67,22.56,2,0.03,81,1.21,409,6.10
WILLIAM EKLUND,,L,23.6,S.J,77,22.56,2,0.03,112,1.45,598,7.77
ZACHARY L'HEUREUX,,L,23.1,NSH,62,22.56,3,0.05,61,0.98,261,4.21
MITCHELL STEPHENS,,C,29.3,SEA,28,22.56,2,0.07,38,1.36,118,4.21
JACOB TROUBA,,D,32.3,ANA,77,22.56,1,0.01,14,0.18,120,1.56
RYAN PULOCK,,D,31.7,NYI,74,22.56,1,0.01,41,0.55,270,3.65
ADAM LOWRY,,C,33.2,WPG,73,22.56,2,0.03,129,1.77,608,8.33
ALEX TUCH,,R,30.1,BUF,82,22.55,3,0.04,140,1.71,522,6.37
CLAUDE GIROUX,,R,38.4,OTT,81,22.55,4,0.05,53,0.65,402,4.96
ERIC ROBINSON,,R,31.0,CAR,82,22.55,7,0.09,136,1.66,507,6.18
RIDLY GREIG,,L,23.8,OTT,78,22.55,5,0.06,99,1.27,468,6.00
ALEX TURCOTTE,,C,25.3,L.A,68,22.54,4,0.06,119,1.75,491,7.22
SIDNEY CROSBY,,C,38.8,PIT,80,22.54,5,0.06,154,1.93,597,7.46
J.T. COMPHER,,C,31.2,DET,76,22.54,2,0.03,104,1.37,452,5.95
ANDREW MANGIAPANE,,L,30.2,CHI,81,22.54,4,0.05,102,1.26,434,5.36
VICTOR HEDMAN,,D,35.5,T.B,79,22.53,1,0.01,36,0.46,315,3.99
FRASER MINTEN,,C,21.9,BOS,21,22.53,1,0.05,25,1.19,156,7.43
COLE SMITH,,L,30.6,VGK,71,22.53,7,0.10,109,1.54,423,5.96
SIMON HOLMSTROM,,R,25.0,NYI,75,22.53,4,0.05,118,1.57,528,7.04
JAKOB CHYCHRUN,,D,28.2,WSH,74,22.52,4,0.05,49,0.66,355,4.80
EVGENII DADONOV,,L,37.2,N.J,80,22.52,2,0.03,147,1.84,622,7.78
DAWSON MERCER,,R,24.6,N.J,82,22.52,6,0.07,110,1.34,619,7.55
DYLAN HOLLOWAY,,L,24.7,STL,77,22.52,8,0.10,183,2.38,691,8.97
ALEX DEBRINCAT,,L,28.5,DET,82,22.52,2,0.02,96,1.17,581,7.09
CHRISTIAN DVORAK,,C,30.3,PHI,82,22.52,9,0.11,180,2.20,690,8.41
MIKA ZIBANEJAD,,C,33.1,NYR,82,22.52,4,0.05,144,1.76,619,7.55
MARC GATCOMB,,R,26.9,NYI,39,22.52,5,0.13,63,1.62,206,5.28
TAYLOR HALL,,L,34.6,CAR,77,22.52,7,0.09,155,2.01,541,7.03
DYLAN COZENS,,C,25.3,OTT,82,22.51,5,0.06,139,1.70,545,6.65
SHEA THEODORE,,D,30.8,VGK,67,22.51,4,0.06,73,1.09,365,5.45
AUSTON MATTHEWS,,C,28.7,TOR,67,22.51,2,0.03,76,1.13,505,7.54
WILL CUYLLE,,L,24.3,NYR,82,22.51,5,0.06,100,1.22,566,6.90
BOBBY BRINK,,R,24.9,MIN,79,22.51,3,0.04,95,1.20,575,7.28
JONNY BRODZINSKI,,R,33.0,NYR,51,22.5,2,0.04,71,1.39,317,6.22
TOMMY NOVAK,,C,29.1,PIT,54,22.5,4,0.07,66,1.22,357,6.61
A.J. GREER,,R,29.5,FLA,81,22.5,2,0.02,78,0.96,357,4.41
MASON LOHREI,,D,25.4,BOS,77,22.5,2,0.03,41,0.53,385,5.00
RYAN O'REILLY,,C,35.3,NSH,79,22.49,2,0.03,59,0.75,580,7.34
ALEKSANDER BARKOV,,C,30.8,FLA,67,22.49,1,0.01,135,2.01,587,8.76
TANNER JEANNOT,,L,29.0,BOS,67,22.48,2,0.03,57,0.85,402,6.00
VINNI LETTIERI,,R,31.3,TOR,26,22.47,3,0.12,40,1.54,168,6.46
TREVOR VAN RIEMSDYK,,D,34.9,WSH,82,22.47,1,0.01,19,0.23,196,2.39
MATTIAS SAMUELSSON,,D,26.2,BUF,62,22.47,3,0.05,28,0.45,216,3.48
BLAKE LIZOTTE,,C,28.5,PIT,59,22.47,5,0.08,89,1.51,372,6.31
JASON DICKINSON,,C,30.9,EDM,59,22.46,3,0.05,71,1.20,366,6.20
JOHNATHAN KOVACEVIC,,D,28.9,N.J,81,22.46,1,0.01,22,0.27,209,2.58
TY EMBERSON,,D,26.0,EDM,76,22.46,2,0.03,46,0.61,286,3.76
EMIL LILLEBERG,,D,25.3,T.B,76,22.46,2,0.03,42,0.55,272,3.58
KIRILL MARCHENKO,,L,25.9,CBJ,79,22.45,3,0.04,180,2.28,747,9.46
MAX PACIORETTY,,L,37.5,,37,22.45,2,0.05,34,0.92,179,4.84
BRAD MARCHAND,,R,38.1,FLA,71,22.45,2,0.03,80,1.13,492,6.93
BEN CHIAROT,,D,35.1,DET,81,22.45,1,0.01,29,0.36,281,3.47
MIRO HEISKANEN,,D,26.9,DAL,50,22.44,2,0.04,64,1.28,287,5.74
ALEXANDER HOLTZ,,R,24.4,VGK,53,22.44,1,0.02,41,0.77,269,5.08
TIMO MEIER,,L,29.7,N.J,80,22.44,3,0.04,122,1.53,510,6.38
DMITRI VORONKOV,,L,25.7,CBJ,73,22.44,2,0.03,50,0.68,327,4.48
COLTON PARAYKO,,D,33.1,STL,64,22.44,5,0.08,125,1.95,338,5.28
SCOTT PERUNOVICH,,D,27.8,UTA,35,22.44,2,0.06,10,0.29,99,2.83
LARS ELLER,,C,37.1,OTT,80,22.43,5,0.06,106,1.33,555,6.94
NOAH CATES,,C,27.3,PHI,78,22.43,1,0.01,49,0.63,430,5.51
TRAVIS SANHEIM,,D,30.2,PHI,82,22.42,6,0.07,118,1.44,536,6.54
JONATHAN HUBERDEAU,,L,33.0,CGY,81,22.42,1,0.01,42,0.52,352,4.35
MATT NIETO,,L,33.6,,32,22.42,1,0.03,50,1.56,145,4.53
NICO HISCHIER,,C,27.4,N.J,75,22.42,9,0.12,141,1.88,475,6.33
MORGAN FROST,,C,27.1,CGY,81,22.42,5,0.06,159,1.96,609,7.52
CONOR GEEKIE,,C,22.1,T.B,52,22.41,5,0.10,84,1.62,324,6.23
NICO STURM,,C,31.1,MIN,62,22.4,2,0.03,83,1.34,349,5.63
SAM BENNETT,,C,30.0,FLA,76,22.4,1,0.01,117,1.54,621,8.17
MIKHAIL SERGACHEV,,D,27.9,UTA,77,22.4,2,0.03,39,0.51,259,3.36
BOWEN BYRAM,,D,25.0,BUF,82,22.4,4,0.05,73,0.89,405,4.94
MORGAN RIELLY,,D,32.2,TOR,82,22.4,2,0.02,64,0.78,387,4.72
DAVID KAMPF,,C,31.4,WSH,59,22.4,2,0.03,84,1.42,383,6.49
NICK JENSEN,,D,35.7,OTT,71,22.4,1,0.01,42,0.59,362,5.10
JJ PETERKA,,L,24.4,UTA,77,22.39,4,0.05,152,1.97,583,7.57
KAIDEN GUHLE,,D,24.4,MTL,55,22.39,4,0.07,51,0.93,217,3.95
JASON ZUCKER,,L,34.4,BUF,73,22.38,2,0.03,52,0.71,283,3.88
ALEX IAFALLO,,R,32.5,WPG,82,22.38,3,0.04,61,0.74,357,4.35
LUKE KUNIN,,C,28.5,FLA,75,22.38,3,0.04,79,1.05,383,5.11
STEVEN LORENTZ,,L,30.1,TOR,80,22.38,6,0.08,104,1.30,441,5.51
TREVOR MOORE,,L,31.2,L.A,71,22.38,1,0.01,91,1.28,507,7.14
MATIAS MACCELLI,,L,25.6,TOR,55,22.37,2,0.04,46,0.84,302,5.49
GAGE GONCALVES,,L,25.4,T.B,60,22.37,2,0.03,54,0.90,264,4.40
JOEL ARMIA,,L,33.0,L.A,81,22.37,1,0.01,72,0.89,377,4.65
DAVID PASTRNAK,,R,30.0,BOS,82,22.37,4,0.05,100,1.22,560,6.83
J.T. MILLER,,C,33.2,NYR,72,22.37,8,0.11,160,2.22,523,7.26
KIEFER SHERWOOD,,R,31.2,S.J,78,22.36,2,0.03,112,1.44,494,6.33
BRADY SKJEI,,D,32.2,NSH,82,22.36,3,0.04,68,0.83,437,5.33
MARIO FERRARO,,D,27.7,S.J,78,22.35,1,0.01,57,0.73,295,3.78
WILLIAM CARRIER,,L,31.5,CAR,43,22.35,6,0.14,55,1.28,262,6.09
CASEY CIZIKAS,,C,35.3,NYI,82,22.35,3,0.04,164,2.00,690,8.41
ALEX LAFERRIERE,,R,24.6,L.A,77,22.35,4,0.05,154,2.00,568,7.38
JOSH DOAN,,R,24.3,BUF,51,22.34,2,0.04,67,1.31,372,7.29
JARED MCCANN,,L,30.0,SEA,82,22.34,2,0.02,108,1.32,481,5.87
THOMAS CHABOT,,D,29.3,OTT,80,22.34,4,0.05,70,0.88,456,5.70
KLIM KOSTIN,,R,27.1,,35,22.34,4,0.11,51,1.46,196,5.60
NICK LEDDY,,D,35.2,S.J,31,22.33,2,0.06,22,0.71,80,2.58
BRENDAN GALLAGHER,,R,34.1,MTL,82,22.33,2,0.02,104,1.27,456,5.56
JOE VELENO,,C,26.4,MTL,74,22.33,2,0.03,112,1.51,442,5.97
MAXIM TSYPLAKOV,,R,27.7,N.J,77,22.33,2,0.03,73,0.95,407,5.29
HUDSON FASCHING,,R,30.9,CBJ,43,22.32,1,0.02,21,0.49,141,3.28
RASMUS RISTOLAINEN,,D,31.6,PHI,63,22.32,2,0.03,40,0.63,272,4.32
LOUIS CREVIER,,D,25.1,CHI,32,22.32,2,0.06,17,0.53,85,2.66
LAWSON CROUSE,,R,28.9,UTA,81,22.31,3,0.04,90,1.11,466,5.75
LANDON SLAGGERT,,R,23.9,CHI,33,22.31,3,0.09,62,1.88,212,6.42
CHRIS TANEV,,D,36.5,TOR,75,22.31,1,0.01,30,0.40,281,3.75
MARK SCHEIFELE,,C,33.2,WPG,82,22.31,2,0.02,103,1.26,612,7.46
JACK MCBAIN,,L,26.4,UTA,82,22.3,2,0.02,66,0.80,493,6.01
CODY GLASS,,C,27.2,N.J,65,22.3,2,0.03,86,1.32,463,7.12
MARCO KASPER,,C,22.2,DET,77,22.3,3,0.04,160,2.08,644,8.36
SAM MALINSKI,,D,27.9,COL,76,22.3,3,0.04,93,1.22,394,5.18
BLAKE COLEMAN,,L,34.5,CGY,82,22.29,2,0.02,78,0.95,509,6.21
JAKE NEIGHBOURS,,L,24.2,STL,82,22.29,1,0.01,66,0.80,403,4.91
JORDAN MARTINOOK,,R,33.9,CAR,79,22.29,4,0.05,103,1.30,410,5.19
MICHAEL KESSELRING,,D,26.4,S.J,82,22.29,3,0.04,112,1.37,416,5.07
MATTY BENIERS,,C,23.6,SEA,82,22.28,2,0.02,110,1.34,749,9.13
ALEX KILLORN,,L,36.7,ANA,82,22.28,1,0.01,68,0.83,421,5.13
TYLER SEGUIN,,C,34.3,DAL,20,22.28,1,0.05,11,0.55,89,4.45
RYAN HARTMAN,,R,31.7,MIN,69,22.27,2,0.03,48,0.70,270,3.91
THOMAS HARLEY,,D,24.8,DAL,78,22.27,2,0.03,71,0.91,438,5.62
EVAN BOUCHARD,,D,26.6,EDM,82,22.26,2,0.02,67,0.82,436,5.32
JIRI KULICH,,L,22.1,BUF,62,22.26,4,0.06,137,2.21,544,8.77
JESPERI KOTKANIEMI,,C,25.9,CAR,78,22.26,2,0.03,97,1.24,482,6.18
DEVIN SHORE,,C,31.9,,55,22.26,1,0.02,36,0.65,224,4.07
IVAN PROVOROV,,D,29.4,CBJ,82,22.26,2,0.02,60,0.73,405,4.94
NICK BJUGSTAD,,R,33.9,N.J,66,22.25,3,0.05,87,1.32,414,6.27
DREW HELLESON,,D,25.2,ANA,56,22.25,1,0.02,16,0.29,122,2.18
PIERRE-OLIVIER JOSEPH,,D,26.9,VAN,47,22.25,2,0.04,31,0.66,182,3.87
BRANDON SAAD,,L,33.6,VGK,72,22.25,3,0.04,120,1.67,449,6.24
NIKOLAI KOVALENKO,,L,26.6,,57,22.25,2,0.04,55,0.96,332,5.82
CHRIS WAGNER,,R,35.0,,28,22.25,2,0.07,13,0.46,109,3.89
MIKAEL BACKLUND,,C,37.2,CGY,76,22.24,1,0.01,101,1.33,649,8.54
NILS HOGLANDER,,R,25.5,VAN,72,22.24,2,0.03,86,1.19,352,4.89
JUSTIN FAULK,,D,34.2,DET,78,22.24,1,0.01,50,0.64,339,4.35
SEBASTIAN AHO,,C,28.9,CAR,79,22.24,3,0.04,112,1.42,598,7.57
MIKAEL GRANLUND,,C,34.3,ANA,83,22.23,2,0.02,102,1.23,482,5.81
NATE SCHMIDT,,D,34.9,UTA,80,22.23,2,0.03,56,0.70,268,3.35
PAVEL BUCHNEVICH,,L,31.1,STL,76,22.23,1,0.01,41,0.54,431,5.67
ANDERS LEE,,L,35.9,NYI,82,22.23,7,0.09,79,0.96,452,5.51
BRANDON CARLO,,D,29.5,TOR,83,22.22,1,0.01,10,0.12,195,2.35
MAX JONES,,L,28.3,EDM,26,22.21,2,0.08,48,1.85,138,5.31
RASMUS ANDERSSON,,D,29.6,VGK,81,22.21,1,0.01,49,0.60,314,3.88
BRENDEN DILLON,,D,35.6,N.J,82,22.21,1,0.01,38,0.46,205,2.50
JOHN CARLSON,,D,36.4,ANA,79,22.21,1,0.01,53,0.67,262,3.32
COLE SILLINGER,,L,23.1,CBJ,66,22.21,1,0.02,72,1.09,433,6.56
ONDREJ PALAT,,L,35.2,NYI,77,22.21,2,0.03,44,0.57,312,4.05
RODRIGO ABOLS,,C,30.4,PHI,22,22.21,1,0.05,16,0.73,86,3.91
KENT JOHNSON,,R,23.6,CBJ,68,22.2,1,0.01,74,1.09,419,6.16
JAKE GUENTZEL,,L,31.7,T.B,80,22.2,2,0.03,108,1.35,543,6.79
CAM YORK,,D,25.4,PHI,67,22.2,1,0.01,23,0.34,204,3.04
MICHAEL BUNTING,,L,30.7,DAL,76,22.2,1,0.01,78,1.03,495,6.51
SEAN DURZI,,D,27.6,UTA,30,22.2,1,0.03,16,0.53,109,3.63
RYAN MCDONAGH,,D,37.0,T.B,82,22.2,1,0.01,34,0.41,171,2.09
KEVIN FIALA,,L,29.9,L.A,81,22.2,2,0.02,108,1.33,484,5.98
ROSS COLTON,,L,29.7,NSH,61,22.19,2,0.03,104,1.70,491,8.05
TYSON JOST,,R,28.2,NSH,39,22.19,1,0.03,22,0.56,192,4.92
NICK SCHMALTZ,,C,30.3,UTA,82,22.19,1,0.01,133,1.62,657,8.01
ARTTURI LEHKONEN,,L,30.9,COL,69,22.19,1,0.01,59,0.86,440,6.38
LIAM O'BRIEN,,L,31.8,UTA,28,22.18,1,0.04,28,1.00,130,4.64
MATTHEW HIGHMORE,,L,30.3,NYI,41,22.18,2,0.05,22,0.54,198,4.83
JOSH MANSON,,D,34.7,COL,48,22.18,1,0.02,40,0.83,206,4.29
DECLAN CHISHOLM,,D,26.4,WSH,66,22.18,2,0.03,30,0.45,285,4.32
PAVEL ZACHA,,C,29.2,BOS,82,22.17,2,0.02,93,1.13,627,7.65
ADAM WILSBY,,D,25.8,NSH,23,22.17,1,0.04,24,1.04,111,4.83
IVAN BARBASHEV,,L,30.5,VGK,70,22.17,2,0.03,43,0.61,314,4.49
JEREMY LAUZON,,D,29.1,VGK,28,22.17,1,0.04,31,1.11,142,5.07
BRAYDEN PACHAL,,D,26.8,CGY,76,22.17,1,0.01,21,0.28,153,2.01
SPENCER STASTNEY,,D,26.4,EDM,23,22.17,1,0.04,36,1.57,130,5.65
GUSTAV FORSLING,,D,30.0,FLA,80,22.16,2,0.03,81,1.01,424,5.30
ISAIAH GEORGE,,D,22.3,NYI,33,22.16,1,0.03,21,0.64,129,3.91
