Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
RADEK FAKSA,,C,32.4,DAL,70,21.26,0,0.00,43,0.61,351,5.01
ALEX PIETRANGELO,,D,36.4,VGK,71,21.26,0,0.00,18,0.25,167,2.35
NICK FOLIGNO,,L,38.6,MIN,78,21.25,0,0.00,15,0.19,247,3.17
SIMON NEMEC,,D,22.3,N.J,27,21.25,0,0.00,6,0.22,58,2.15
TEUVO TERAVAINEN,,L,31.7,CHI,82,21.24,0,0.00,19,0.23,274,3.34
JORDAN GREENWAY,,L,29.3,BUF,34,21.24,0,0.00,25,0.74,150,4.41
MATHEW DUMBA,,D,31.9,,63,21.24,0,0.00,15,0.24,172,2.73
ILYA LYUBUSHKIN,,D,32.2,DAL,80,21.23,0,0.00,17,0.21,206,2.58
BRANDT CLARKE,,D,23.3,L.A,78,21.23,0,0.00,32,0.41,300,3.85
ANDREAS ENGLUND,,D,30.4,NSH,35,21.22,0,0.00,8,0.23,66,1.89
JOEL HANLEY,,D,35.0,CGY,53,21.22,0,0.00,17,0.32,155,2.92
J.J. MOSER,,D,26.0,T.B,54,21.22,0,0.00,14,0.26,167,3.09
JONATHAN MARCHESSAULT,,R,35.4,NSH,78,21.22,0,0.00,37,0.47,379,4.86
RYAN STROME,,C,32.9,CGY,82,21.21,0,0.00,30,0.37,413,5.04
MATTHEW POITRAS,,C,22.2,BOS,33,21.21,0,0.00,35,1.06,193,5.85
MATT MARTIN,,L,37.1,,32,21.2,0,0.00,20,0.63,66,2.06
SCOTT MAYFIELD,,D,33.6,NYI,66,21.2,0,0.00,20,0.30,127,1.92
PARKER WOTHERSPOON,,D,28.8,PIT,55,21.2,0,0.00,12,0.22,164,2.98
HENRY THRUN,,D,25.2,TOR,60,21.19,0,0.00,20,0.33,147,2.45
CALVIN DE HAAN,,D,35.1,,47,21.19,0,0.00,11,0.23,95,2.02
JIMMY VESEY,,R,33.0,,43,21.18,0,0.00,24,0.56,163,3.79
DMITRY KULIKOV,,D,35.6,FLA,70,21.18,0,0.00,24,0.34,248,3.54
NICK DESIMONE,,D,31.5,UTA,20,21.17,0,0.00,2,0.10,45,2.25
JUSTIN HOLL,,D,34.3,STL,73,21.15,0,0.00,9,0.12,187,2.56
KAAPO KAKKO,,R,25.3,SEA,79,21.15,0,0.00,27,0.34,245,3.10
RYAN SUTER,,D,41.4,,82,21.14,0,0.00,18,0.22,189,2.30
MIKEY ANDERSON,,D,27.0,L.A,77,21.12,0,0.00,9,0.12,168,2.18
BEN JONES,,C,27.3,MIN,26,21.12,0,0.00,18,0.69,93,3.58
NICOLAS DESLAURIERS,,L,35.3,CAR,31,21.1,0,0.00,4,0.13,54,1.74
JAKE CHRISTIANSEN,,D,26.7,CBJ,68,21.07,0,0.00,11,0.16,126,1.85
PIUS SUTER,,C,30.0,STL,81,21.07,0,0.00,10,0.12,296,3.65
COREY PERRY,,R,41.1,T.B,81,21.06,0,0.00,23,0.28,207,2.56
DREW DOUGHTY,,D,36.5,L.A,30,21.05,0,0.00,8,0.27,83,2.77
NOLAN ALLAN,,D,23.1,S.J,43,21.05,0,0.00,12,0.28,134,3.12
GABRIEL VILARDI,,R,26.8,WPG,71,21.04,0,0.00,27,0.38,291,4.10
STEFAN NOESEN,,L,33.3,N.J,78,21.04,0,0.00,21,0.27,329,4.22
DAKOTA JOSHUA,,L,30.1,TOR,57,21.02,0,0.00,22,0.39,265,4.65
DAVID PERRON,,R,38.0,DET,43,21,0,0.00,11,0.26,169,3.93
DANTE FABBRO,,D,28.0,CBJ,68,20.98,0,0.00,9,0.13,168,2.47
NOEL ACCIARI,,R,34.5,PIT,79,20.97,0,0.00,17,0.22,277,3.51
OWEN PICKERING,,D,22.4,PIT,25,20.95,0,0.00,3,0.12,51,2.04
LOGAN STANLEY,,D,28.0,BUF,63,20.94,0,0.00,10,0.16,107,1.70
ERIK JOHNSON,,D,38.2,,36,20.92,0,0.00,14,0.39,63,1.75
ERIK BRANNSTROM,,D,26.8,,28,20.91,0,0.00,7,0.25,107,3.82
ANDREI KUZMENKO,,R,30.3,L.A,66,20.84,0,0.00,17,0.26,228,3.45
ADAM BOQVIST,,D,25.8,NYI,35,20.84,0,0.00,12,0.34,121,3.46
NOAH JUULSEN,,D,29.2,PHI,35,20.83,0,0.00,5,0.14,67,1.91
JONATHAN LEKKERIMAKI,,R,21.9,VAN,24,20.81,0,0.00,15,0.63,127,5.29
CONOR TIMMINS,,D,27.7,BUF,68,20.78,0,0.00,16,0.24,179,2.63
CONNOR MURPHY,,D,33.2,EDM,68,20.77,0,0.00,4,0.06,71,1.04
DYLAN DEMELO,,D,33.1,WPG,82,20.72,0,0.00,10,0.12,177,2.16
