,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
Name,Compare,Pos,Age,Team,GP,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period,Total Dist.,Distance/60,Top Game,Top Period
ZACH WERENSKI,,D,28.9,CBJ,81,320.25,8.87,5.16,2.04,272.83,9,4.36,1.69,31.9,8.79,0.95,0.67,15.52,7.19,0.51,0.39
CALE MAKAR,,D,27.6,COL,80,303.78,8.86,4.64,1.84,241.92,9.1,3.79,1.68,42.34,8.71,1.04,0.75,19.52,6.84,0.79,0.45
TRAVIS SANHEIM,,D,30.2,PHI,82,299.65,8.95,4.69,2,269.05,9.15,4.17,1.69,8.24,9.16,0.59,0.43,22.37,7.03,0.87,0.42
NATHAN MACKINNON,,C,30.8,COL,79,291.89,9.73,4.67,1.7,248.83,10,4.19,1.54,42.39,8.41,1.16,0.76,0.66,8.73,0.18,0.18
MORITZ SEIDER,,D,25.2,DET,82,291.3,8.5,4.2,1.61,240.56,8.72,3.85,1.44,34.08,8.47,1.18,0.86,16.67,6.27,0.72,0.39
JOSH MORRISSEY,,D,31.2,WPG,80,290.41,8.93,4.75,1.72,250.02,9.03,4.27,1.62,33.01,8.63,1,0.78,7.38,7.41,0.39,0.26
IVAN PROVOROV,,D,29.4,CBJ,82,289.36,9.07,4.55,1.72,250.34,9.26,4.24,1.61,13.43,10.16,0.62,0.51,25.58,7.19,0.7,0.45
MACKENZIE WEEGAR,,D,32.4,UTA,81,288.66,8.85,4.35,1.51,237.43,9.04,3.79,1.51,33.08,8.66,1.03,0.65,18.14,7.14,0.59,0.48
MIKE MATHESON,,D,32.3,MTL,80,284.68,8.51,4.16,1.63,231.89,8.84,3.86,1.48,23.77,9.14,1.13,0.63,29.02,6.28,0.97,0.63
CONNOR BEDARD,,C,20.9,CHI,82,284.41,10.26,4.37,1.78,249.47,10.36,3.98,1.51,34.16,9.55,1.06,0.69,0.78,9.94,0.16,0.16
KYLE CONNOR,,L,29.5,WPG,82,282.34,10.13,4.25,1.7,234.16,10.22,3.73,1.5,38.11,9.82,1.12,0.89,10.08,9.26,0.4,0.27
BRANDON MONTOUR,,D,32.1,SEA,81,279.17,9,4.36,1.93,248.64,9.05,4.04,1.87,28.32,8.63,1.04,0.67,2.21,8.29,0.22,0.22
MARK SCHEIFELE,,C,33.2,WPG,82,278.17,9.96,4.12,1.61,241.39,10.11,3.81,1.39,34.96,9.08,1.06,0.78,1.83,9.06,0.33,0.33
LANE HUTSON,,D,22.3,MTL,82,277.7,8.94,4.55,1.64,242.43,9,3.7,1.58,33.34,8.67,0.9,0.67,1.93,6.43,0.26,0.26
BROCK FABER,,D,23.8,MIN,78,277.67,8.37,4.78,1.69,234.93,8.5,4.53,1.5,25.67,8.82,1.05,0.74,17.07,6.52,0.61,0.4
EVAN BOUCHARD,,D,26.6,EDM,82,276.25,8.62,4.21,1.68,235.31,8.63,3.83,1.68,38.64,8.62,0.92,0.65,2.3,7.47,0.16,0.14
THOMAS CHABOT,,D,29.3,OTT,80,275.67,8.98,4.52,1.9,232.99,9.12,3.86,1.53,24.47,9.3,0.95,0.48,18.21,7.25,0.71,0.53
DYLAN LARKIN,,C,29.8,DET,82,274.26,10,4.16,1.58,225.63,10.42,3.74,1.41,35.85,8.36,1.1,0.82,12.79,8.61,0.69,0.49
VINCENT TROCHECK,,C,32.9,NYR,82,274.07,9.5,4.12,1.54,217.78,9.9,3.56,1.36,31.13,8.21,0.95,0.69,25.15,8.28,1.13,0.46
RASMUS ANDERSSON,,D,29.6,VGK,81,273.33,8.44,3.98,1.57,226.84,8.64,3.65,1.41,24.52,8.92,0.77,0.43,21.98,6.49,0.8,0.48
TIM STUTZLE,,C,24.4,OTT,82,273.19,10.09,4.27,1.73,227.92,10.25,3.45,1.52,44.99,9.37,1.31,0.67,0.28,8.33,0.04,0.04
JAKE SANDERSON,,D,23.9,OTT,80,272.26,8.35,4.45,1.69,210.5,8.58,4.09,1.39,39.38,8.59,1.17,0.61,22.38,6.47,0.83,0.61
THOMAS HARLEY,,D,24.8,DAL,78,271.98,8.95,4.63,1.7,228.26,9.02,4,1.49,29.23,9.42,1.01,0.67,14.49,7.32,0.5,0.45
RASMUS DAHLIN,,D,26.1,BUF,73,271.67,9.21,4.67,1.97,230.23,9.29,4.02,1.79,34.76,9.05,1,0.55,6.69,7.76,0.44,0.26
MITCH MARNER,,R,29.1,VGK,81,269.39,9.36,4.11,1.61,210.13,9.61,3.55,1.4,33.26,8.27,0.9,0.5,26,8.98,1.02,0.56
BOWEN BYRAM,,D,25.0,BUF,82,269.21,8.68,4.68,1.65,238.45,8.83,4.35,1.65,13.92,9.03,0.78,0.53,16.84,6.8,0.52,0.35
BO HORVAT,,C,31.2,NYI,81,265.91,9.76,4.04,1.57,218.25,9.99,3.61,1.36,34.51,8.8,1.69,0.77,13.14,8.96,0.63,0.31
NIKITA KUCHEROV,,R,33.0,T.B,78,265.2,9.63,4.4,1.59,224.93,9.97,4.03,1.44,39.99,8.03,1.19,0.65,0,0,0.09,0.09
DAVID PASTRNAK,,R,30.0,BOS,82,265.02,9.61,4.14,1.54,224.3,9.82,3.8,1.37,40.38,8.56,1.31,0.81,0.34,9.86,0.04,0.04
TRAVIS KONECNY,,R,29.2,PHI,82,264.98,9.41,3.89,1.58,218.17,9.62,3.46,1.53,31.48,8.24,1.2,0.64,15.33,9.21,0.57,0.34
NAZEM KADRI,,C,35.7,COL,82,264.91,10.01,3.96,1.48,231.72,10.36,3.69,1.45,32.17,8.09,0.84,0.59,1.02,8.85,0.15,0.15
