,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
SIDNEY CROSBY,,C,38.8,PIT,80,264.12,9.72,4.07,1.43,229.69,10.04,3.77,1.31,33.62,8,0.94,0.52,0.81,8.85,0.08,0.05
ERIK KARLSSON,,D,36.0,PIT,82,263.65,8.3,4.19,1.61,227.24,8.31,3.76,1.61,29.28,8.77,0.93,0.57,7.14,6.63,0.47,0.32
ALEX VLASIC,,D,25.0,CHI,82,263.25,8.28,3.67,1.45,221.34,8.43,3.32,1.45,18.13,9.39,0.84,0.72,23.79,6.62,0.78,0.43
VICTOR HEDMAN,,D,35.5,T.B,79,262.85,8.65,4.38,1.56,214.35,8.8,3.68,1.45,33.2,8.45,1.02,0.71,15.3,7.25,0.61,0.46
QUINTON BYFIELD,,C,23.8,L.A,81,262.56,10.44,3.95,1.58,215.64,10.62,3.7,1.42,24.8,9.24,0.87,0.52,22.13,10.28,1.11,0.57
DEVON TOEWS,,D,32.3,COL,76,262.31,8.42,4.33,1.65,230.45,8.59,3.71,1.5,12.39,9.21,0.47,0.3,19.47,6.53,0.77,0.47
NICK SUZUKI,,C,26.8,MTL,82,262.07,9.56,4.24,1.48,213.89,9.77,3.46,1.43,40.94,8.79,1.11,0.72,7.24,8.37,0.51,0.39
BROCK NELSON,,C,34.6,COL,80,259.89,10.31,4.11,1.65,218.76,10.51,3.43,1.37,29.02,9.27,0.89,0.61,12.12,9.51,0.64,0.46
MATT BOLDY,,L,25.2,MIN,82,259.34,9.35,3.96,1.65,217.4,9.51,3.61,1.65,37.81,8.7,1.08,0.67,4.13,7.94,0.31,0.2
ANZE KOPITAR,,C,38.8,L.A,81,259.06,10.12,4.05,1.5,213.23,10.49,3.35,1.47,32.12,8.57,0.99,0.62,13.71,9,0.6,0.37
JACK EICHEL,,C,29.6,VGK,77,258.68,9.82,3.96,1.61,211.34,10.16,3.62,1.61,30.66,8.63,1.14,0.72,16.67,8.32,0.62,0.37
MIKHAIL SERGACHEV,,D,27.9,UTA,77,258.37,8.02,4.21,1.53,199.8,8.29,3.61,1.25,33.5,7.88,1.12,0.58,25.07,6.46,0.97,0.53
MATTY BENIERS,,C,23.6,SEA,82,258.27,10.11,3.99,1.64,222.62,10.34,3.57,1.42,30,9.01,0.99,0.61,5.65,8.19,0.63,0.35
RICKARD RAKELL,,L,33.1,PIT,81,258.05,9.91,4,1.52,223.83,9.98,3.69,1.35,34.15,9.43,1.18,0.71,0.07,7.72,0.03,0.03
QUINN HUGHES,,D,26.6,MIN,68,257.57,8.83,4.97,1.76,219.65,8.87,4.47,1.73,36.43,8.67,1.26,0.77,1.49,7.37,0.22,0.14
MIKKO RANTANEN,,R,29.6,DAL,82,257.4,8.86,4,1.6,220.17,9.27,3.55,1.44,37,7.03,0.98,0.62,0.23,9.34,0.05,0.05
SEBASTIAN AHO,,C,28.9,CAR,79,257.07,9.71,4.06,1.5,194.25,9.96,3.47,1.49,40.84,8.71,1.26,0.99,21.98,9.7,0.81,0.44
MORGAN RIELLY,,D,32.2,TOR,82,257.03,8.79,4.13,1.56,232.69,8.79,3.8,1.47,22.49,8.96,0.83,0.47,1.85,7.11,0.15,0.15
VLADISLAV GAVRIKOV,,D,30.5,NYR,82,256.91,8.14,4.03,1.5,224.73,8.34,3.84,1.33,1.05,8.87,0.16,0.11,31.13,6.93,1.05,0.52
NOAH HANIFIN,,D,29.4,VGK,80,256.55,8.93,4.18,1.58,231.61,9.01,3.97,1.58,16.42,9.4,0.65,0.6,8.53,6.66,0.44,0.24
CONNOR MCDAVID,,C,29.4,EDM,67,256.11,10.41,4.76,1.78,220.75,10.55,4.31,1.7,34.53,9.59,1.21,0.68,0.84,10.87,0.13,0.13
WILLIAM NYLANDER,,R,30.1,TOR,82,255.84,9.6,3.79,1.5,218.13,9.81,3.47,1.48,37.44,8.53,1.13,0.6,0.26,7.95,0.04,0.04
JESPER BRATT,,L,27.8,N.J,81,254.79,9.96,4.02,1.53,201.15,10.24,3.51,1.5,34.04,8.86,1.1,0.57,19.59,9.37,0.68,0.5
MARTIN NECAS,,R,27.4,COL,79,254.74,10.18,4.09,1.54,212.99,10.54,3.6,1.54,40.94,8.67,1.39,1.11,0.82,10.4,0.22,0.22
PAVEL ZACHA,,C,29.2,BOS,82,254.73,9.78,3.94,1.45,200.29,9.93,3.62,1.27,32.8,9.46,1.18,0.76,21.63,8.98,0.85,0.39
ADRIAN KEMPE,,R,29.7,L.A,81,253.74,9.81,4.41,1.57,203.84,10.09,3.73,1.56,32.19,8.67,1.09,0.64,17.71,9.13,0.66,0.47
BRADY SKJEI,,D,32.2,NSH,82,253.35,8.47,3.95,1.47,211.78,8.62,3.47,1.36,17.85,8.94,0.65,0.45,23.72,7.1,0.73,0.45
ARTEMI PANARIN,,L,34.6,L.A,80,253.32,9.65,4.02,1.6,217.8,9.88,3.72,1.44,35.22,8.43,1.02,0.79,0,0,0.13,0.13
WYATT JOHNSTON,,C,23.1,DAL,82,252.73,9.77,3.71,1.59,195.3,9.93,3.3,1.33,38.83,9.35,1.63,0.71,18.6,9.1,0.64,0.35
SAM REINHART,,R,30.6,FLA,79,250.85,9.29,3.97,1.56,194.47,9.41,3.29,1.31,38.19,8.94,1.2,0.76,18.19,8.85,0.67,0.39
NICK SCHMALTZ,,C,30.3,UTA,82,250.65,9.87,3.74,1.56,206.3,10.18,3.47,1.29,38.29,8.56,1.14,0.67,6.06,9.2,0.42,0.23
ALEX TUCH,,R,30.1,BUF,82,250.4,9.52,3.87,1.49,199.99,9.9,3.4,1.34,25.61,8.08,0.88,0.44,24.8,8.43,0.7,0.43
CODY CECI,,D,32.5,L.A,85,249.79,8.31,3.66,1.38,225.35,8.54,3.32,1.33,1.56,9.58,0.19,0.19,22.88,6.55,0.67,0.45
OWEN POWER,,D,23.5,BUF,79,249.59,8.89,4.38,1.75,216.32,9.01,4.06,1.75,19.46,9.21,0.8,0.54,13.81,7.11,0.74,0.44
BRANDON HAGEL,,L,27.8,T.B,82,248.82,8.78,3.85,1.37,201.79,9.11,3.44,1.25,26.21,7.18,0.82,0.58,20.82,8.15,0.81,0.49
GUSTAV FORSLING,,D,30.0,FLA,80,248.69,8.13,3.93,1.52,219.24,8.32,3.78,1.5,3.3,8.34,0.45,0.2,26.15,6.81,0.84,0.52
KRIS LETANG,,D,39.1,PIT,74,248.64,8.57,3.82,1.45,209.59,8.72,3.48,1.38,19.98,8.41,0.87,0.43,19.07,7.31,0.84,0.56
CONOR GARLAND,,R,30.2,CBJ,81,248.43,9.86,4.09,1.59,201.81,10,3.55,1.52,36.3,9.24,0.98,0.79,10.31,9.59,0.38,0.32
JOHN CARLSON,,D,36.4,ANA,79,247.95,7.99,3.84,1.45,192.07,8.23,3.4,1.2,32.61,8.25,1.03,0.77,23.27,6.22,0.81,0.5
COLE CAUFIELD,,L,25.4,MTL,82,247.79,10.03,4,1.47,209.2,10.22,3.5,1.47,38.53,9.11,1.14,0.69,0.06,4.49,0.05,0.05
KIRILL MARCHENKO,,L,25.9,CBJ,79,247.57,10.12,4.24,1.76,215.29,10.24,3.87,1.55,31.66,9.39,1.07,0.78,0.61,8.04,0.1,0.1
JAKE GUENTZEL,,L,31.7,T.B,80,247.34,9.28,4.01,1.49,211.06,9.85,3.66,1.31,29.99,6.57,0.81,0.61,6.3,9.55,0.58,0.33
MIKA ZIBANEJAD,,C,33.1,NYR,82,247.21,9.64,3.92,1.66,190.96,10.06,3.27,1.4,31.83,8.11,0.86,0.65,24.42,8.96,0.75,0.56
JONATHAN HUBERDEAU,,L,33.0,CGY,81,246.96,9.36,3.95,1.5,204.31,9.83,3.56,1.43,27.92,7.21,0.92,0.62,14.72,8.56,0.51,0.48
MIKAEL GRANLUND,,C,34.3,ANA,83,246.4,9.16,3.93,1.53,196.93,9.45,3.22,1.38,33.03,8.4,1.15,0.56,16.44,7.72,0.56,0.43
BEN CHIAROT,,D,35.1,DET,81,246.28,8.59,4.09,1.55,230.18,8.8,3.93,1.5,1.65,8.6,0.27,0.27,14.46,6.26,0.53,0.33
BRENT BURNS,,D,41.2,COL,82,245.67,8.58,3.63,1.46,201.3,8.72,3.1,1.26,20.3,8.86,0.66,0.43,24.07,7.37,0.73,0.41
BRETT KULAK,,D,32.4,COL,82,244.63,8.72,4.19,1.53,226.1,8.87,4.1,1.48,2.12,10.08,0.54,0.37,16.41,6.96,0.68,0.37
BRAYDEN POINT,,C,30.2,T.B,77,243.8,9.75,3.99,1.59,206.82,10.08,3.34,1.46,36.66,8.25,1.14,0.78,0.32,11.28,0.08,0.08
JACKSON LACOMBE,,D,25.4,ANA,75,242.94,8.72,4.42,1.54,200.01,8.92,4.06,1.48,23.95,8.97,1.1,0.58,18.98,6.79,0.79,0.51
FILIP FORSBERG,,L,31.8,NSH,82,242.92,9.54,3.46,1.45,208.69,9.9,3.09,1.27,33.88,7.81,1.13,0.73,0.35,10.11,0.1,0.1
KYLE PALMIERI,,R,35.3,NYI,82,242.33,9.58,3.63,1.32,202.14,9.79,3.11,1.16,27.7,8.61,1.31,0.62,12.49,8.72,0.45,0.45
CHANDLER STEPHENSON,,C,32.1,SEA,78,242.24,9.55,3.9,1.41,195.71,10.05,3.17,1.29,30.03,9.01,0.84,0.56,16.5,6.45,0.64,0.4
LUCAS RAYMOND,,R,24.2,DET,82,242.14,9.43,3.79,1.45,201.71,9.85,3.41,1.31,32.4,7.7,1.05,0.78,8.03,8.08,0.59,0.48
RYAN MCLEOD,,C,26.7,BUF,79,242.01,10.92,4.25,1.58,204.68,11.09,3.84,1.58,6.55,10.12,0.83,0.31,30.78,10.09,1.06,0.68
JUSTIN FAULK,,D,34.2,DET,78,241.79,8.28,3.68,1.57,207.51,8.36,3.35,1.29,23.31,8.79,0.71,0.48,10.97,6.47,0.4,0.3
ADAM FANTILLI,,C,21.6,CBJ,82,241.67,10.12,4.25,1.5,218.38,10.23,4.25,1.5,19.48,9.1,0.81,0.6,3.8,9.33,0.22,0.2
ALEX DEBRINCAT,,L,28.5,DET,82,240.85,9.86,3.74,1.55,206.93,10.19,3.45,1.36,33.62,8.22,1.14,0.86,0.3,9.12,0.08,0.08
CARTER VERHAEGHE,,L,30.8,FLA,81,240.77,9.98,3.96,1.56,210.71,10.2,3.67,1.39,29.94,8.68,1.05,0.58,0.11,9.31,0.04,0.04
MIKEY ANDERSON,,D,27.0,L.A,77,240.35,8.25,3.94,1.61,209.85,8.41,3.61,1.41,0.79,7.93,0.1,0.1,29.71,7.32,1.43,0.69
DRAKE BATHERSON,,R,28.1,OTT,82,240.31,9.69,3.57,1.48,200.76,9.89,3.22,1.26,39.39,8.8,1.05,0.53,0.16,11.18,0.04,0.04
DARNELL NURSE,,D,31.3,EDM,76,240.01,8.47,3.89,1.47,213.22,8.58,3.55,1.46,11.48,8.84,0.56,0.45,15.31,7.04,0.84,0.46
MATT GRZELCYK,,D,32.4,CHI,82,239.48,8.5,3.71,1.46,208.95,8.52,3.37,1.42,24.95,8.78,0.93,0.46,5.58,6.91,0.39,0.29
TOM WILSON,,R,32.2,WSH,81,239.37,9.47,3.68,1.44,190.02,9.82,3.14,1.24,30.52,8.06,0.95,0.75,18.84,8.79,0.55,0.34
RYAN O'REILLY,,C,35.3,NSH,79,239.31,9.57,3.61,1.41,198.72,9.92,3.27,1.4,30.45,7.99,1.02,0.53,10.14,8.8,0.46,0.32
CLAYTON KELLER,,L,27.8,UTA,81,239.16,9.27,3.77,1.41,200.82,9.51,3.62,1.35,37.72,8.12,1.17,0.6,0,0,0.19,0.19
ALEXANDRE CARRIER,,D,29.7,MTL,79,239.01,8.82,3.63,1.38,218.2,8.99,3.51,1.38,1.66,10.17,0.25,0.22,19.15,7.2,0.86,0.63
KEVIN FIALA,,L,29.9,L.A,81,238.64,9.55,4.03,1.42,206.24,9.9,3.56,1.42,32.12,7.79,0.97,0.55,0.27,7.27,0.12,0.12
NIKO MIKKOLA,,D,30.1,FLA,76,238.29,9.32,3.85,1.49,218.04,9.45,3.68,1.4,1.51,10.26,0.21,0.19,18.74,7.94,0.74,0.39
NIKITA ZADOROV,,D,31.1,BOS,81,236.88,8.51,3.61,1.36,214.19,8.68,3.3,1.36,1.99,8.29,0.21,0.2,20.7,7.15,0.64,0.41
ADAM LARSSON,,D,33.6,SEA,82,236.75,8.18,3.86,1.51,213.29,8.47,3.55,1.47,1.09,8.43,0.17,0.17,22.38,6.15,0.83,0.49
DAWSON MERCER,,R,24.6,N.J,82,236.32,9.67,3.81,1.4,193.22,9.84,3.68,1.36,19.58,9.2,0.9,0.52,23.52,8.78,0.71,0.42
ADAM FOX,,D,28.3,NYR,74,236.17,8.24,3.87,1.53,190.38,8.43,3.44,1.46,28.03,7.79,0.93,0.67,17.76,7.11,0.86,0.4
WILLIAM EKLUND,,L,23.6,S.J,77,236.04,9.41,3.84,1.51,193.56,9.66,3.47,1.41,29.16,8.28,1.13,0.55,13.31,8.74,0.56,0.43
RYAN NUGENT-HOPKINS,,L,33.1,EDM,78,235.73,9.56,3.8,1.44,183.22,9.98,3.09,1.29,33.28,8.22,0.96,0.71,19.23,8.56,0.68,0.38
LEON DRAISAITL,,C,30.6,EDM,71,235.28,9.24,3.9,1.48,207.35,9.64,3.64,1.48,27.4,7.06,0.86,0.57,0.54,8.48,0.12,0.12
OLIVER EKMAN-LARSSON,,D,34.9,TOR,77,234.72,8.68,4.14,1.44,208.7,8.76,3.5,1.44,16.54,8.99,0.75,0.43,9.47,6.85,0.41,0.31
MIKAEL BACKLUND,,C,37.2,CGY,76,234.04,9.86,3.68,1.46,189.17,10.19,3.37,1.24,22.05,9.75,0.83,0.39,22.82,7.83,0.88,0.45
MARCO ROSSI,,C,24.7,VAN,82,233.97,9.38,3.87,1.49,207.31,9.59,3.64,1.42,26.26,8.09,0.95,0.67,0.4,6.73,0.09,0.09
JACCOB SLAVIN,,D,32.1,CAR,80,233.64,8.12,3.59,1.37,204.37,8.31,3.26,1.3,1.82,8.19,0.19,0.13,27.45,6.98,0.74,0.4
CLAUDE GIROUX,,R,38.4,OTT,81,233.52,9.5,3.66,1.59,176.98,9.76,2.98,1.3,29.33,8.96,0.86,0.51,27.21,8.56,1.03,0.81
BLAKE COLEMAN,,L,34.5,CGY,82,233.2,9.65,3.38,1.38,192.57,9.88,3.13,1.24,16.34,8.06,0.55,0.34,24.29,9.13,0.85,0.51
DYLAN STROME,,C,29.2,WSH,82,233.14,9.81,3.53,1.33,197.68,10.07,3.07,1.22,35.19,8.59,0.97,0.8,0.27,8.85,0.17,0.13
TROY TERRY,,R,28.7,ANA,77,232.59,9.62,3.98,1.48,199.52,9.82,3.39,1.48,31.47,8.49,1.16,0.58,1.6,10.15,0.3,0.17
K'ANDRE MILLER,,D,26.4,CAR,74,232.44,8.59,3.99,1.42,203.86,8.73,3.47,1.37,9.28,9.56,0.44,0.36,19.3,7.03,0.84,0.44
MACKLIN CELEBRINI,,C,20.0,S.J,70,231.96,10.05,4.37,1.87,194.9,10.16,3.87,1.61,35.16,9.51,1.37,0.74,1.9,9.72,0.29,0.29
NOAH DOBSON,,D,26.4,MTL,71,231.93,8.42,4.22,1.52,195.89,8.46,3.94,1.37,30.52,8.6,1.48,0.72,5.52,6.63,0.34,0.23
LUKE HUGHES,,D,22.7,N.J,71,231.81,9.26,4.41,1.7,210.04,9.27,4.23,1.7,18.55,9.57,0.93,0.58,3.22,7.13,0.4,0.35
JORDAN KYROU,,R,28.1,STL,82,231.54,9.69,3.66,1.36,203.58,9.81,3.29,1.34,27.79,8.91,0.8,0.66,0.17,9.29,0.1,0.1
PHILLIP DANAULT,,C,33.3,MTL,80,231.18,9.81,3.43,1.32,191.42,9.95,3.14,1.25,17.36,9.39,0.64,0.44,22.39,9.04,0.75,0.44
ESA LINDELL,,D,32.0,DAL,80,230.61,7.8,3.76,1.35,198.3,8.09,3.24,1.31,2.37,8.31,0.31,0.2,29.94,6.26,0.87,0.55
RASMUS SANDIN,,D,26.2,WSH,82,230.61,8.79,3.89,1.38,214.71,8.84,3.64,1.38,9.99,9.03,0.61,0.51,5.9,7.02,0.33,0.21
TIMO MEIER,,L,29.7,N.J,80,230.58,9.68,3.55,1.56,209.43,9.84,3.54,1.56,20.88,8.35,0.99,0.51,0.27,9.34,0.14,0.14
STEVEN STAMKOS,,L,36.3,NSH,82,230.11,9.35,3.44,1.53,201.33,9.99,3.19,1.32,28.37,6.45,1.07,0.59,0.41,8.51,0.05,0.04
RYAN SUTER,,D,41.4,,82,230.06,8.65,4.68,1.63,210.58,8.85,4.22,1.63,1.01,9.88,0.15,0.14,18.48,6.82,0.54,0.4
DYLAN DEMELO,,D,33.1,WPG,82,230.06,7.82,3.49,1.32,210.96,7.99,3.31,1.24,1.05,8.99,0.15,0.11,18.05,6.24,0.83,0.45
OLLI MAATTA,,D,31.8,CGY,77,229.94,9.16,4.2,1.66,213.52,9.34,4.07,1.61,0.63,9.33,0.11,0.11,15.79,7.26,0.7,0.49
JACK HUGHES,,C,25.1,N.J,62,229.87,10.64,4.73,1.82,188.63,10.82,4.2,1.55,33.55,10.11,1.5,0.74,7.69,9.06,0.59,0.47
BRAYDEN SCHENN,,L,34.8,NYI,82,229.83,9.58,3.36,1.43,203.37,9.74,3.1,1.22,20.94,8.59,0.62,0.49,5.52,8.01,0.34,0.34
SAM BENNETT,,C,30.0,FLA,76,229.7,10.39,3.85,1.44,201.4,10.59,3.5,1.44,27.31,9.15,1.02,0.64,1,10.19,0.19,0.16
MARCUS PETTERSSON,,D,30.1,VAN,78,229.42,8.14,3.57,1.34,204.69,8.31,3.43,1.29,1.58,8.86,0.17,0.16,23.14,6.85,0.7,0.42
AUSTON MATTHEWS,,C,28.7,TOR,67,229.28,10.03,4.17,1.59,182.68,10.31,3.65,1.47,31.26,9.35,0.97,0.5,15.34,8.5,0.64,0.54
NICO HISCHIER,,C,27.4,N.J,75,229.26,9,3.71,1.39,185.66,9.62,3.43,1.39,24.62,6.84,0.9,0.5,18.98,7.37,0.59,0.39
PIERRE-LUC DUBOIS,,C,27.9,WSH,82,228.62,9.67,3.45,1.39,200.52,9.74,3.14,1.27,26.67,9.27,1.13,0.62,1.44,8.31,0.19,0.14
MARIO FERRARO,,D,27.7,S.J,78,228.46,8.21,3.94,1.44,205.37,8.48,3.73,1.39,0.98,8.58,0.11,0.11,22.11,6.33,0.79,0.5
PAVEL BUCHNEVICH,,L,31.1,STL,76,228.45,9.48,3.66,1.42,191.71,9.65,3.3,1.42,24.79,8.57,0.79,0.54,11.95,8.96,0.53,0.39
TAGE THOMPSON,,C,28.6,BUF,76,227.84,9.59,3.77,1.38,195.33,9.78,3.31,1.33,31.4,8.53,0.88,0.47,1.1,11,0.16,0.16
JONATHAN MARCHESSAULT,,R,35.4,NSH,78,227.72,9.74,3.74,1.52,191.22,9.94,3.38,1.42,36.35,8.83,1.26,0.71,0.16,9.53,0.04,0.04
ALEXIS LAFRENIERE,,R,24.6,NYR,82,227.66,9.8,3.75,1.36,206.98,9.82,3.37,1.29,20.54,9.55,0.97,0.51,0,0,0.11,0.11
JADEN SCHWARTZ,,R,33.9,SEA,81,227.37,9.42,3.47,1.44,202.13,9.66,3.29,1.42,25.01,7.82,0.76,0.54,0.24,9.29,0.05,0.04
SIMON EDVINSSON,,D,23.3,DET,78,227.23,8.28,3.59,1.46,210.14,8.43,3.45,1.46,4.33,8.38,0.66,0.38,12.76,6.34,0.53,0.42
JASON ROBERTSON,,L,26.9,DAL,82,227.15,9.34,3.55,1.37,193.24,9.61,3.21,1.28,33.89,8.05,1.48,0.64,0.02,9.29,0.01,0.01
ROBERT THOMAS,,C,26.9,STL,70,226.89,9.74,4.04,1.44,189.2,9.98,3.6,1.37,25.11,8.93,0.88,0.54,12.58,8.29,0.62,0.5
JAKOB CHYCHRUN,,D,28.2,WSH,74,226.55,8.72,4.07,1.54,200.36,8.69,3.84,1.3,25.11,9.06,0.96,0.78,1.08,7.5,0.12,0.12
ELIAS LINDHOLM,,C,31.5,BOS,82,226.41,9.16,3.52,1.4,176.55,9.66,3.23,1.29,31.24,7.78,1.17,0.55,18.62,7.73,0.72,0.37
CHARLIE COYLE,,C,34.3,CBJ,83,225.79,9.61,3.4,1.28,180.85,9.92,3.07,1.12,21.6,8.63,0.9,0.47,23.33,8.46,0.86,0.43
JAKE DEBRUSK,,L,29.6,VAN,82,225.13,9.89,3.53,1.51,196.29,10.25,3.35,1.23,27.51,7.89,0.81,0.53,1.33,10.47,0.3,0.17
PIUS SUTER,,C,30.0,STL,81,225.06,9.61,3.78,1.35,182.01,9.83,3.16,1.21,16.95,9.33,0.91,0.54,26.1,8.45,0.69,0.39
MATT DUCHENE,,C,35.4,DAL,82,224.93,9.6,3.5,1.32,192.37,9.67,3.26,1.21,31.68,9.22,1.28,0.6,0.88,8.78,0.16,0.11
SETH JARVIS,,R,24.3,CAR,73,224.56,9.54,3.79,1.62,172.11,10.03,3.22,1.37,32.61,7.92,1.11,0.61,19.84,8.76,0.68,0.36
CASEY MITTELSTADT,,L,27.5,BOS,81,224.21,9.73,3.63,1.35,197.56,9.91,3.18,1.28,26.43,8.55,0.9,0.66,0,0,0.07,0.07
ALEX PIETRANGELO,,D,36.4,VGK,71,224.04,8.45,3.81,1.52,197.35,8.59,3.59,1.52,9.7,9.13,0.51,0.3,16.99,6.89,0.63,0.38
DYLAN HOLLOWAY,,L,24.7,STL,77,223.88,10.37,3.6,1.32,201.98,10.53,3.29,1.32,19.1,8.95,0.64,0.43,2.8,9.87,0.29,0.22
RYAN MCDONAGH,,D,37.0,T.B,82,222.38,7.99,3.47,1.33,197.13,8.2,3.45,1.31,2.28,8.76,0.3,0.25,22.97,6.49,0.79,0.39
ROOPE HINTZ,,C,29.5,DAL,76,221.51,10.35,3.74,1.41,173.33,10.59,3.28,1.18,33.9,9.74,1.32,0.64,14.29,9.24,0.51,0.33
TEUVO TERAVAINEN,,L,31.7,CHI,82,221.39,9.49,3.39,1.46,175.49,9.57,2.9,1.39,29.77,9.13,1.06,0.71,16.13,9.33,0.51,0.37
